,#,P o t r e t,N a m a ( L a h i r - W a f a t ),P e r i o d e   J a b a t a n,P e r i o d e   J a b a t a n . 1,P a r t a i
0,Presiden Republik Mesir (1953–1958)[sunting | sunting sumber],Presiden Republik Mesir (1953–1958)[sunting | sunting sumber],Presiden Republik Mesir (1953–1958)[sunting | sunting sumber],Presiden Republik Mesir (1953–1958)[sunting | sunting sumber],Presiden Republik Mesir (1953–1958)[sunting | sunting sumber],Presiden Republik Mesir (1953–1958)[sunting | sunting sumber]
1,1,,Muhammad Naguibمحمد نجيب(1901–1984),18 Juni 1953,14 November 1954[1],Militer / Liberation Rally
2,Dewan Komando Revolusioner(Kepala: Kolonel Gamal Abdul Nasir),Dewan Komando Revolusioner(Kepala: Kolonel Gamal Abdul Nasir),Dewan Komando Revolusioner(Kepala: Kolonel Gamal Abdul Nasir),14 November 1954,23 Juni 1956,Militer
3,2,,Gamal Abdul Nasirجمال عبد الناصر(1918–1970)[2],23 Juni 1956,22 Februari 1958,Persatuan Nasional
4,Presiden Republik Persatuan Arab (1958–1971)[sunting | sunting sumber],Presiden Republik Persatuan Arab (1958–1971)[sunting | sunting sumber],Presiden Republik Persatuan Arab (1958–1971)[sunting | sunting sumber],Presiden Republik Persatuan Arab (1958–1971)[sunting | sunting sumber],Presiden Republik Persatuan Arab (1958–1971)[sunting | sunting sumber],Presiden Republik Persatuan Arab (1958–1971)[sunting | sunting sumber]
5,(2),,Gamal Abdul Nasirجمال عبد الناصر(1918–1970)[2],22 Februari 1958,1 Desember 1962,Persatuan Nasional
6,(2),,Gamal Abdul Nasirجمال عبد الناصر(1918–1970)[2],1 Desember 1962,28 September 1970[3],Persatuan Arab Sosialis
7,—,,Anwar Sadatأنور السادات(1918–1981)Presiden Sementara,28 September 1970,15 Oktober 1970,Persatuan Arab Sosialis
8,3,,Anwar Sadatأنور السادات(1918–1981)[4],15 Oktober 1970,2 September 1971,Persatuan Arab Sosialis
9,Presiden Republik Arab Mesir (1971–Sekarang)[sunting | sunting sumber],Presiden Republik Arab Mesir (1971–Sekarang)[sunting | sunting sumber],Presiden Republik Arab Mesir (1971–Sekarang)[sunting | sunting sumber],Presiden Republik Arab Mesir (1971–Sekarang)[sunting | sunting sumber],Presiden Republik Arab Mesir (1971–Sekarang)[sunting | sunting sumber],Presiden Republik Arab Mesir (1971–Sekarang)[sunting | sunting sumber]
10,(3),,Anwar Sadatأنور السادات(1918–1981)[4],2 September 1971,2 Oktober 1978,Persatuan Arab Sosialis
11,(3),,Anwar Sadatأنور السادات(1918–1981)[4],2 Oktober 1978,6 Oktober 1981[5],Partai Demokratik Nasional
12,—,,Sufi Abu Talebصوفى أبو طالب(1925–2008)Acting Presiden Sementara[6],6 October 1981,14 October 1981,Partai Demokratik Nasional
13,4,,Husni Mubarakحسنى مبارك(1928-2020)[7],14 Oktober 1981,11 Februari 2011[8],Partai Demokratik Nasional
14,Dewan Tertinggi Angkatan Bersenjata(Kepala: Field Marshal Muhammad Hussein Tantawi) (1935-2021),Dewan Tertinggi Angkatan Bersenjata(Kepala: Field Marshal Muhammad Hussein Tantawi) (1935-2021),Dewan Tertinggi Angkatan Bersenjata(Kepala: Field Marshal Muhammad Hussein Tantawi) (1935-2021),11 Februari 2011,1 Juli 2012,Militer
15,5,,Muhammad Mursiمحمد مرسي(1951–2019)[9],1 Juli 2012,3 Juli 2013Digulingkan,Partai Kebebasan dan Keadilan
16,-,,,,,
17,6,,Abdul Fattah as-Sisiعبد الفتاح السيس(lahir 1954),8 Juni 2014,Petahana,Independen
