,N o,N a m a,F o t o,A w a l   M e n j a b a t,A k h i r   M e n j a b a t,P a r t a i,P i m p i n a n   K a b i n e t
0,1,John Adams,,21 April 17891,4 Maret 1797,Federalis,George Washington
1,2,Thomas Jefferson,,4 Maret 1797,4 Maret 1801,Demokrat-Republik,John Adams
2,3,Aaron Burr,,4 Maret 1801,4 Maret 1805,Demokrat-Republik,Thomas Jefferson
3,4,George Clinton,,4 Maret 1805,20 April 18122,Demokrat-Republik,Jefferson/Madison
4,5,Elbridge Gerry,,4 Maret 1813,23 November 18142,Demokrat-Republik,Madison
5,6,Daniel D. Tompkins,,4 Maret 1817,4 Maret 1825,Demokrat-Republik,James Monroe
6,7,John Caldwell Calhoun,,4 Maret 1825,28 Desember 18323,Demokrat-Republik,J. Q. Adams/Jackson
7,8,Martin Van Buren,,4 Maret 1833,4 Maret 1837,Demokrat,Jackson
8,9,Richard Mentor Johnson,,4 Maret 1837,4 Maret 1841,Demokrat,Van Buren
9,10,John Tyler,,4 Maret 1841,4 April 18414,Whig,W. Harrison
10,11,George Mifflin Dallas,,4 Maret 1845,4 Maret 1849,Demokrat,Polk
11,12,Millard Fillmore,,4 Maret 1849,9 Juli 18504,Whig,Taylor
12,13,William Rufus de Vane King,,4 Maret 18535,18 April 18532,Demokrat,Pierce
13,14,John Cabell Breckinridge,,4 Maret 1857,4 Maret 1861,Demokrat,Buchanan
14,15,Hannibal Hamlin,,4 Maret 1861,4 Maret 1865,Republik,Lincoln
15,16,Andrew Johnson,,4 Maret 1865,15 April 18654,Demokrat,Lincoln
16,17,Schuyler Colfax,,4 Maret 1869,4 Maret 1873,Republik,Grant
17,18,Henry Wilson,,4 Maret 1873,22 November 18752,Republik,Grant
18,19,William Almon Wheeler,,4 Maret 1877,4 Maret 1881,Republik,Hayes
19,20,Chester Alan Arthur,,4 Maret 1881,19 September 18814,Republik,Garfield
20,21,Thomas Andrews Hendricks,,4 Maret 1885,25 November 18852,Demokrat,Cleveland
21,22,Levi Parsons Morton,,4 Maret 1889,4 Maret 1893,Republik,B. Harrison
22,23,Adlai Ewing Stevenson,,4 Maret 1893,4 Maret 1897,Demokrat,Cleveland
23,24,Garret Augustus Hobart,,4 Maret 1897,21 November 18992,Republik,McKinley
24,25,Theodore Roosevelt,,4 Maret 1901,14 September 19014,Republik,McKinley
25,26,Charles Warren Fairbanks,,4 Maret 1905,4 Maret 1909,Republik,T. Roosevelt
26,27,James Schoolcraft Sherman<,,4 Maret 1909,30 Oktober 19122,Republik,Taft
27,28,Thomas Riley Marshall,,4 Maret 1913,4 Maret 1921,Demokrat,Wilson
28,29,"John Calvin Coolidge, Jr.",,4 Maret 1921,2 Agustus 19234,Republik,Harding
29,30,Charles Gates Dawes,,4 Maret 1925,4 Maret 1929,Republik,Coolidge
30,31,Charles Curtis,,4 Maret 1929,4 Maret 1933,Republik,Hoover
31,32,John Nance Garner,,4 Maret 1933,20 Januari 1941,Demokrat,F. Roosevelt
32,33,Henry Agard Wallace,,20 Januari 1941,20 Januari 1945,Demokrat,F. Roosevelt
33,34,Harry S. Truman,,20 Januari 1945,12 April 19454,Demokrat,F. Roosevelt
34,35,Alben William Barkley,,20 Januari 1949,20 Januari 1953,Demokrat,Truman
35,36,Richard Milhous Nixon,,20 Januari 1953,20 Januari 1961,Republik,Eisenhower
36,37,Lyndon Baines Johnson,,20 Januari 1961,22 November 19634,Demokrat,Kennedy
37,38,Hubert Horatio Humphrey,,20 Januari 1965,20 Januari 1969,Demokrat,Johnson
38,39,Spiro Theodore Agnew,,20 Januari 1969,10 Oktober 19733,Republik,Nixon
39,40,"Gerald Rudolph Ford, Jr.",,6 Desember 19736,9 Agustus 19744,Republik,Nixon
40,41,Nelson Aldrich Rockefeller,,19 Desember 19746,20 Januari 1977,Republik,Ford
41,42,Walter Frederick Mondale,,20 Januari 1977,20 Januari 1981,Demokrat,Carter
42,43,George Herbert Walker Bush7,,20 Januari 1981,20 Januari 1989,Republik,Reagan
43,44,James Danforth Quayle III,,20 Januari 1989,20 Januari 1993,Republik,G. H. W. Bush
44,45,"Albert Arnold Gore, Jr.",,20 Januari 1993,20 Januari 2001,Demokrat,Clinton
45,46,Richard Bruce Cheney7,,20 Januari 2001,20 Januari 2009,Republik,George W. Bush
46,47,Joseph Biden Jr.,,20 Januari 2009,20 Januari 2017,Demokrat,Obama
47,48,Michael Richard Pence,,20 Januari 2017,20 Januari 2021,Republik,Trump
48,49,Kamala Devi Harris,,20 Januari 2021,Petahana,Demokrat,Biden
