,K o d e   B P S,I S O   6 3 9 - 3,K e l o m p o k,"N a m a   b a h a s a ,   a l i a s"
0,0001 2,ace,Aceh,Bahasa Aceh/ Acheh/ Achi
1,0002 4,,Aceh,Bahasa Aceh Aneuk
2,0003 6,,Aceh,Bahasa Aceh Hulu Singkil/ Singkil
3,0004 1,,Aceh,Bahasa Aceh Jamee
4,0005 3,,Aceh,Bahasa Aceh Kluet
5,0006 5,,Aceh,Bahasa Aceh Pulau Banyak/ Haloban
6,0007 0,,Aceh,Bahasa Aceh Simeleu Barat/ Sigulai/ Leukon
7,0008 2,,Aceh,Bahasa Aceh Simeleu Tengah/ Devayan
8,0009 4,,Aceh,Bahasa Alas
9,0010 1,gay,Aceh,Bahasa Gajo/ Gayo
10,0011 3,,Aceh,Bahasa Long Bano/ Simalur/ Simeuloe/ Simeulue/ Simulul
11,0012 5,,Melayu,Bahasa Melayu Banda
12,0013 0,,Aceh,Bahasa Sichule/ Sikhule/ Sikule/ Wali Banuah
13,0014 2,,Aceh,Bahasa Tamiang
14,0015 4,btz,Sumatera Utara,Bahasa Batak Alas-Kluet/ Alas-Kluet Batak
15,0016 6,akb,Sumatera Utara,Bahasa Anakola/ Angkola/ Batak Angkola
16,0017 1,btd,Sumatera Utara,Bahasa Batak Dairi/ Dairi/ Pakpak/ Pakpak Dairi
17,0018 3,btx,Sumatera Utara,Bahasa Batak Karo/ Karo Batak
18,0019 5,btm,Sumatera Utara,Bahasa Batak Mandailing/ Mandailing Batak
19,0020 2,,Sumatera Utara,Bahasa Batak Pak-Pak
20,0021 4,,Sumatera Utara,Bahasa Batak Pesisir
21,0022 6,,Sumatera Utara,Bahasa Batak Samosir
22,0023 1,bts,Sumatera Utara,Bahasa Batak Simalungun/ Simelungan Timur
23,0024 3,bbc,Sumatera Utara,Bahasa Batak Toba/ Batta/ Toba Batak
24,0025 5,nia,Sumatera Utara,Bahasa Batu/ Nias
25,0026 0,,Sumatera Utara,Bahasa Kerinchi/ Kerinci/ Kinchai
26,0027 2,,Sumatera Utara,Bahasa Mentawai/ Mentawei/ Mentawi
27,0028 4,min,Sumatera Barat,Bahasa Minang/ Minangkabau/ Padang
28,0029 6,,Riau,Bahasa Bagan Siapi-Api
29,0030 3,msa,Melayu,Bahasa Melayu/ Malayu/ Melayu
30,0031 5,,Riau,Bahasa Bakinang
31,0032 0,,Riau,Bahasa Bonai
32,0033 2,,Riau,Bahasa Duano
33,0034 4,,Riau,Bahasa Kuantan
34,0035 6,,Riau,Bahasa Lubu
