,B a h a s a,P e r s e b a r a n,P e r s e b a r a n,P e r s e b a r a n,D i a l e k,C a t . / r u j .
0,Alune,Seram Bagian Barat,Inamosol,RambatuManusaRumberuHukuana KotaHuku Kecil,-,[1]
1,Ambalau,Buru Selatan,Ambalau,Ulima,-,[a][2]
2,Asilulu (Hitu),Beberapa desa di Maluku Tengah. Ambon. Beberapa desa di Seram Bagian Barat.,,,,
3,Balkewan,Seram Bagian Timur,Siwalalat,Atiahu,-,[3]
4,Banda,Maluku Tenggara,Kei Besar Utara Timur,Banda Eli,-,[4]
5,Banda,Maluku Tenggara,Kei Besar,Elat,-,[4]
6,Barakai,Kepulauan Aru,Aru Tengah Selatan,Gomo-Gomo,Gomo-Gomo,[5]
7,Barakai,Kepulauan Aru,Aru Tengah,Lorang,Lorang,[5]
8,Barakai,Kepulauan Aru,Aru Tengah,Kobasel TimurKobasel Fara,Koba,[5]
9,Barakai,Kepulauan Aru,Aru Tengah Timur,Mariri,Mariri,[5]
10,Batuley,Kepulauan Aru,Aru Utara Timur Batuley,BatuleyKabalsiangBenjuringKumulWariaJursiangSewer,-,[6]
11,Bobat (Bobot),Seram Bagian Timur,Werinama,Werinama,-,[b][7]
12,Boing,Seram Bagian Timur,Teluk Waru,Dawang,-,[8]
13,Buru,Buru,Fena Leisela,Wamlana Waereman,-,[c][9]
14,Buru,Buru Selatan,Kepala Madan,Fogi,-,[c][9]
15,Damar Timur,Maluku Barat Daya,Damer,Kumur,Kumur,[10]
16,Damar Timur,Maluku Barat Daya,Damer,Kuaimelu,Kuaimelu,[10]
17,Dawelor,Maluku Barat Daya,Dawelor Dawera,Wiratan,-,[11]
18,Dawelor,Maluku Barat Daya,Pulau-Pulau Babar Timur,WatuweiNurnyamanIlmarangWeloraLetmasa,-,[11]
19,Dobel,Kepulauan Aru,Aru Tengah,Dobel,-,[12]
20,Elnama,Seram Bagian Timur,Werinama,Werinama,-,[d][13]
21,Emplawas,Maluku Barat Daya,Pulau-Pulau Babar Timur,EmplawasIblatmuntah,-,[14]
22,Emplawas,Maluku Barat Daya,Pulau-Pulau Babar,Tela,-,[14]
23,Emplawas,Maluku Barat Daya,Pulau Masela,Lawawang,-,[14]
24,Fordata (Iyaru),Kepulauan Tanimbar,Tanimbar Utara,Ritabel,-,[15]
25,Hoti,Seram Bagian Timur,Bula Barat,Hote,-,[16]
26,Illiun,"Ilwaki, Wetar, Maluku Barat Daya. Uhak, Wetar Utara, Maluku Barat Daya. Lurang, Wetar Utara, Maluku Barat Daya. Ustutun, Wetar Barat, Maluku Barat Daya.",,,,
27,Kaham,"Aketernate, Seram Utara Timur Seti, Maluku Tengah. Seti, Seram Utara Timur Seti, Maluku Tengah.",,,,
28,Kaiely,Buru,Teluk Kaiely,Kaiely,-,
29,Karey,Kepulauan Aru,Aru Selatan Timur,Karey,-,
