,B a h a s a,E T H,W A M,C I A,S I L,E N C,W E B,M e d i a n ( t i d a k   t e r m .   W A M )
0,Bahasa Tionghoa — semua,,,,937.0,,,937
1,Bahasa Mandarin,885.0,874.0,874.0,,836.0,1200.0,874
2,Bahasa Inggris,402.0,514.0,341.0,322.0,322.0,330.0,3355
3,Bahasa Spanyol,332.0,425.0,339.0,332.0,332.0,300.0,332
4,Bahasa Hindi/Bahasa Urdu,182.0,496.0,366.0,182.0,333.0,250.0,2915
5,Bahasa Bengali,189.0,215.0,207.0,189.0,189.0,185.0,189
6,Bahasa Arab — semua,,256.0,,174.0,186.0,200.0,193
7,"Bahasa Melayu (Malaysia,Brunei Singapura, Indonesia)",,176.0,,,,,176
8,Bahasa Portugis,181.0,194.0,167.0,170.0,170.0,160.0,170
9,Bahasa Rusia,145.0,275.0,160.0,170.0,170.0,160.0,165
10,Bahasa Jepang,127.0,,125.0,125.0,125.0,125.0,125
11,Bahasa Jerman,120.0,,100.0,98.0,98.0,100.0,100
12,Bahasa Wu,925.0,,,,,,925
13,Bahasa Punjabi,89.0,,,,,90.0,895
14,Bahasa Jawa,755.0,,,,,80.0,7775
15,Bahasa Korea,75.0,,78.0,,,,765
16,Bahasa Prancis,72.0,129.0,77.0,79.0,72.0,75.0,76
17,Bahasa Marathi,718.0,,,,,,718
