,G a m b a r,B i n a t a n g,U r a i a n,B u n y i
0,,"Angsa, soang",menggericau[1] (OP: ang),
1,,Anjing,"menggonggong[2], menyalak[3], mengguguk, meraung[4], menggeru[5], mengengkeng[6], berdengking[7], mencengkung[8], mengongoi[9], mencengking[10], berdengkung[11], berkaing[12], melolong[13], mengongkong[14], menguik (OP: guk, gong-gong, keng[15], auk[16], kung[17])",Anjing
2,,Ayam,"berkokok[18], kukuruyuk[19], berkeriuk[20], berkeruyuk[21], berketuk[22], berkotek[23], berketak[24], berkeriuk, berpetok[25] menciap[26], berciap-ciap, menciap-ciap, berkeciak[27], berdecit[28], berkeok[29], berkeok-keok, berkaok-kaok[30] (OP: tok-tok petok)",Kokokan ayam jantan
3,,Babi,"berdengus[31], menguik[32] (OP: ngok)",Babi
4,,Badak,"menguak, hempek[33]",
5,,Beruang,menderam[34],Deraman anak beruang
6,,Buaya,menderam[35],
7,,Burung,"berkicau[36], mencicip[37], bersiul[38], bercuit[39], menciak[40], cit[41], meratus[42] mericau[43], menggericau, berdecit, menciap, menggelicau[44], kur, ciak-miak, ciap-miap, berciap-ciap, ciak-ciap, mencicit, berdecit, mendecit (OP: cit-cit cuit, cip-cip)",
8,,Burung gagak,"menggaok[45], berkoak-koak[46], berkaok-kaok[47] (OP: gak, gaok, kaok, koak)",
9,,Burung gereja,"berkicau, bercereceh",
10,,Burung hantu,menguak[48],Burung hantu bertanduk besar
11,,Burung merak,mengilai,Merak
12,,"Burung merpati, burung dara","berdekut[49], mendekut (OP: kur-kur)",Merpati kayu
13,,Burung murai,"kicak, berkicau, berkericau[50], mericau",
14,,Burung pelatuk,"berdekang-dekang[51], letuk-letuk[52]",Bunyi pelatuk
15,,Burung pipit,"mencicip, menciap, bercip-cip[53], mengecip",
16,,Burung punai,berdekut,
17,,Burung puyuh,berdengut[54],Bunyi burung puyuh jantan
18,,Burung tekukur,"berkukur,[55] berdekut, kur,[56] meruku[57], mengukur",
19,,Cecak,"kecap (mengecap)[58], celepik[59]",
20,,Elang,"memekik, menggeram",Elang Botak
21,,Gajah,"menderum, berdering (mendering)[60], mengerik, menggeru",Gajah
22,,Ikan,"berdecup[61], berdengus",
23,,"Itik, bebek","menguik[62], mengakak[63], meleter (OP: kuek, kwek, uik, wak, wek-wek)",Itik
24,,"Jangkrik, cengkerik","mengerik,[64] berdering (mendering),[65] mengilai (OP: kerik, krik)",Jangkrik
25,,"Kalkun, ayam belanda",berkelokok[66],Kalkun
26,,Kambing (termasuk domba atau biri-biri),"mengembik[67], mengembek, mendebik[68], membebek[69] (OP: mbek, embek, embik)",Kawanan kambing mengembik
27,,"Katak, kodok","menguak[70], berdengkang[71], berketur[72] (OP: kuak, uak, wak, kang, kwebek)",Kodok
28,,Keledai,"meringkik, meringih",Keledai
29,,"Kelinci, arnab","mengerip[73], berdekus",
30,,Kerbau,"menguak[74], berdengus, membelasut",
31,,Kucing,"meong[75], mengiau[76], mengeong[77], berdekus[78], membelasut[79] (OP: meong, ngeong, ngiau, miau)",Ngeongan kucing
32,,"Kucing besar (harimau, singa, jaguar & macan tutul atau harimau bintang)","mengaum[80], menggeru, meraung, berderam[81], berdekus, menggeram[82], meraum[83]",
33,,Kuda,"meringkik[84], berdepak-depak[85], bertengking[86], berdengus, mengilai[87], mengerik[88], meringih[89]",
34,,Kumbang,"berdengung[90], mengumbang[91]",
35,,Lalat,"berdengung, berdenging, berdesing",
36,,Langau,berdengung,
37,,"Lebah, tawon","mbrengengeng, berdengung, berdenging[92], bersiung[93]",lebah
38,,Lumba-lumba,memangus[94],
39,,"Monyet, kera","mengerih[95], menggericau[96]",Monyet (Alouatta palliata)
40,,Nyamuk,"berdenging, berdengung",
41,,Paus,memangus[97],Paus Pembunuh
42,,"Pelanduk, kancil",berdengkang,
43,,Rubah,"meraung, melolong",
44,,Rusa,"melenguh, berdengking",Rusa merah
45,,"Sapi, lembu","melenguh[98], mengeboh[99], menguak, berdengus, membelasut (OP: mo, mu)",
46,,Serigala,"menggeru, meraung, melolong, mengaung[100]",
47,,Singa,mengaum,auman singa
48,,"Tabuhan, tebuan",berdengung,Hummel bee
49,,Tikus,"berdecit, mencicit, mengerip, berdenyit[101], menggerodak[102]",
50,,"Tupai, bajing",mengerat[103],
51,,Ular,"berdesis[104], mendesis, bersiul, berketur",
