,D e s a,B a h a s a   J e p a n g,P r e f e k t u r,D i s t r i k,L u a s   ( k m ² )
0,Shinshinotsu,新篠津村,Hokkaidō,Ishikari,7804
1,Shimamaki,島牧村,Hokkaidō,Shimamaki,43718
2,Makkari,真狩村,Hokkaidō,Abuta,11425
3,Rusutsu,留寿都村,Hokkaidō,Abuta,11984
4,Tomari,泊村,Hokkaidō,Furuu,8228
5,Kamoenai,神恵内村,Hokkaidō,Furuu,14780
6,Akaigawa,赤井川村,Hokkaidō,Yoichi,28009
7,Shimukappu,占冠村,Hokkaidō,Yūfutsu,57141
8,Otoineppu,音威子府村,Hokkaidō,Nakagawa (Teshio),27563
9,Shosanbetsu,初山別村,Hokkaidō,Tomamae,27951
10,Sarufutsu,猿払村,Hokkaidō,Sōya,58997
11,Nishiokoppe,西興部村,Hokkaidō,Monbetsu,30808
12,Nakasatsunai,中札内村,Hokkaidō,Kasai,29258
13,Sarabetsu,更別村,Hokkaidō,Kasai,17690
14,Tsurui,鶴居村,Hokkaidō,Akan,57180
15,Yomogita,蓬田村,Aomori,Higashitsugaru,8065
16,Nishimeya,西目屋村,Aomori,Nakatsugaru,24602
17,Inakadate,田舎館村,Aomori,Minamitsugaru,2235
18,Rokkasho,六ヶ所村,Aomori,Kamikita,25268
19,Higashidōri,東通村,Aomori,Shimokita,29527
20,Kazamaura,風間浦村,Aomori,Shimokita,6955
21,Sai,佐井村,Aomori,Shimokita,13504
22,Shingō,新郷村,Aomori,Sannohe,15077
23,Tanohata,田野畑村,Iwate,Shimohei,15619
24,Fudai,普代村,Iwate,Shimohei,6966
25,Noda,野田村,Iwate,Kunohe,8080
26,Kunohe,九戸村,Iwate,Kunohe,13402
27,Ōhira,大衡村,Miyagi,Kurokawa,6032
28,Kamikoani,上小阿仁村,Akita,Kitaakita,25672
29,Ōgata,大潟村,Akita,Minamiakita,17011
30,Higashinaruse,東成瀬村,Akita,Ogachi,20369
31,Ōkura,大蔵村,Yamagata,Mogami,21163
32,Sakegawa,鮭川村,Yamagata,Mogami,12214
33,Tozawa,戸沢村,Yamagata,Mogami,26131
34,Ōtama,大玉村,Fukushima,Adachi,7944
35,Ten'ei,天栄村,Fukushima,Iwase,22552
36,Hinoemata,檜枝岐村,Fukushima,Minamiaizu,39046
37,Kitashiobara,北塩原村,Fukushima,Yama,23408
38,Yugawa,湯川村,Fukushima,Kawanuma,1637
39,Shōwa,昭和村,Fukushima,Ōnuma,20946
40,Nishigō,西郷村,Fukushima,Nishishirakawa,19206
41,Izumizaki,泉崎村,Fukushima,Nishishirakawa,3543
42,Nakajima,中島村,Fukushima,Nishishirakawa,1892
43,Samegawa,鮫川村,Fukushima,Higashishirakawa,13134
44,Tamakawa,玉川村,Fukushima,Ishikawa,4667
45,Hirata,平田村,Fukushima,Ishikawa,9342
46,Kawauchi,川内村,Fukushima,Futaba,19735
47,Katsurao,葛尾村,Fukushima,Futaba,8437
48,Iitate,飯舘村,Fukushima,Sōma,23013
49,Tōkai,東海村,Ibaraki,Naka,3798
50,Miho,美浦村,Ibaraki,Inashiki,6661
51,Shintō,榛東村,Gunma,Kitagunma,2792
52,Ueno,上野村,Gunma,Tano,18185
53,Nanmoku,南牧村,Gunma,Kanra,11883
54,Tsumagoi,嬬恋村,Gunma,Agatsuma,33758
55,Takayama,高山村,Gunma,Agatsuma,6418
56,Katashina,片品村,Gunma,Tone,39176
57,Kawaba,川場村,Gunma,Tone,8525
58,Shōwa,昭和村,Gunma,Tone,6414
59,Higashichichibu,東秩父村,Saitama,Chichibu,3706
60,Chōsei,長生村,Chiba,Chōsei,2829
61,Hinohara,檜原村,Tōkyō,Nishitama,10541
62,Toshima,利島村,Tōkyō,(Ōshima),412
63,Niijima,新島村,Tōkyō,(Ōshima),2752
64,Kōzushima,神津島村,Tōkyō,(Ōshima),1858
65,Miyake,三宅村,Tōkyō,(Miyake),5527
66,Mikurajima,御蔵島村,Tōkyō,(Miyake),2054
67,Aogashima,青ヶ島村,Tōkyō,(Hachijō),596
68,Ogasawara,小笠原村,Tōkyō,(Ogasawara),10435
69,Kiyokawa,清川村,Kanagawa,Aikō,7124
70,Yahiko,弥彦村,Niigata,Nishikanbara,2517
71,Kariwa,刈羽村,Niigata,Kariwa,2627
72,Sekikawa,関川村,Niigata,Iwafune,29961
73,Awashimaura,粟島浦村,Niigata,Iwafune,978
74,Funahashi,舟橋村,Toyama,Nakaniikawa,347
75,Dōshi,道志村,Yamanashi,Minamitsuru,7968
76,Oshino,忍野村,Yamanashi,Minamitsuru,2505
77,Yamanakako,山中湖村,Yamanashi,Minamitsuru,5305
78,Narusawa,鳴沢村,Yamanashi,Minamitsuru,8958
79,Kosuge,小菅村,Yamanashi,Kitatsuru,5278
80,Tabayama,丹波山村,Yamanashi,Kitatsuru,10130
81,Kawakami,川上村,Nagano,Minamisaku,20961
82,Minamimaki,南牧村,Nagano,Minamisaku,13309
83,Minamiaiki,南相木村,Nagano,Minamisaku,6605
84,Kitaaiki,北相木村,Nagano,Minamisaku,5632
85,Aoki,青木村,Nagano,Chiisagata,5710
86,Hara,原村,Nagano,Suwa,4326
87,Minamiminowa,南箕輪村,Nagano,Kamiina,4099
88,Nakagawa,中川村,Nagano,Kamiina,7705
89,Miyada,宮田村,Nagano,Kamiina,5450
90,Achi,阿智村,Nagano,Shimoina,21443
91,Hiraya,平谷村,Nagano,Shimoina,7737
92,Neba,根羽村,Nagano,Shimoina,8997
93,Shimojō,下條村,Nagano,Shimoina,3812
94,Urugi,売木村,Nagano,Shimoina,4343
95,Tenryū,天龍村,Nagano,Shimoina,10944
96,Yasuoka,泰阜村,Nagano,Shimoina,6459
97,Takagi,喬木村,Nagano,Shimoina,6661
98,Toyooka,豊丘村,Nagano,Shimoina,7679
99,Ōshika,大鹿村,Nagano,Shimoina,24828
100,Kiso,木祖村,Nagano,Kiso,14050
101,Ōtaki,王滝村,Nagano,Kiso,31082
102,Ōkuwa,大桑村,Nagano,Kiso,23447
103,Omi,麻績村,Nagano,Higashichikuma,3438
104,Ikusaka,生坂村,Nagano,Higashichikuma,3905
105,Yamagata,山形村,Nagano,Higashichikuma,2498
106,Asahi,朝日村,Nagano,Higashichikuma,7062
107,Chikuhoku,筑北村,Nagano,Higashichikuma,9947
108,Matsukawa,松川村,Nagano,Kitaazumi,4707
109,Hakuba,白馬村,Nagano,Kitaazumi,18936
110,Otari,小谷村,Nagano,Kitaazumi,26791
111,Takayama,高山村,Nagano,Kamitakai,9856
112,Kijimadaira,木島平村,Nagano,Shimotakai,9932
113,Nozawaonsen,野沢温泉村,Nagano,Shimotakai,5796
114,Ogawa,小川村,Nagano,Kamiminochi,5811
115,Sakae,栄村,Nagano,Shimominochi,27166
116,Higashishirakawa,東白川村,Gifu,Kamo,8709
117,Shirakawa,白川村,Gifu,Ōno,35664
118,Tobishima,飛島村,Aichi,Ama,2242
119,Toyone,豊根村,Aichi,Kitashitara,15588
120,Minamiyamashiro,南山城村,Kyōto,Sōraku,6411
121,Chihayaakasaka,千早赤阪村,Ōsaka,Minamikawachi,3730
122,Yamazoe,山添村,Nara,Yamabe,6652
123,Soni,曽爾村,Nara,Uda,4776
124,Mitsue,御杖村,Nara,Uda,7958
125,Asuka,明日香村,Nara,Takaichi,2410
126,Kurotaki,黒滝村,Nara,Yoshino,4770
127,Tenkawa,天川村,Nara,Yoshino,17566
128,Nosegawa,野迫川村,Nara,Yoshino,15490
129,Totsukawa,十津川村,Nara,Yoshino,67238
130,Shimokitayama,下北山村,Nara,Yoshino,13339
131,Kamikitayama,上北山村,Nara,Yoshino,27422
132,Kawakami,川上村,Nara,Yoshino,26926
133,Higashiyoshino,東吉野村,Nara,Yoshino,13165
134,Kitayama,北山村,Wakayama,Higashimuro,4820
135,Hiezu,日吉津村,Tottori,Saihaku,420
136,Chibu,知夫村,Shimane,Oki,1370
137,Shinjō,新庄村,Okayama,Maniwa,6711
138,Nishiawakura,西粟倉村,Okayama,Aida,5797
139,Sanagōchi,佐那河内村,Tokushima,Myōdō,4228
140,Kitagawa,北川村,Kōchi,Aki,19673
141,Umaji,馬路村,Kōchi,Aki,16548
142,Geisei,芸西村,Kōchi,Aki,3960
143,Ōkawa,大川村,Kōchi,Tosa,9527
144,Hidaka,日高村,Kōchi,Takaoka,4485
145,Mihara,三原村,Kōchi,Hata,8537
146,Tōhō,東峰村,Fukuoka,Asakura,5197
147,Aka,赤村,Fukuoka,Tagawa,3198
148,Ubuyama,産山村,Kumamoto,Aso,6081
149,Nishihara,西原村,Kumamoto,Aso,7722
150,Minamiaso,南阿蘇村,Kumamoto,Aso,13732
151,Mizukami,水上村,Kumamoto,Kuma,19096
152,Sagara,相良村,Kumamoto,Kuma,9454
153,Itsuki,五木村,Kumamoto,Kuma,25292
154,Yamae,山江村,Kumamoto,Kuma,12119
155,Kuma,球磨村,Kumamoto,Kuma,20758
156,Himeshima,姫島村,Ōita,Higashikunisaki,698
157,Nishimera,西米良村,Miyazaki,Koyu,27151
158,Morotsuka,諸塚村,Miyazaki,Higashiusuki,18756
159,Shiiba,椎葉村,Miyazaki,Higashiusuki,53729
160,Mishima,三島村,Kagoshima,Kagoshima,3140
161,Toshima,十島村,Kagoshima,Kagoshima,10114
162,Yamato,大和村,Kagoshima,Ōshima,8826
163,Uken,宇検村,Kagoshima,Ōshima,10307
164,Kunigami,国頭村,Okinawa,Kunigami,19480
165,Ōgimi,大宜味村,Okinawa,Kunigami,6355
166,Higashi,東村,Okinawa,Kunigami,8188
167,Nakijin,今帰仁村,Okinawa,Kunigami,3993
168,Onna,恩納村,Okinawa,Kunigami,5082
169,Ginoza,宜野座村,Okinawa,Kunigami,3130
170,Ie,伊江村,Okinawa,Kunigami,2278
171,Yomitan,読谷村,Okinawa,Nakagami,3528
172,Kitanakagusuku,北中城村,Okinawa,Nakagami,1154
173,Nakagusuku,中城村,Okinawa,Nakagami,1553
174,Tokashiki,渡嘉敷村,Okinawa,Shimajiri,1923
175,Zamami,座間味村,Okinawa,Shimajiri,1674
176,Aguni,粟国村,Okinawa,Shimajiri,765
177,Tonaki,渡名喜村,Okinawa,Shimajiri,387
178,Minamidaitō,南大東村,Okinawa,Shimajiri,3053
179,Kitadaitō,北大東村,Okinawa,Shimajiri,1309
180,Iheya,伊平屋村,Okinawa,Shimajiri,2182
181,Izena,伊是名村,Okinawa,Shimajiri,1542
182,Tarama,多良間村,Okinawa,Miyako,2199
