,N o .,N a m a,L o k a s i,A r e a   ( m i l   p e r s e g i ),A r e a   ( k m   p e r s e g i )
0,1,Sahara,Afrika Utara,3.500.000,9.100.000
1,2,"Australia (termasuk Gibson, Great Sandy, Great Victoria dan Simpson)",Australia,1.300.000,3.400.000
2,3,Semenanjung Arab (termasuk an-Nafud dan Rub al-Khali),Asia Barat,1.000.000,2.600.000
3,4,Turkestan (termasuk Kara-Kum dan Kyzylkum),Asia Tengah,750.000,1.900.000
4,5,Gobi,Asia Tengah,500.000,1.300.000
5,6,"Gurun Amerika Utara (termasuk Great Basin, Mojave, Sonorah dan Chiahuahuan)",USA dan Mexico,500.000,1.300.000
6,7,Patagonia,Argentina Selatan,260.000,670.000
7,8,Thar,India dan Pakistan bagian utara,230.000,600.000
8,9,Kalahari,Afrika bagian barat daya,220.000,570.000
9,10,Takla Makan,Tiongkok bagian barat laut,185.000,480.000
