,K e k a i s a r a n / I m p e r i u m,P e t a,P u n c a k   W i l a y a h   T e r l u a s,P u n c a k   W i l a y a h   T e r l u a s,P u n c a k   P e n d u d u k   T e r b e s a r,P u n c a k   P e n d u d u k   T e r b e s a r
0,Imperium Britania,,"33,4[2]",1920,"531,3[3]",1938
1,Kekaisaran Mongolia,,"33,0[2]",1270 atau 1309,1100,Abad ke-12
2,Kekaisaran Rusia,,"22,8[2]",1866,1764,1913
3,Imperium Spanyol,,204,1740-1790,682,Abad ke-12
4,Dinasti Qing,,147,1790,4322,1851
5,Imperium Prancis,,129,1938,1129,1938
6,Kekhalifahan Umayyah,,130,720,620,Abad ke-7
7,Kekhalifahan Abbasiyah,,111,750,50,850
8,Dinasti Yuan,,140,1310,860,1290
9,Imperium Amerika Serikat,,10,1899,,
10,Imperium Portugis,,104,1815,,
11,Imperium Brasil,,81,1880,,
12,Kekaisaran Jepang,,74,1942,1348,1938
13,Kekaisaran Persia Akhemeniyah,,75,480 BC,,
14,Dinasti Ming,,65,1450,150,1600
15,Kekhalifahan Rasyidin,,6.4[4],655,403,655[4]
16,Dinasti Han,,65,100,57,2
17,Kesultanan Utsmaniyah,,56,1683,39,1600
18,Kekaisaran Romawi,,56,117,568,25 BC
19,Dinasti Tang,,54,715,53,755
20,Kekaisaran Makedonia,,52,323 BC,,
21,Kekaisaran Maurya,,5,250 BC,50,200 BC
22,Kekaisaran Meksiko Pertama,,49,1822,,
23,Kekaisaran Timuriyah,,44,1045,,
24,Kekaisaran Mughal,,46,1690,1750,1700
25,Kekaisaran Hun,,40,441,,
26,Kesultanan Seljuk Raya,,39,1080,,
27,Kekaisaran Seleukia,,39,301 BC,,
28,Imperium Italia,,38,1940,519,1938
29,Imperium Belanda,,37,1940,600,1940
30,Jerman Nazi,,3.6,1942,,
31,Kekaisaran Gupta,,35,400,,
32,Kekaisaran Sassania,,35,620,,
