,P e r i n g k a t   t a h u n   2 0 1 2,K o t a,N e g a r a   b a g i a n [ 2 ],P e r k i r a a n   t a h u n   2 0 1 2,S e n s u s   t a h u n   2 0 1 2,P e r u b a h a n,L u a s   l a h a n   t a h u n   2 0 1 0,K e p a d a t a n   p e n d u d u k   t a h u n   2 0 1 0,A N S I,L e t a k
0,1,New York[3],New York,,,"style=""text-align:right;""|8.175.133",8.336.697,"+1,98%",783.842 km2,"10,430 km−2"
1,2,Los Angeles,California,,,"style=""text-align:right;""|3.792.621",3.857.799,"+1,72%","1,213.850 km2","3,124 km−2"
2,3,Chicago,Illinois,,,"style=""text-align:right;""|2.695.598",2.714.856,"+0,71%",589.571 km2,"4,572 km−2"
3,4,Houston[4],Texas,,,"style=""text-align:right;""|2.100.263",2.160.821,"+2,88%","1,552.929 km2","1,352 km−2"
4,5,Philadelphia[5],Pennsylvania,,,"style=""text-align:right;""|1.526.006",1.547.607,"+1,42%",347.321 km2,"4,394 km−2"
5,6,Phoenix,Arizona,,,"style=""text-align:right;""|1.445.632",1.488.750,"+2,98%","1,338.256 km2","1,080 km−2"
6,7,San Antonio,Texas,,,"style=""text-align:right;""|1.327.407",1.382.951,"+4,18%","1,193.812 km2","1,112 km−2"
7,8,San Diego,California,,,"style=""text-align:right;""|1.307.402",1.338.348,"+2,37%",842.233 km2,"1,552 km−2"
8,9,Dallas,Texas,,,"style=""text-align:right;""|1.197.816",1.241.162,"+3,62%",881.939 km2,"1,358 km−2"
9,10,San Jose,California,,,"style=""text-align:right;""|945.942",982.765,"+3,89%",457.201 km2,"2,069 km−2"
10,11,Austin,Texas,,,"style=""text-align:right;""|790.390",842.592,"+6,60%",771.547 km2,"1,024 km−2"
11,12,Jacksonville[6],Florida,,,"style=""text-align:right;""|821.784",836.507,"+1,79%","1,934.729 km2",425 km−2
12,13,Indianapolis[7],Indiana,,,"style=""text-align:right;""|820.445",834.852,"+1,76%",936.108 km2,876 km−2
13,14,San Francisco[8],California,,,"style=""text-align:right;""|805.235",825.863,"+2,56%",121.400 km2,"6,633 km−2"
