,L a m b a n g,L a n d,B e r g a b u n g,K e p a l a   p e m e r i n t a h a n,K o a l i s i,S u a r a   d a l a m   B u n d e s r a t,L u a s   ( k m ² ),J u m l a h   p e n d u d u k   ( r i b u ),K e p a d a t a n   p e n d u d u k   ( / k m ² ),I b u   k o t a,S i n g k .
0,,Baden-Württemberg,1952,Winfried Kretschmann(Grüne),Grüne SPD,6,35752,10755,301,Stuttgart,BW
1,,Bayern,1949,Horst Seehofer (CSU),CSU,6,70552,12542,178,München,BY
2,,Berlin,1990[1],Michael Müller (SPD),SPD CSU,4,892,3469,3890,–,BE
3,,Brandenburg,1990,Dietmar Woidke(SPD),SPD Die Linke,4,29479,2500,85,Potsdam,BB
4,,Bremen,1949,Carsten Sieling (SPD),SPD Grüne,3,419,661,1577,–,HB
5,,Hamburg,1949,Peter Tschentscher (SPD),SPD,3,755,1774,2309,–,HH
6,,Hessen,1949,Volker Bouffier(CDU),CDU Grüne,5,21115,6075,289,Wiesbaden,HE
7,,Mecklenburg-Vorpommern,1990,Erwin Sellering (SPD),SPD CDU,3,23180,1707,74,Schwerin,MV
8,,Niedersachsen,1949,Stephan Weil (SPD),SPD Grüne,6,47624,7997,168,Hannover,NI
9,,Nordrhein-Westfalen,1949,Hannelore Kraft (SPD),SPD Grüne,6,34085,18029,530,Düsseldorf,NRW
10,,Rheinland-Pfalz,1949,Malu Dreyer(SPD),SPD Grüne,4,19853,4053,204,Mainz,RP
11,,Saarland,1957,Annegret Kramp-Karrenbauer(CDU),CDU SPD,3,2569,1050,409,Saarbrücken,SL
12,,Sachsen,1990,Stanislaw Tillich (CDU),CDU SPD,4,18416,4250,232,Dresden,SN
13,,Sachsen-Anhalt,1990,Reiner Haseloff (CDU),CDU SPD,4,20446,2470,121,Magdeburg,ST
14,,Schleswig-Holstein,1949,Torsten Albig(SPD),"SPD Grüne, SSW",4,15799,2833,179,Kiel,SH
15,,Thüringen,1990,Bodo Ramelow (Die Linke),"Die Linke SPD, Grüne",4,16172,2335,144,Erfurt,TH
