,N a m a   &   s i n g k a t a n   p o s,N a m a   &   s i n g k a t a n   p o s,K o t a,K o t a,D i d i r i k a n [ A ],P o p u l a s i [ B ] [ 1 0 ],L u a s   W i l a y a h [ C ] [ 1 1 ],L u a s   W i l a y a h [ C ] [ 1 1 ],L u a s   D a r a t a n [ C ] [ 1 1 ],L u a s   D a r a t a n [ C ] [ 1 1 ],L u a s   P e r a i r a n [ C ] [ 1 1 ],L u a s   P e r a i r a n [ C ] [ 1 1 ],P e r w a k i l a n
0,Alabama,AL,Montgomery,Birmingham,14 Desember 1819,4863300,5.242.007,13.576.736,5.064.533,13.117.080,177.474,459.656,7
1,Alaska,AK,Juneau,Anchorage,3 Januari 1959,741894,66.538.404,172.333.675,57.064.095,147.795.328,947.431,2.453.835,1
2,Arizona,AZ,Phoenix,Phoenix,14 Februari 1912,6931071,1.139.903,2.952.335,11.359.408,29.420.732,39.622,102.621,9
3,Arkansas,AR,Little Rock,Little Rock,15 Juni 1836,2988248,5.317.855,13.773.181,5.203.548,13.477.127,114.307,296.054,4
4,California,CA,Sacramento,Los Angeles,9 September 1850,39250017,16.369.474,42.396.743,15.577.922,40.346.633,791.552,2.050.110,53
5,Carolina Selatan,SC,Columbia,Charleston,23 Mei 1788,4961119,3.202.049,8.293.269,300.607,778.569,195.979,507.583,7
6,Carolina Utara,NC,Raleigh,Charlotte,21 November 1789,10146788,5.381.916,13.939.098,4.861.791,12.591.981,520.125,1.347.118,13
7,Colorado,CO,Denver,Denver,1 Agustus 1876,5540545,10.409.367,26.960.137,10.364.189,26.843.126,45.178,117.010,7
8,Connecticut,CT,Hartford,Bridgeport,9 Januari 1788,3576452,554.341,1.435.737,484.236,1.254.165,70.106,181.574,5
9,Dakota Selatan,SD,Pierre,Sioux Falls,2 November 1889,865454,7.711.568,19.972.869,75.811,196.350,130.468,337.911,1
10,Dakota Utara,ND,Bismarck,Fargo,2 November 1889,757952,7.069.832,18.310.781,690.008,1.787.113,169.752,439.656,1
11,Delaware,DE,Dover,Wilmington,7 Desember 1787,952065,248.872,644.576,194.854,504.670,54.018,139.906,1
12,Florida,FL,Tallahassee,Jacksonville,3 Maret 1845,20612439,657.577,1.703.117,5.362.476,13.888.749,1.213.294,3.142.417,27
13,Georgia,GA,Atlanta,Atlanta,2 Januari 1788,10310371,5.942.515,15.391.043,5.751.349,14.895.926,191.167,495.120,14
14,Hawaii,HI,Honolulu,Honolulu,21 Agustus 1959,1428557,1.093.172,2.831.302,642.263,1.663.454,450.909,1.167.849,2
15,Idaho,ID,Boise,Boise,3 Juli 1890,1683140,8.356.895,21.644.259,8.264.312,21.404.470,92.583,239.789,2
16,Illinois,IL,Springfield,Chicago,3 Desember 1818,12801539,5.791.355,14.999.541,5.551.893,14.379.337,239.462,620.204,18
17,Indiana,IN,Indianapolis,Indianapolis,11 Desember 1816,6633053,3.641.955,9.432.620,3.582.611,9.278.920,59.344,153.700,9
18,Iowa,IA,Des Moines,Des Moines,28 Desember 1846,3134693,5.627.281,14.574.591,5.585.713,14.466.930,41.568,107.661,4
19,Kansas,KS,Topeka,Wichita,29 Januari 1861,2907289,8.227.836,21.309.997,8.175.872,21.175.411,51.964,134.586,4
20,Kentucky[E],KY,Frankfort,Louisville,1 Juni 1792,4436974,404.078,1.046.557,3.948.634,10.226.915,92.146,238.657,6
21,Louisiana,LA,Baton Rouge,New Orleans,30 April 1812,4681666,5.237.813,13.565.873,432.039,1.118.976,917.423,2.376.115,6
22,Maine,ME,Augusta,Portland,15 Maret 1820,1331479,3.537.974,9.163.311,3.084.292,7.988.280,453.682,1.175.031,2
