,N o,N e g a r a   B a g i a n,B e n d e r a,L a m b a n g,I b u   K o t a,S u l t a n / Y a n g   d i - P e r t u a   N e g e r i,M e n t e r i   B e s a r / K e t u a   M e n t e r i
0,1,Johor,,,Johor Bahru,Ibrahim Ismail,Hasni Mohammad
1,2,Kedah,,,Alor Setar,Sultan Sallehuddin ibni al-Marhum Sultan Badlishah,Muhammad Sanusi Md Nor
2,3,Kelantan,,,Kota Bahru,Muhammad V,Ahmad Yaakob
3,4,Melaka,,,Kota Melaka,Mohd Ali Rustam,Sulaiman Md Ali
4,5,Negeri Sembilan,,,Seremban,Muhriz Munawir,Aminuddin Harun
5,6,Pahang,,,Kuantan,Al-Sultan Abdullah Sultan Ahmad Shah,Wan Rosdy Wan Ismail
6,7,Perak,,,Ipoh,Nazrin Muizzuddin Shah,Ahmad Faizal Azumu
7,8,Perlis,,,Kangar,Syed Sirajuddin Syed Putra Jamalulail,Azlan Man
8,9,Pulau Pinang,,,George Town,Abdul Rahman Abbas,Chow Kon Yeow
9,10,Selangor,,,Shah Alam,Sharafuddin Idris Shah Al-Haj,Amirudin Shari
10,11,Terengganu,,,Kuala Terengganu,Mizan Zainal Abidin,Ahmad Samsuri Mokhtar
11,*,Wilayah Persekutuan Kuala Lumpur,,,Kuala Lumpur,Abdullah dari Pahang(Yang di-Pertuan Agong),Ismail Sabri Yaakob (Pemerintah Malaysia) Annuar Musa (Menteri Wilayah Persekutuan dan Kesejahteraan Bandar)
12,*,Wilayah Persekutuan Putrajaya,,,Putrajaya,Abdullah dari Pahang (Yang di-Pertuan Agong),Ismail Sabri Yaakob (Pemerintah Malaysia) Annuar Musa (Menteri Wilayah Persekutuan dan Kesejahteraan Bandar)
