,B e n d e r a,N a m a   s i n g k a t,N a m a   r e s m i,N a m a   d o m e s t i k,I b u   k o t a,P e t a
0,,Afganistan,Kemairan Islam Afghanistan,Persia: جمهوری اسلامی افغانستانPashto: د افغانستان اسلامي جمهوریت,Kabul,
1,,Arab Saudi,Kerajaan Arab Saudi,Arab: المملكة العربية السعودية,Riyadh,
2,,Armenia[1],Republik Armenia,Armenia: Հայաստանի Հանրապետություն,Yerevan,
3,,Azerbaijan[1],Republik Azerbaijan,Azerbaijan: Azərbaycan Respublikası,Baku,
4,,Bahrain,Kerajaan Bahrain,Arab: مملكة البحرين,Manama,
5,,Bangladesh,Republik Rakyat Bangladesh,Bengali: গণপ্রজাতন্ত্রী বাংলাদেশ,Dhaka,
6,,Bhutan,Kerajaan Bhutan,Dzongkha:,Thimphu,
7,,Brunei,"Brunei Darussalam, Kedamaian Tempat Kediaman",Melayu: بروني دارالسلام,Bandar Seri Begawan,
8,,Filipina,Republik Filipina,Tagalog: Republika ng Pilipinas,Manila,
9,,Georgia[1],Georgia,Georgia: საქართველო,Tbilisi,
10,,India,Republik India,Hindi: भारत गणराज्य,New Delhi,
11,,Indonesia[2],Republik Indonesia,Indonesia: Bahasa Indonesia,DKI Jakarta,
12,,Irak,Republik Irak,Arab: جمهورية العراقKurdi: كۆماری عێراق,Baghdad,
13,,Iran,Republik Islam Iran,Persia: جمهوری اسلامی ايرانArab: جمهورية العراق,Teheran,
14,,Israel,Negara Israel,Ibrani: : יִשְרָאֵל – מְדִינַת יִשְׂרָאֵל‎ ('Yisra'el – Medinat Yisra'el') Arab: إسرائيل – دَوْلَة إِسْرَائِيل‎ ('Isrā'īl – Dawlat Isrā'īl'),Yerusalem (klaim dan de facto)Ibrani: ירושלים‎ ('Yerushalayim') Tel Aviv-Yafo (de jure)Ibrani: (תֵּל־אָבִיב–יָפוֹ – Tel Aviv-Yafo),
15,,Jepang,Kekaisaran Jepang,Jepang: 日本国,Tokyo,
16,,Kamboja,Kerajaan Kamboja,Khmer:,Phnom Penh,
17,,Kazakhstan[1],Republik Kazakhstan,Kazak: Қазақстан РеспубликасыRusia: Республика Казахстан,Nursultan,
18,,Korea Selatan,Republik Korea,Korea: 대한민국Tionghoa: 大韓民國,Seoul,
19,,Korea Utara,Republik Demokratik Rakyat Korea,Korea: 조선민주주의인민공화국Tonghoa: 朝鮮民主主義人民共和國,Pyongyang,
20,,Kuwait,Kuwait,Arab: دولة الكويت,Kuwait City,
21,,Kirgizstan,Republik Kirgizstan,Kyrgyz: Кыргыз РеспубликасыRusia: Кыргызская Республика,Bishkek,
22,,Laos,Republik Demokratis Rakyat Laos,Lao:ສາທາລະນະລັດ ປະຊາທິປະໄຕ ປະຊາຊົນລາວ,Vientiane,
23,,Lebanon,Republik Lebanon,Arab: الجمهورية اللبنانية,Beirut,
24,,Maladewa,Republik Maladewa,Dhivehi: ދިވެހިރާއްޖޭގެ ޖުމުހޫރިއްޔާ,Malé,
25,,Malaysia,Malaysia,Malaysia: مليسيا,Kuala Lumpur,
26,,Mesir,Republik Arab Mesir,Arab: جمهورية مصر العربية,Kairo,
27,,Mongolia,Mongolia,"Mongolia: Монгол улс,",Ulan Bator,
28,,Myanmar[3],Myanmar Bersatu,Myanmar:,Naypyidaw,
29,,Nepal,Republik Demokratis Federal Nepal,Nepali: संघीय लोकतान्त्रिक गणतन्त्र नेपाल,Kathmandu,
30,,Oman,Kesultanan Oman,Arab: سلطنة عُمان,Muskat,
31,,Pakistan,Republik Islam Pakistan,Urdu: اسلامی جمہوریہ پاکستان,Islamabad,
32,,Qatar,Negara Qatar,Arab: دولة قطر,Doha,
33,,Rusia[1],Federasi Rusia,Rusia: Российская Федерация,Moskwa,
34,,Singapura,Republik Singapura,Melayu: Republik SingapuraTionghoa tradisional: 新加坡共和国Tamil: சிங்கப்பூர் குடியரசு,Kota Singapura,
35,,Siprus[1],Republik Siprus,Yunani: Κυπριακή ΔημοκρατίαTurki: Kıbrıs Cumhuriyeti,Nikosia,
36,,Sri Lanka,Republik Sosialis Demokratik Sri Lanka,Sinhala: Tamil: இலங்கை ஜனநாயக சமத்துவ குடியரசு,Sri Jayawardenapura-Kotte,
37,,Suriah,Republik Arab Suriah,Arab: جمهورية سوريا العربية,Damaskus,
38,,Tajikistan,Republik Tajikistan,Tajik: Ҷумҳурии Тоҷикистон,Dushanbe,
39,,Thailand,Kerajaan Thailand,Thai: ราชอาณาจักรไทย,Bangkok,
40,,Timor-Leste[2][4],Republik Demokratik Timor-Leste,Tetum: Repúblika Demokrátika Timór Lorosa'ePortugis: República Democrática de Timor-LesteIndonesia: Republik Demokratis Timor Leste,Dili,
41,,Tiongkok,Republik Rakyat Tiongkok,Tionghoa sederhana: 中华人民共和国Tionghoa tradisional: 中華人民共和國,Beijing,
42,,Turki,Republik Turki,Turki: Türkiye Cumhuriyeti,Ankara,
43,,Turkmenistan,Turkmenistan,Turkmenistan: Türkmenistan,Ashgabat,
44,,Uni Emirat Arab,Uni Emirat Arab,Arab: دولة الإمارات العربية المتحدة,Abu Dhabi,
45,,Uzbekistan,Republik Uzbekistan,Uzbek: O‘zbekiston Respublikasi,Tashkent,
46,,Vietnam,Republik Sosialis Vietnam,Vietnam: Cộng hòa xã hội chủ nghĩa Việt Nam,Hanoi,
47,,Yaman,Republik Yaman,Arab: الجمهورية اليمنية,Sanaa,
48,,Yordania,Kerajaan Hashemite Yordania,Arab: المملكة الأردنية الهاشميه,Amman,
