,0,1,2
0,Daftar menurut Dana Moneter Internasional (2022)[1],Daftar menurut Dana Moneter Internasional (2022),Daftar menurut Dana Moneter Internasional (2022)
1,Rank Negara/Teritori PDB KKB (Juta Int$)  Dunia 160.752.080 1  Tiongkok 30.177.926 2  Amerika Serikat 25.346.805  Uni Eropa 23.730.275 3  India 11.745.260  Perbara 10.131.237 4  Jepang 6.110.075 5  Jerman 5.269.963 6  Rusia 4.365.443 7  Indonesia 3.995.064 8  Britania Raya 3.751.845 9  Brasil 3.680.942 10  Prancis 3.677.579 11  Turki 3.212.072 12  Italia 2.972.091 13  Meksiko 2.890.685 14  Korea Selatan 2.735.870 15  Kanada 2.236.928 16  Spanyol 2.209.419 17  Arab Saudi 2.002.542 18  Australia 1.605.196 19  Taiwan 1.603.723 20  Polandia 1.575.577 21  Iran 1.573.647 22  Mesir 1.562.377 23  Thailand 1.475.656 24  Pakistan 1.329.554 25  Vietnam 1.278.061 26  Nigeria 1.268.536 27  Belanda 1.201.755 28  Argentina 1.195.581 29  Filipina 1.143.862 30  Bangladesh 1.113.600 31  Malaysia 1.089.499 32  Kolombia 940.589 33  Afrika Selatan 937.694 34  Uni Emirat Arab 779.234 35  Swiss 739.494 36  Belgia 715.658 37  Rumania 707.747 38  Singapura 701.804 39  Swedia 674.263 40  Irlandia 633.533 41  Kazakhstan 590.370 42  Ukraina 588.433 43  Aljazair 586.175 44  Austria 582.127 45  Chili 568.319 46  Hong Kong 522.160 47  Peru 513.715 48  Irak 512.926 49  Ceko 509.953 50  Israel 478.010 51  Norwegia 423.871 52  Portugal 419.652 53  Denmark 406.011 54  Hongaria 398.278 55  Yunani 378.693 56  Etiopia 345.138 57  Sri Lanka 340.861 58  Maroko 331.542 59  Uzbekistan 326.015 60  Finlandia 321.233 61  Kenya 308.671 62  Qatar 301.231 63  Selandia Baru 260.122 64  Myanmar 257.343 65  Republik Dominika 254.992 66  Kuwait 245.182,Rank Negara/Teritori PDB KKB (Juta Int$) 67  Angola 242.286 68  Ekuador 228.025 69  Ghana 216.676 70  Slowakia 211.119 71  Sudan 207.336 72  Tanzania 206.568 73  Belarus 201.649 74  Bulgaria 195.399 75  Guatemala 185.743 76  Pantai Gading 180.059 77  Azerbaijan 175.658 78  Oman 165.947 79  Serbia 163.599 80  Venezuela 160.132 81  Panama 158.608 82  Tunisia 149.182 83  Kroasia 145.032 84  Nepal 138.200 85  Puerto Riko 132.001 86  Lituania 129.658 87  Uganda 129.476 88  Kosta Rika 128.134 89  Republik Demokratik Kongo 127.384 90  Libya 124.326 91  Kamerun 122.764 92  Yordania 122.180 93  Bolivia 117.877 94  Turkmenistan 117.672 95  Paraguay 107.554 96  Slovenia 102.424 97  Uruguay 94.783 98  Luksemburg 90.532 99  Kamboja 87.856 100  Bahrain 87.150 101  Lebanon 82.144 102  Afganistan 80.912 103  Zambia 75.960 104  Senegal 72.341 105  Latvia 70.352 106  Honduras 69.388 107  El Salvador 69.314 108  Georgia 69.136 109  Laos 68.703 110  Yaman 65.603 111  Bosnia dan Herzegovina 60.679 112  Makau 59.660 113  Estonia 59.557 114  Burkina Faso 58.985 115  Mali 55.335 116  Benin 53.108 117  Madagaskar 51.521 118  Albania 49.827 119  Mozambik 47.606 120  Botswana 47.262 121  Armenia 46.864 122  Nikaragua 46.757 123  Mongolia 46.421 124  Tajikistan 45.540 125  Guinea 44.455 126  Siprus 43.802 127  Moldova 42.483 128  Trinidad dan Tobago 42.529 129  Makedonia Utara 40.810 130  Zimbabwe 39.906 131  Papua Nugini 39.339 132  Gabon 38.574,Rank Negara/Teritori PDB KKB (Juta Int$) 133  Haiti 38.476 134  Kirgizstan 37.792 135  Niger 37.423 136  Rwanda 37.211 137  Malawi 35.409 138  Palestina 33.403 139  Brunei 33.389 140  Jamaika 32.378 141  Mauritius 31.720 142  Guyana 30.287 143  Mauritania 29.993 144  Chad 29.684 145  Guinea Khatulistiwa 28.522 146  Malta 28.846 147  Namibia 27.118 148  Kosovo 25.189 149  Islandia 24.197 150  Togo 22.612 151  Republik Kongo 22.519 152  Sierra Leone 16.277 153  Bahama 15.854 154  Montenegro 15.476 155  Sudan Selatan 13.533 156  Fiji 12.370 157  Eswatini 11.985 158  Maladewa 11.385 159  Burundi 10.779 160  Suriname 10.676 161  Bhutan 9.853 162  Liberia 8.776 163  Eritrea 7.695 164  Gambia 6.792 165  Jibuti 6.774 166  Lesotho 6.408 167  Afrika Tengah 5.528 168  Guinea-Bissau 5.279 169  Andorra 5.157 170  Barbados 5.037 171  Timor Leste 4.573 172  Aruba 4.420 173  Tanjung Verde 4.413 174  Seychelles 3.489 175  Komoro 3.206 176  Belize 3.148 177  Saint Lucia 3.025 178  San Marino 2.387 179  Antigua dan Barbuda 2.206 180  Grenada 2.081 181  Saint Vincent dan Grenadine 1.720 182  Kepulauan Solomon 1.705 183  Saint Kitts dan Nevis 1.609 184  Samoa 1.193 185  Dominika 1.074 186  Sao Tome dan Principe 1.063 187  Vanuatu 920 188  Tonga 678 189  Federasi Mikronesia 383 190  Kiribati 266 191  Palau 243 192  Kepulauan Marshall 235 193  Nauru 144 194  Tuvalu 63
2,Rank,Negara/Teritori,PDB KKB (Juta Int$)
3,,Dunia,160.752.080
4,1,Tiongkok,30.177.926
5,2,Amerika Serikat,25.346.805
6,,Uni Eropa,23.730.275
7,3,India,11.745.260
8,,Perbara,10.131.237
9,4,Jepang,6.110.075
