,P e r i n g k a t,N e g a r a,E k s p o r [ 1 ],D a t a   t a h u n   i n f o r m a s i [ 2 ]
0,,,,
1,—,Bumi (jumlah seluruh negara),"$ 16,280,000,000,000",2008 est.
2,—,Uni Eropa (minus perdagangan internal),"$ 1,690,000,000,000",2007
3,1,Amerika Serikat,"$ 2,530,000,000,000",2019 est.
4,2,Jerman,"$ 1,465,000,000,000",2008 est.
5,3,Tiongkok,"$ 1,377,000,000,000",2008 est.
6,4,Jepang,"$ 776,800,000,000",2008 est.
7,5,Prancis,"$ 761,000,000,000",2008 est.
8,6,Italia,"$ 566,100,000,000",2008 est.
9,7,Belanda,"$ 537,500,000,000",2008 est.
10,8,Rusia,"$ 476,000,000,000",2008 est.
11,9,Britania Raya,"$ 468,700,000,000",2008 est.
12,10,Kanada,"$ 461,800,000,000",2008 est.
13,11,Korea Selatan,"$ 419,000,000,000",2008
14,12,Belgia,"$ 372,900,000,000",2008 est.
15,—,Swedia,"$ 362,100,000,000",2008
16,13,Arab Saudi,"$ 311,100,000,000",2008 est.
17,14,Meksiko,"$ 294,000,000,000",2008 est.
18,15,Swiss,"$ 292,800,000,000",2008 est.
19,16,Republik Tiongkok (Taiwan),"$ 255,700,000,000",2008 est.
20,17,Singapura,"$ 235,800,000,000",2008 est.
21,18,Uni Emirat Arab,"$ 207,700,000,000",2008 est.
22,19,Denmark,"$ 200,000,000,000",2008 est.
23,20,Norwegia,"$ 195,700,000,000",2008 est.
24,21,Polandia,"$ 190,500,000,000",2008 est.
25,22,Spanyol,"$ 185,100,000,000",2008 est.
26,23,Australia,"$ 178,900,000,000",2008 est.
27,24,Thailand,"$ 178,400,000,000",2008 est.
28,25,Uni Emirat Arab,"$ 177,600,000,000",2008 est.
29,26,India,"$ 175,700,000,000",2008 est.
30,27,Malaysia,"$ 172,700,000,000",2008 est.
31,28,Austria,"$ 163,300,000,000",2008 est.
32,29,Ceko,"$ 145,800,000,000",2008 est.
33,30,Turki,"$ 141,800,000,000",2008 est.
34,31,Finlandia,"$ 136,800,000,000",2008 est.
35,32,Irlandia,"$ 128,000,000,000",2008 est.
36,33,Hong Kong,"$ 119,500,000,000",2008 est.
37,34,Hongaria,"$ 109,300,000,000",2008 est.
38,35,Iran,"$ 106,400,000,000",2008 est.
39,36,Indonesia,"$ 104,300,000,000",2008 est.
40,37,Venezuela,"$ 103,500,000,000",2008 est.
41,38,Kuwait,"$ 95,460,000,000",2008 est.
42,39,Nigeria,"$ 83,090,000,000",2008 est.
43,40,Afrika Selatan,"$ 81,470,000,000",2008 est.
44,41,Slowakia,"$ 79,120,000,000",2008 est.
45,42,Aljazair,"$ 75,060,000,000",2008 est.
46,43,Argentina,"$ 73,000,000,000",2008 est.
47,44,Angola,"$ 72,580,000,000",2008 est.
48,45,Chili,"$ 69,100,000,000",2008 est.
49,46,Kazakhstan,"$ 66,570,000,000",2008 est.
