,P e r i n g k a t,N e g a r a,I m p o r [ 1 ],D a t a   t a h u n   i n f o r m a s i [ 2 ]
0,,,,
1,—,Bumi,"$ 16,210,000,000,000",2008 est.
2,1,Amerika Serikat,"$ 2,190,000,000,000",2008 est.
3,—,Uni Eropa,"$ 1,952,000,000,000",2007
4,2,Jerman,"$ 1,202,000,000,000",2008 est.
5,3,Tiongkok,"$ 1,156,000,000,000",2008 est.
6,4,Prancis,"$ 833,000,000,000",2008 est.
7,5,Jepang,"$ 696,200,000,000",2008 est.
8,6,Britania Raya,"$ 645,700,000,000",2008 est.
9,7,Italia,"$ 566,800,000,000",2008 est.
10,8,Belanda,"$ 485,300,000,000",2008 est.
11,9,Spanyol,"$ 444,900,000,000",2008 est.
12,10,Kanada,"$ 436,700,000,000",2008 est.
13,11,Korea Selatan,"$ 435,000,000,000",2008 est.
14,—,Hong Kong,"$ 387,900,000,000",2008 est.
15,12,Belgia,"$ 375,200,000,000",2008 est.
16,13,Meksiko,"$ 305,900,000,000",2008 est.
17,14,Rusia,"$ 302,000,000,000",2008 est.
18,15,India,"$ 287,500,000,000",2008 est.
19,—,Republik Tiongkok (Taiwan),"$ 236,000,000,000",2008 est.
20,16,Singapura,"$ 219,500,000,000",2008 est.
21,17,Polandia,"$ 213,900,000,000",2008 est.
22,18,Swiss,"$ 212,800,000,000",2008 est.
23,19,Turki,"$ 204,800,000,000",2008 est.
24,20,Australia,"$ 187,200,000,000",2008 est.
25,21,Austria,"$ 183,400,000,000",2008 est.
26,22,Thailand,"$ 179,000,000,000",2008 est.
27,23,Brasil,"$ 176,000,000,000",2008 est.
28,24,Swedia,"$ 166,600,000,000",2008 est.
29,25,Malaysia,"$ 156,200,000,000",2008 est.
30,26,Ceko,"$ 141,400,000,000",2008 est.
31,27,Uni Emirat Arab,"$ 141,100,000,000",2008 est.
32,28,Indonesia,"$ 128,800,000,000",2008 est.
33,29,Denmark,"$ 120,700,000,000",2008 est.
34,30,Hongaria,"$ 107,500,000,000",2008 est.
35,31,Finlandia,"$ 93,280,000,000",2008 est.
36,32,Norwegia,"$ 93,210,000,000",2008 est.
37,33,Arab Saudi,"$ 92,400,000,000",2008 est.
