,P e r i n g k a t,N e g a r a ( a t a u   w i l a y a h   d e p e n d e n ),P o p u l a s i,T a n g g a l,%   d a r i   p e n d u d u k   d u n i a,S u m b e r
0,1,Tiongkok[catatan 1],1.422.520.000,"April 10, 2023",18.1%,Hitungan situs resmi
1,2,India[catatan 2],1.410.510.000,"April 10, 2023",17.9%,Hitungan situs resmi
2,3,Amerika Serikat[catatan 3],340.407.000,"April 10, 2023",4.33%,Hitungan situs resmi
3,4,Indonesia,274.790.244,12 Agustus 2022,3.38%,Hitungan situs resmi
4,5,Pakistan,235.825.000,1 Juli 2022,3%,Hitungan Sensus Resmi
5,6,Nigeria,218.541.000,1 Juli 2022,2.69%,Hitungan Sensus Resmi
6,7,Brasil,218.169.000,"April 10, 2023",2.78%,Hitungan situs resmi
7,8,Bangladesh,174.577.000,"April 10, 2023",2.22%,Hitungan situs resmi
8,9,Rusia[catatan 4],146.877.088,1 Januari 2018,1.87%,Perkiraan resmi Diarsipkan 2018-06-15 di Wayback Machine.
9,10,Meksiko,126.577.691,1 Januari 2019,1.61%,Proyeksi resmi
10,11,Jepang,126.420.000,1 Agustus 2021,1.61%,Perkiraan sementara bulanan
11,12,Etiopia,117.876.000,1 Juli 2021,1.5%,Proyeksi resmi[pranala nonaktif permanen]
12,13,Filipina,115.733.800,"April 10, 2023",1.47%,Hitungan situs resmi Diarsipkan 2015-09-15 di Wayback Machine.
13,14,Republik Demokratik Kongo,105.044.646,"Juli 1,2021",1.34%,CIA World Factbook
14,15,Mesir,102.298.966,"September,9 2021",1.3%,Sensus Resmi tahunan
15,16,Vietnam,98.376.882,"Semptember 9, 2021",1.25%,Proyeksi resmi tahunan
16,17,Iran,85.420.600,"April 10, 2023",1.087%,Hitungan situs resmi
17,18,Turki,83.614.362,31 Desember 2020,1.06%,Proyeksi PBB
18,19,Jerman,83.129.285,30 Juni 2021,1.06%,Perkiraan resmi tahunan
19,20,Thailand,69.037.513,1 Juli 2017,0.88%,Perkiraan PBB
20,21,Prancis[catatan 5],67.445.000,1 Juli 2021,0.86%,Perkiraan resmi bulanan
21,22,Britania Raya[catatan 6],67.081.231,30 Juni 2020,0.85%,Perkiraan tengah tahun resmi
22,23,Italia,60.483.973,30 Desember 2017,0.77%,Perkiraan resmi bulanan Diarsipkan 2018-07-16 di Wayback Machine.
23,24,Afrika Selatan,56.717.000,1 Juli 2017,0.72%,Perkiraan resmi tahunan
24,25,Myanmar,53370609,1 Juli 2017,0.68%,Proyeksi PBB
25,26,Tanzania[catatan 7],52554628,1 Juli 2017,0.67%,Perkiraan resmi tahunan
26,27,Korea Selatan,51.446.201,1 Juli 2017,0.65%,Perkiraan resmi tahunan
27,28,Kolombia,52.321.200,"April 10, 2023",0.666%,Hitungan situs resmi Diarsipkan 2018-01-16 di Wayback Machine.
28,29,Kenya,49699862,1 Juli 2017,0.63%,Proyeksi PBB
29,30,Spanyol,46549045,1 Juli 2017,0.59%,Perkiraan resmi
30,31,Argentina,45.808.747,1 Juli 2021,0.58%,Perkiraan resmi tahunan
31,32,Aljazair,44.700.000,1 Januari 2021,0.57%,Perkiraan resmi tahunan
32,33,Sudan,43.813.405,21 Sep 2021,0.52%,Perkiraan resmi tahunan
33,34,Uganda,42.885.900,1 Juli 2021,0.55%,Perkiraan resmi tahunan
34,35,Ukraina[catatan 8],41.362.393,1 Agustus 2021,0.53%,Perkiraan resmi bulanan Diarsipkan 2016-08-08 di Wayback Machine.
35,36,Irak,41.190.700,1 Juli 2021,0.52%,Proyeksi PBB
36,37,Polandia,38422346,Mei 2021,0.49%,Perkiraan resmi[pranala nonaktif permanen]
37,38,Kanada,38.851.200,"April 10, 2023",0.494%,Perkiraan resmi
38,39,Maroko[catatan 9],36.394.600,"April 10, 2023",0.463%,Perkiraan resmi tahunan Diarsipkan 2015-11-13 di Wayback Machine.
39,40,Uzbekistan,35.105.794,23 September 2021,0.41%,Laporan kependudukan resmi
40,41,Arab Saudi,35.013.414,1 Juli 2021,0.45%,Perkiraan resmi
41,42,Peru,33.035.304,1 Juli 2021,0.42%,Perkiraan resmi
42,43,Malaysia,33.483.700,"April 10, 2023",0.426%,Hitungan situs resmi
43,44,Afganistan,32.890.171,1 Juli 2020,0.42%,Perkiraan resmi tahunan Diarsipkan 2017-10-20 di Wayback Machine.
44,45,Angola,32.097.671,30 Juni 2021,0.41%,Proyeksi resmi
45,46,Mozambik,30.832.244,1 Juli 2021,0.39%,Hasil sensus resmi
46,47,Ghana,30.792.608,1 Januari 2018,0.39%,Proyeksi resmi
47,48,Yaman,30.491.000,1 Juli 2021,0.39%,Proyeksi PBB
48,49,Nepal,30.378.055,1 Juli 2021,0.39%,Perkiraan resmi tahunan Diarsipkan 2016-01-28 di Wayback Machine.
49,50,Venezuela,28.705.000,1 Juli 2021,0.37%,Data Sensus PBB
50,51,Pantai Gading,27.087.732,1 Juli 2021,0.31%,Proyeksi resmi tahunan
51,52,Madagaskar,26.923.353,1 Juli 2021,0.33%,Proyeksi PBB
52,54,Australia,26.810.500,"April 10, 2023",0.341%,Hitungan situs resmi
53,54,Korea Utara,25.660.000,1 Juli 2021,0.32%,Proyeksi PBB
54,55,Kamerun,24.348.251,1 Juli 2019,0.3%,Proyeksi resmi tahunan Diarsipkan 2021-02-24 di Wayback Machine.
55,56,Niger,24.112.753,1 Juli 2021,0.31%,Proyeksi resmi tahunan
