,N e g a r a,U N   R / P 1 0 % [ 3 ],U N   R / P 2 0 % [ 4 ],B a n k   D u n i a G i n i   ( % ) [ 5 ],W B   G i n i ( t a h u n ),C I A   R / P 1 0 % [ 6 ],T a h u n,C I A   G i n i ( % ) [ 7 ],C I A   G i n i ( t a h u n ),G P I   G i n i ( % ) [ 8 ]
0,Afghanistan,,,27.8,2008.0,,,29.4,2008,60.0
1,Albania,7.2,4.8,34.5,2008.0,7.2,2004,34.5,2008,
2,Aljazair,9.6,6.1,35.3,1995.0,9.6,1995,35.3,1995,
3,Angola,,,58.6,2000.0,,,,,62.0
4,Argentina,31.6,17.8,36.4,2012.0,35.0,2007Jan.-Mar.,45.8,2009,
5,Armenia,8.0,5.0,30.9,2008.0,25.8,2004,30.9,2008,
6,Australia,12.5,7.0,30.5,2006.0,12.7,1994,30.3,2008,
7,Austria,6.9,4.4,26.0,2007.0,6.8,2004,26.0,2007,
8,Azerbaijan,9.7,6.0,33.7,2008.0,9.5,2001,33.7,2008,
9,Bahrain,,,,,,,,,36.0
10,Bangladesh,7.5,4.9,32.1,2010.0,7.5,2000taksiran,33.2,2005,
11,Belarus,6.9,4.5,27.2,2008.0,6.9,2002,27.2,2008,
12,Belgia,8.2,4.9,33.0,2000.0,8.3,2000,28.0,2005,
13,Belize,,,53.1,1999.0,,,,,49.2
14,Benin,9.4,6.0,38.6,2003.0,9.4,2003,36.5,2003,
15,Bhutan,,,38.1,2007.0,,,,,32
16,Bolivia,93.9,42.3,56.3,2008.0,157.3,2002,53.0,2010,
17,Bosnia dan Herzegovina,5.4,3.8,36.2,2007.0,5.5,2001,36.2,2007,
18,Botswana,43.0,20.4,61.0,1994.0,,,63.0,1993,
19,Brasil,40.6,21.8,54.7,2009.0,37.1,2007,50.8,2012,
20,Bulgaria,7.0,4.4,28.2,2007.0,8.8,2005,45.3,2007,
21,Burkina Faso,11.6,6.9,39.8,2009.0,11.5,2003,39.5,2007,
22,Burundi,19.3,9.5,33.3,2006.0,19.3,1998,42.4,1998,
23,Kamboja,12.2,7.3,37.9,2008.0,12.0,2004,37.9,2008taksiran,
24,Kamerun,15.7,9.1,38.9,2007.0,15.4,2001,44.6,2001,
25,Kanada,9.4,5.5,32.6,2000.0,9.5,2000,32.1,2005,
26,Tanjung Verde,,,50.5,2002.0,,,,,
27,Republik Afrika Tengah,69.2,32.7,56.3,2008.0,68.1,1993,61.3,1993,
28,Chad,,,39.8,2003.0,,,,,52.3
29,Chile,26.2,15.7,52.1,2009.0,32.1,2003,52.1,2009,
30,Tiongkok,21.6,12.2,47.0,2007.0,21.8,2004,47.4,2012,46.9[9]
31,Kolombia,60.4,25.3,55.9,2010.0,56.3,2008,58.5,2011,
32,Komoro,,,64.3,2004.0,,,,,
33,Republik DemokratikKongo,,,44.4,2006.0,,,,,55
34,Kongo,,,47.3,2005.0,,,,,56.2
35,Kosta Rika,23.4,15.6,50.7,2009.0,37.4,2003,50.3,2009,
36,Pantai Gading,16.6,9.7,41.5,2008.0,17.0,2002,41.5,2008,
37,Kroasia,7.3,4.8,33.7,2008.0,7.2,2003taksiran,32.0,2010,
38,Kuba,,,,,,,,,30.0
39,Siprus,,,,,,,29.0,2005,
40,Ceko,5.2,3.5,26.0,2005.0,5.2,1996,31.0,2009,
41,Denmark,8.1,4.3,24.0,2005.0,12.0,2000taksiran,24.8,2011taksiran,
42,Djibouti,,,40.0,2002.0,,,,,
43,Republik Dominika,25.3,14.3,47.2,2010.0,29.4,2005,47.2,2010taksiran,
44,Ekuador,35.2,17.3,49.3,2010.0,17.5,2006Okt.[10],47.7,2012Dec.[11],
45,Mesir,8.0,5.1,30.8,2008.0,8.0,2000,34.4,2001,
46,El Salvador,38.6,20.9,48.3,2009.0,55.4,2002,46.9,2007,
47,Guinea Khatulistiwa,,,,,,,,,65
48,Estonia,10.8,6.4,36.0,2004.0,11.0,2003,31.3,2010,
49,Ethiopia,6.6,4.3,29.8,2005.0,6.5,2000,30.0,2000,
50,Uni Eropa,,,,,,,30.4,2009taksiran,
51,Fiji,,,42.8,2009.0,,,,,
52,Finlandia,5.6,3.8,26.9,2000.0,5.7,2000,26.8,2008,
53,Prancis,9.1,5.6,32.7,2008.0,8.3,2004,32.7,2008,
54,Gabon,,,41.5,2005.0,,,,,60
55,Gambia,20.2,11.2,47.3,2003.0,20.6,1998,50.2,1998,
56,Georgia,15.4,8.3,41.3,2008.0,15.2,2003,46.0,2011,
57,Jerman,6.9,4.3,28.3,2000.0,6.9,2000,27.0,2006,
58,Ghana,14.1,8.4,42.8,2006.0,13.7,1999,39.4,2005–2006,
59,Yunani,10.2,6.2,34.3,2000.0,10.4,2000taksiran,33.0,2005,
60,Guatemala,33.9,20.3,55.9,2006.0,48.2,2002,55.1,2007,
61,Guinea,10.5,6.6,39.4,2007.0,21.6,2006,39.4,2007,
62,Guinea-Bissau,19.0,10.3,35.5,2002.0,84.8,1991,,,
63,Guyana,,,44.5,1998.0,26.0,1999,44.6,2007,
64,Haiti,54.4,26.6,59.2,2001.0,68.1,2001,59.2,2001,
65,Honduras,59.4,17.2,57.0,2009.0,35.2,2003,57.7,2007,
66,Hong Kong,17.8,9.7,53.3,2007.0,,,53.7,2011,
67,Hongaria,5.5,3.8,31.2,2007.0,5.6,2002,24.7,2009,
68,Islandia,,,,,,,28.0,2006,
69,India,8.6,5.6,33.4,2005.0,8.6,2004,36.8,2004,
70,Indonesia,7.8,5.2,34.0,2005.0,7.9,2002,36.8,2009,
71,Iran,17.2,9.7,38.3,2005.0,16.9,1998,44.5,2006,38.3[12]
72,Irak,,,30.9,2007.0,,,,,42
73,Irlandia,9.4,5.6,34.3,2000.0,9.4,2000,33.9,2010,
74,Israel,13.4,7.9,39.2,2001.0,11.8,2005,39.2,2008,
75,Italia,11.6,6.5,36.0,2000.0,11.7,2000,31.9,2011,
76,Jamaika,17.3,9.8,45.5,2004.0,17.0,2004,45.5,2004,
77,Jepang,4.5,3.4,38.1,2002.0,4.5,1993,37.6,2008,
78,Jordan,11.3,6.9,35.4,2010.0,11.3,2003,39.7,2007,
79,Kazakhstan,8.5,5.6,29.0,2009.0,8.0,2004taksiran,28.9,2011,
80,Kenya,13.6,8.2,47.7,2005.0,18.6,2000,42.5,2008taksiran,
81,Korea Utara,,,,,,,,,31.0
82,Korea Selatan,7.8,4.7,31.3,2007.0,8.6,2005taksiran,41.9,2011,
83,Kuwait,,,,,,,,,30
84,Kirgistan,6.4,4.4,36.2,2009.0,6.4,2003,33.4,2007,
85,Laos,8.3,5.4,36.7,2008.0,8.4,2002,36.7,2008,
86,Latvia,11.6,6.8,36.6,2008.0,11.6,2003,35.2,2010,
87,Libanon,,,,,,,,,45
88,Lesotho,10.5,44.2,52.5,2003.0,48.2,2002taksiran,63.2,1995,
89,Liberia,12.8,,38.2,2007.0,,,38.2,2007,
90,Libya,,,,,,,,,36.0
91,Lithuania,10.4,6.3,37.6,2008.0,10.3,2003,35.5,2009,
92,Luxembourg,,,30.8,2000.0,6.8,2000,26.0,2005,
93,Makedonia,12.5,7.5,43.2,2009.0,12.3,2003,43.2,2009,
94,Madagaskar,19.2,11.0,44.1,2010.0,19.3,2001,47.5,2001,
95,Malawi,10.9,6.7,39.0,2004.0,11.0,2004,39.0,2004,
96,Malaysia,22.1,12.4,46.2,2009.0,28.0,2003taksiran,46.2,2009,
97,Maldives,,,37.4,2004.0,,,,,
98,Mali,12.5,7.6,33.0,2010.0,12.6,2001,40.1,2001,
99,Malta,,,,,,,27.4,2011,
100,Mauritania,12.0,7.4,40.5,2008.0,11.8,2000,39.0,2000,
101,Mauritius,,,,,,,39.0,2006taksiran,
102,Meksiko,21.6,12.8,48.3,2008.0,24.6,2004,51.7,2008,
103,Moldova,8.2,5.3,33.0,2010.0,8.3,2003,38.0,2008,
104,Mongolia,8.2,5.4,36.5,2008.0,8.2,2002,36.5,2008,
105,Montenegro,,,30.0,2008.0,,,24.3,2010,
106,Maroko,11.7,7.2,40.9,2007.0,11.9,1999,40.9,2007taksiran,
107,Mozambik,18.8,9.9,45.7,2008.0,18.8,2002,45.6,2008,
108,Myanmar,,,,,11.6,1998,,,40
109,Namibia,12.8,56.1,63.9,2004.0,129.0,2003,59.7,2010,
