,P e r i n g k a t,N e g a r a,B e l a n j a   m i l i t e r   ( $   B n . ) [ 1 ],%   d a r i   P D B,P a n g s a   d u n i a   ( % ),"B e l a n j a   m i l i t e r   ( $   B n .   K K B ,   2 0 1 2 ) [ 1 ]","B e l a n j a   m i l i t e r   ( $   B n .   K K B   B a n k   D u n i a ,   2 0 1 2 ) [ 2 ]"
0,,Total dunia,1747.0,2.4,100.0,1562.3,2152.9
1,1.0,Amerika Serikat,640.0,3.8,36.6,682.0,714.7
2,2.0,Tiongkok [a],188.0,2.0,10.8,249.0,245.3
3,3.0,Rusia[a],87.8,4.1,5.0,116.0,148.4
4,4.0,Arab Saudi[b],67.0,9.3,3.8,63.9,78.5
5,5.0,Prancis,61.2,2.2,3.5,50.7,54.5
6,6.0,Britania Raya,57.9,2.3,3.3,57.5,59.2
7,7.0,Jerman[a],48.8,1.4,2.8,42.8,47.2
8,8.0,Jepang,48.6,1.0,2.8,46.0,44.8
9,9.0,India,47.4,2.5,2.7,119.0,117.8
10,10.0,Korea Selatan,33.9,2.8,1.9,44.2,41.5
11,11.0,Italia[a],32.7,1.6,1.9,31.0,34.3
12,12.0,Brasil,31.5,1.4,1.8,34.4,34.9
13,13.0,Australia,24.0,1.6,1.4,16.3,17.1
14,14.0,Turki,19.1,2.3,1.1,25.9,31.2
15,15.0,Uni Emirat Arab[a][c],19.0,4.7,1.1,,
