,N e g a r a   /   W i l a y a h,T i n g k a t   p e n g a n g g u r a n   ( % ),S u m b e r   /   t a n g g a l   i n f o r m a s i
0,Afganistan,11.2,June 2020[2]
1,Albania,11.9,2020[3]
2,Algeria,11.5,2020[2]
3,Aljazair,12.90,perk. 2008
4,Samoa Amerika (Amerika Serikat),18.0,2012[4]
5,Andorra,3.7,2016[5]
6,Anguilla (Britania Raya),8.00,2002
7,Antigua dan Barbuda,11.00,2001
8,Argentina,7.0,2010
9,Armenia,60.00,2009 (Juli)[6]
10,Aruba (Belanda),6.90,2005
11,Australia,5.80,2009 (Juli)[7]
12,Austria,4.3,2009 (Mei)[8]
13,Azerbaijan,0.8,2008
14,Bahrain,3.5,2009 (Maret)[9]
15,Bangladesh,2.50,2008
16,Barbados,8.0,2009 (Juli)[10]
17,Belarus,15-20,2008 (Februari)[11]
18,Belgia,8.2,2009 (Juli)[12]
19,Belize,8.50,2007
20,Bermuda,2.10,2004
21,Bhutan,2.50,2004
22,Bolivia,7.50,2008 (Desember)
23,Bosnia dan Herzegovina,2.90,2007
24,Botswana,7.50,2007
25,Brasil,8.1,2009 (Juli)[13]
26,Kepulauan Virgin Britania Raya (Britania Raya),3.60,1997
27,Brunei,4.00,2006
28,Bulgaria,7.10,2009 (Juli)[14]
29,Burma,9.40,2008
30,Kamboja,3.5,2007
31,Kamerun,30.00,2001
32,Kanada,8.7,2009 (Agustus)[15]
33,Tanjung Verde,21.00,2000
34,Kepulauan Cayman (Britania Raya),4.40,2004
35,Republik Afrika Tengah,8.00,2001
36,Chili,10.20,2009 (Mei)[16]
37,Republik Rakyat Tiongkok,9[17],perk. Jan 2009
38,Kepulauan Cocos (Keeling) (Australia),60.00,2000
39,Kolombia,13.5,2009 (April)
40,Komoro,20.00,1996
41,Kepulauan Cook (Selandia Baru),13.10,2005
42,Kosta Rika,5.60,2008
43,Kroasia,13.90,2008
44,Kuba,1.80,2008
45,Siprus,5.3,2009 (May)[18]
46,Republik Ceko,8.0,2009 (Juni)[19]
47,Denmark,3.7,2009 (July)[20]
48,Djibouti,59.00,2007
49,Dominika,23.00,2000
50,Republik Dominika,15.40,2008
51,Timor Leste,20.00,2006
52,Ekuador,8.3,2009 (Juli)[21]
53,Mesir,8.70,2008
54,El Salvador,6.40,2008
55,Guinea Khatulistiwa,30.00,1998
56,Estonia,15.6,2009 (Mei)[8]
57,Uni Eropa,8.9,2009 (Mei)[22]
58,Kepulauan Faroe (Denmark),1.30,2007
59,Fiji,7.60,1999
60,Finlandia,8.5,2009 (Juni)[23]
61,Prancis,9.4,2009 (Juli)[23]
62,Polinesia Prancis (Prancis),11.70,2005
63,Gabon,21.00,2006
64,Jalur Gaza,44.00,2009 (April)[24]
65,Georgia,13.60,2006 est.
66,Jerman,8.0,2009 (September)[25]
67,Ghana,11.00,2000
68,Gibraltar (Britania Raya),3.00,2005
69,Yunani,9.4,2009 (April)[26]
70,Greenland (Denmark),9.30,2005
71,Grenada,24.50,2009 (Juni)[27]
72,Guam (Amerika Serikat),8.30,2007
73,Guatemala,3.20,2005
74,Guernsey (Britania Raya),0.90,2006 (Maret)
75,Guyana,9.0,2009 (Juli)[10]
76,Honduras,27.80,2007
77,Hong Kong (Cina),5.3,2009 (Juni)[28]
78,Hungaria,9.8,2009 (Mei)[29]
79,Islandia,7.7,2009 (Agustus)
80,India,7.2,2009
81,Indonesia,5.86,2022 (Agustus) [30]
82,Iran,12.50,2009 (Mei)[31]
83,Irak,18.00%; 28% pemuda; 83% wanita,2009 (Februari)[32]
84,Irlandia,12.2,2009 (Juni)[23]
85,Pulau Man,2.50,2009 (Juli)[33]
86,Israel,7.6,2009 (Maret)
87,Italia,7.4,2009 (Juli)[34]
88,Jamaika,12.70,2008[35]
89,Jepang,5.2,2009 (Mei)[23]
90,Jersey (Britania Raya),2.20,2006
91,Yordania,13.00,2009[36]
92,Kazakhstan,7.4,2009 (Mei)[37]
93,Kenya,40.00,2009[38]
94,Kiribati,2.00,1992
95,Kuwait,2.20,2004
96,Kirgizstan,18.00,2004
97,Laos,2.40,2005
98,Latvia,16.3,2009 (May)[8]
99,Lebanon,10.00,2009 (Juli)[39]
100,Lesotho,45.00,2002
101,Liberia,85.00;[40] 88% pemuda Liberia[41],2009 (Juli)
102,Libya,13.00,2005 (Mei)[42]
103,Liechtenstein,1.50,2007 (Desember)
104,Lithuania,16.8,2009 (April)
105,Luksemburg,6.1,2009 (April)
106,Makau (Cina),3.5,2009 (Mei)[43]
107,Malaysia,3.5,2009 (Juli)[44]
108,Mali,30.00,2004
109,Malta,7.10,2009 (Juli)[45]
110,Kepulauan Marshall,30.90,2000
111,Mauritania,20.00,2004
112,Mauritius,8.00,2008
113,Mayotte (Prancis),25.40,2005
114,Meksiko,5.2,2009 (Juli)[46]
115,Mikronesia,22.00,2000
116,Moldova,2.10,2007
117,Monako,0.00,2005
118,Mongolia,2.80,2007
119,Montenegro,14.70,2007
120,Montserrat (Britania Raya),6.00,1998
121,Maroko,10.2,2009[47]
122,Mozambik,60.00,2009
123,Namibia,5.00,2008 (Desember)
124,Nauru,90.00,2004
125,Nepal,42.00,2004
126,Belanda,3.3,2009 (Juli)[48]
127,Antillen Belanda (Belanda),17.00,2002
128,Kaledonia Baru (Prancis),17.10,2004
129,Selandia Baru,6.0,2009 (Juni)
130,Nikaragua,3.90,2008
131,Niue (Selandia Baru),4.00,2008
132,Kepulauan Mariana Utara (Amerika Serikat),3.90,2001
