,N e g a r a,B e n u a,P o p u l a s i
0,Afrika Selatan[1],Afrika,47.850.700
1,Antigua dan Barbuda[2],Amerika Utara,85.000
2,Bahama,Amerika Utara,331.000
3,Barbados[3],Amerika Utara,294.000
4,Belize [4],Amerika Tengah,288.000
5,Botswana,Afrika,1.882.000
6,Dominika,Amerika Utara,73.000
7,Fiji,Oseania,827.900
8,Filipina[5],Asia,90.457.200
9,Gambia,Afrika,1.709.000
10,Ghana,Afrika,23.478.000
11,Grenada,Amerika Utara,106.000
12,Guyana[6],Amerika Selatan,738.000
13,India,Asia,1.143.540.000
14,Irlandia,Eropa,4.517.800
15,Jamaika[7],Amerika Utara,2.714.000
16,Kamerun,Afrika,18.549.000
17,Kanada,Amerika Utara,33.531.000
18,Kenya,Afrika,37.538.000
19,Kiribati,Oseania,95.000
20,Lesotho,Afrika,2.008.000
21,Liberia,Afrika,3.750.000
22,Malawi[8],Afrika,13.925.000
23,Malta,Eropa,412.600
24,Kepulauan Marshall,Oseania,59.000
25,Mauritius,Afrika,1.262.000
26,Mikronesia,Oseania,111.000
27,Namibia,Afrika,2.074.000
28,Nauru[9],Oseania,10.000
29,Nigeria[10],Afrika,148.093.000
30,Pakistan,Asia,165.449.000
31,Palau,Oseania,20.000
32,Papua New Guinea[11][12],Oseania,6.331.000
33,Rwanda,Afrika,9.725.000
34,Saint Kitts and Nevis[13],Amerika Utara,50.000
35,Saint Lucia,Amerika Utara,165.000
36,Saint Vincent dan Grenadines[14],Amerika Utara,120.000
37,Samoa[15],Oseania,188.359
38,Selandia Baru,Oseania,4.294.350
39,Seychelles,Afrika,87.000
40,Sierra Leone,Afrika,5.866.000
41,Singapura[16],Asia,4.839.400
42,Kepulauan Solomon,Oseania,506.992
43,Sudan,Afrika,38.560.000
44,Swaziland,Afrika,1.141.000
45,Tanzania,Afrika,40.454.000
46,Tonga[17],Oseania,100.000
47,Trinidad dan Tobago,Amerika Utara,1.333.000
48,Tuvalu,Oseania,11.000
49,Uganda,Afrika,30.884.000
50,Vanuatu[18],Oseania,226.000
51,Yordania,Asia,6.407.058
52,Zambia,Afrika,11.922.000
53,Zimbabwe,Afrika,13.349.000
