,O r g a n i s m e,N a m a   i l m i a h,J u m l a h   d i p l o i d   k r o m o s o m   ( 2 n   =   x ),C a t a t a n
0,Ciliated Protozoa,Oxytricha trifallax,15600 [1],
1,Adders-tongue,Ophioglossum reticulatum,1260 [2],"Jenis tumbuhan paku ini dikenal mempunyai jumlah kromosom tertinggi di antara semua bentuk kehidupan. Jumlah yang diberikan di sini adalah yang terbanyak, menunjukkan banyak varian."
2,Agrodiaetus (kupu-kupu),Agrodiaetus shahrami,268 [3],Serangga ini mempunyai kromosom terbanyak di antara semua binatang.
3,Field Horsetail,Equisetum arvense,216,
4,Rattlesnake fern,Botrypus virginianus,184[4],
5,Northern Lamprey,Petromyzontinae,174[1],
6,Carp,,104,
7,Red viscacha rat,Tympanoctomys barrerae,102 [5],"Highest number known in mammals, formerly thought to be a tetraploid.[6]"
8,Kamraj (fern),Helminthostachys zeylanica,94,
9,Aquatic Rat,Anotomys leander,92[7],"Dahulu dikira jumlah kromosom tertinggi di antara mamalia, sama dengan Ichthyomys pittieri."
10,Udang,Penaeus semisulcatus,86–92 [8],
11,Tikus pemakan kepiting (roden semiakuatik),Ichthyomys pittieri,92[7],"Dahulu dikira jumlah kromosom tertinggi di antara mamalia, sama dengan Anotomys leander."
12,Grape fern,Sceptridium,90,
13,Landak susu genus Atelerix (landak Afrika),,90,
14,Moonworts,Botrychium,90,
15,Landak susu genus Erinaceus (landak Woodland),,88,
16,Nagaho-no-natsu-no-hana-warabi,Botrypus strictus,88,B. strictus dan B. virginianus ditunjukkan sebagai paraphyletic dalam genus Botrypus
17,Burung merpati (pigeon),,80,
18,Kalkun,,80[9],
19,African Wild Dog,Lycaon pictus,78[10],
20,Ayam,Gallus gallus domesticus,78,
21,Koyote,Canis latrans,78[10],
22,Dhole,Cuon alpinus,78,
23,Dingo,Canis lupus dingo,78[10],
24,Anjing,Canis lupus familiaris,78[11],76 autosomal dan 2 seksual.[12]
25,Burung merpati (dove),,78[13],Berdasarkan burung merpati African collared
26,Golden Jackal,Canis aureus,78[10],
27,Serigala,Canis lupus,78,
28,Maned Wolf,Chrysocyon brachyurus,76,
