,B a h a s a,W i l a y a h,P e n g a t u r
0,Afrikaans,Afrika Selatan,Die Taalkommissie
1,Akan,Ghana,Komite Ortografi Akan
2,Albania,Albania,"Akademi Ilmu Pengetahuan Albania, Tirana"
3,Arab,Aljazair Suriah Mesir Yordania Maroko Irak Tunisia Sudan Israel Somalia,"Akademi Bahasa Arab; Aljazair, Suriah, Mesir, Somalia, Yordania, Maroko, Irak, Tunisia, Sudan, Israel Majelis Internasional Bahasa Arab"
4,Aragon,Aragon,"Academia de l'Aragonés, Aragon, Spanyol"
5,Armenia,Armenia,Akademi Ilmu Pengetahuan Nasional Armenia
6,Assam,Assam,Asam Sahitya Sabha (অসম সাহিত্য সভা)
7,Asturia,Asturias,Akademi bahasa Asturia (Academia de la Llingua Asturiana)
8,Azeri,Azerbaijan,Akademi Ilmu Pengetahuan Nasional Azerbaijan
9,Bengali,Bangladesh,Akademi Bangla (বাংলা একাডেমী)
10,Bengali,Benggala Barat,Paschimbanga Bangla Akademi (পশ্চিমবঙ্গ বাংলা আকাদেমি)
11,Basque,País Vasco,"Euskaltzaindia, sering kali diterjemahkan sebagai Akademi Kerajaan Bahasa Basque"
12,Belarus,Belarus,Institut Bahasa dan Literatur Jakub Kolas dan Janka Kupala[2] di Akademi Ilmu Pengetahuan Nasional Belarus
13,Berber atau Tamazight,Maroko,Institut Kerajaan Kebudayaan Amazight (IRCAM)
14,Berber atau Tamazight,Aljazair,HCA Diarsipkan 2012-06-26 di Wayback Machine.
15,Bulgaria,Bulgaria,Institut Bahasa Bulgaria di Akademi Ilmu Pengetahuan Bulgaria
16,Myanmar,Myanmar,Komisi Bahasa Myanmar
17,Catalan,Catalonia,Institute of Catalan Studies (Institut d'Estudis Catalans)
18,Catalan,Valencian Community,Acadèmia Valenciana de la Llengua (for the Valencian standard)
19,Cebuano,Filipina,Visayan Academy of Arts and Letters
20,Mandarin Chinese,Tiongkok,State Language and Letters Committee (国家语言文字工作委员会)
21,Mandarin Chinese,Republik Tiongkok (Taiwan),National Languages Committee (國語推行委員會)
22,Mandarin Chinese,Singapura,Promote Mandarin Council (讲华语运动理事会)
23,Mandarin Chinese,Malaysia,Chinese Language Standardisation Council of Malaysia (马来西亚华语规范理事会)
24,Cornish,Cornwall,Cornish Language Partnership (Keskowethyans an Taves Kernewek)
25,Croatian,Kroasia,Institute of Croatian Language and Linguistics (Institut za hrvatski jezik i jezikoslovlje)
26,Czech,Ceko,Institute of the Czech Language (of the Academy of Sciences of the Czech Republic) — Ústav pro jazyk český (Akademie věd České republiky)
27,Danish,Denmark,Dansk Sprognævn (Danish Language Council)
28,Dalecarlian,Dalarna County,Ulum Dalska
29,Dari,Afganistan,Academy of Sciences of Afghanistan
30,Divehi,Maladewa,Dhivehi Academy
31,Dutch,Belanda Belgia Suriname,Nederlandse Taalunie (Dutch Language Union)
32,Dzongkha,Bhutan,Dzongkha Development Commission
33,Estonian,Estonia,"Emakeele Seltsi keeletoimkond Diarsipkan 2012-07-31 di Wayback Machine. (Language Board at the Mother Tongue Society) sets rules and standards, authoritative advice is given by the Institute of the Estonian Language (Eesti Keele Instituut)"
34,Faroese,Kepulauan Faroe,Faroese Language Board (Føroyska málnevndin)
35,Filipino,Filipina,Commission on the Filipino Language
36,Finnish,Finlandia,Research Institute for the Languages of Finland
37,French,Prancis,Académie française (French Academy)
38,French,Quebec,Office québécois de la langue française (Quebec Office of the French Language)
39,Galician,Galicia,"Royal Galician Academy (Real Academia Galega, official)"
40,German,Jerman Austria SwissTemplat:Country data South Tyrol Belgium Liechtenstein Luxembourg,Council for German Orthography (Rat für deutsche Rechtschreibung)
41,Greenland,Greenland,The Greenland Language Secretariat (Oqaasileriffik)
42,Greek,Greece Cyprus,Center for the Greek language (Κέντρον Ελληνικής Γλώσσας)
43,Haitian Creole,Haiti,Ministère de l'éducation nationale et de la formation professionnelle Diarsipkan 2011-07-21 di Wayback Machine. (Haitian department of education)[butuh rujukan]
44,Hebrew,Israel,The Academy of the Hebrew Language (האקדמיה ללשון העברית)
45,Hindi,India,Central Hindi Directorate (regulates use of Devanagari script and Hindi spelling in India)
46,Hmar,India,"Hmar Literature Society (Manipur, India)[butuh rujukan]"
47,Hungarian,Hongaria,Research Institute for Linguistics of the Hungarian Academy of Sciences (Magyar Tudományos Akadémia Nyelvtudományi Intézete)
48,Icelandic,Islandia,Árni Magnússon Institute for Icelandic Studies
49,Igbo,Nigeria,Society for Promoting Igbo Language and Culture
50,Indonesian,Indonesia,Badan Pengembangan dan Pembinaan Bahasa
51,Irish,Irlandia Northern Ireland,Foras na Gaeilge
52,Italian,ItaliaTemplat:RSM Swiss Vatican City,Accademia della Crusca (Academy of the bran)
53,Japanese,Jepang,"No official centralized regulation, but de facto regulations by Agency for Cultural Affairs (文化庁) at the Ministry of Education of Japan (文部科学省)"
54,Kannada,Karnataka,Various academies and Government of Karnataka
55,Kashubian,Polandia,Commission of the Kashubian Language (Radzëzna Kaszëbsczégò Jãzëka Diarsipkan 2007-12-18 di Wayback Machine.)
56,Kazakh,Kazakhstan,Ministry of Culture of Kazakhstan Diarsipkan 2011-11-02 di Wayback Machine.
57,Korean,Korea Selatan,The National Institute of the Korean Language (국립국어원)
58,Kven,Norwegia,Kainun institutti – kvensk institutt
59,Kyrgyz,Kirgizstan,National Committee for State Language under the President of the Kyrgyz Republic[pranala nonaktif permanen] (Кыргыз Республикасынын Президентине караштуу Мамлекеттик тил боюнча улуттук комиссия)
60,Ladino,Israel,Autoridad Nasionala del Ladino (National Authority of Ladino) [1] Diarsipkan 2017-12-02 di Wayback Machine.
61,Latin,Holy See,Pontifical Academy for Latin (Pontificia Academia Latinitatis) (Latin in the Roman Catholic Church)[3]
62,Latin,,International Code of Botanical Nomenclature (of the International Association for Plant Taxonomy: botanical Latin)
63,Latin,,International Code of Zoological Nomenclature (of the International Commission on Zoological Nomenclature: zoological Latin)
64,Latvian,Latvia,Latvian State Language Center (Valsts Valodas Centrs)
65,Lithuanian,Lituania,Commission of the Lithuanian Language (Valstybinė lietuvių kalbos komisija)
66,Lusoga,Uganda,Lusoga Language Authority (LULA)
67,Macedonian,Makedonia Utara,"Macedonian Language Institute ""Krste Misirkov"" (Институт за македонски јазик „Крсте Мисирков“, Institut za makedonski jazik „Krste Misirkov“)"
68,Malay,Malaysia Brunei,Dewan Bahasa dan Pustaka (The Institute of Language and Literature)
69,Malayalam,Kerala,Kerala Sahitya Akademi (കേരള സാഹിത്യ പരിശീലന സ്ഥാപനം) and Government of Kerala
70,Maltese,Malta,National Council for the Maltese Language (www.kunsilltalmalti.gov.mt)
71,Manx,Pulau Man,Coonceil ny Gaelgey
72,Māori,Selandia Baru,Māori Language Commission
73,Mirandese,Portugal,Anstituto de la Lhéngua Mirandesa (Institute of the Mirandese Language)
74,Mixtec,Meksiko,Academy of the Mixtec Language (Ve'e Tu'un Sávi)
75,Mongolian,Mongolia,Council of the official state language (Төрийн хэлний зөвлөл). Decisions have to be confirmed by the Mongolian government.[4]
76,Nepali,Nepal,Language Academy of Nepal
77,Norwegian (Bokmål and Nynorsk),Norwegia,Norwegian Language Council
78,Occitan,Prancis Spanyol Monako Italia,Lo Congrès Permanent de la lenga occitana (the permanent congress of occitan language)[2]
79,Pashto,Afganistan Pakistan,Academy of Sciences of AfghanistanPashto Academy
