,#,P u l a u,L a u t,W i l a y a h,L u a s
0,1.0,Rügen,Laut Baltik,Mecklenburg-Vorpommern,926 km²
1,2.0,Usedom,Baltik,Mecklenburg-Vorpommern,373 km² (445 km²1))
2,3.0,Fehmarn,Baltik,Schleswig-Holstein,185 km²
3,4.0,Sylt,Laut Utara,Schleswig-Holstein,99 km²
4,5.0,Föhr,Laut Utara,Schleswig-Holstein,82 km²
5,6.0,Pellworm,Laut Utara,Schleswig-Holstein,37 km²
6,7.0,Poel,Baltik,Mecklenburg-Vorpommern,36 km²
7,8.0,Borkum,Laut Utara,Niedersachsen,31 km²
8,9.0,Norderney,Laut Utara,Niedersachsen,26 km²
9,10.0,Amrum,Laut Utara,Schleswig-Holstein,20.46 km²
