,U r u t a n,P u l a u,W i l a y a h ( k m ² ),N e g a r a
0,1,Greenland,2.175.600,divisi otonomi Denmark
1,2,Papua,785.753,Indonesia dan Papua Nugini
2,3,Kalimantan,743.330,"Indonesia, Malaysia, dan Brunei"
3,4,Madagaskar,587.041,Madagaskar
4,5,Pulau Baffin,507.451,Kanada
5,6,Sumatra,473.481,Indonesia
6,7,Honshu,227.414,Jepang
7,8,Britania Raya,219.000,Inggris
8,9,Pulau Victoria,217.291,Kanada
9,10,Ellesmere,196.236,Kanada
10,11,Sulawesi,174.600,Indonesia
11,12,Pulau Selatan,150.737,Selandia Baru
12,13,Jawa,126.700,Indonesia
13,14,Pulau Utara,114.050,Selandia Baru
14,15,Newfoundland,108.860,Kanada
15,16,Kuba,105.007,Kuba
16,17,Luzon,104.688,Filipina
17,18,Islandia,102.828,Islandia
18,19,Mindanao,94.630,Filipina
19,20,Irlandia,84.406,Irlandia dan Inggris
20,21,Hokkaido,78.073,Jepang
21,22,Sakhalin,76.400,Rusia
22,23,Hispaniola,74.700,Haiti dan Dominika
23,24,Pulau Banks,70.028,Kanada
24,25,Sri Lanka,65.268,Sri Lanka
25,26,Tasmania,60.637,Australia
26,27,Pulau Devon,55.247,Kanada
27,28,"Severny, Novaya Zemlya",48.904,Rusia
28,29,Isla Grande de Tierra del Fuego,47.992,Argentina dan Chili
29,30,Pulau Alexander,43.200,Antarktika
30,31,Axel Heiberg,43.178,Kanada
31,32,Pulau Melville,42.149,Kanada
32,33,Pulau Southampton,41.214,Kanada
33,34,Marajo,40.100,Brasil (pulau litoral terbesar di dunia)
34,35,Spitsbergen,39.044,"Svalbard, jajahan Norwegia"
35,36,Kyushu,36.555,Jepang
36,37,Formosa,35.883,Republik Tiongkok/Taiwan
37,38,Britain Baru,35.145,Papua Nugini
38,39,Hainan,33.572,Tiongkok
39,40,Pulau Pangeran Wales,33.339,Kanada
40,41,"Yuzhny, Novaya Zemlya",33.275,Rusia
41,42,Pulau Vancouver,31.285,Kanada
42,43,Timor,30.777,Timor Leste dan Indonesia
43,44,Sisilia,25.460,Italia
44,45,Somerset,24.786,Kanada
45,46,Sardinia,23.813,Italia
46,47,Kotelny / Faddeyesky,23.165,Rusia
47,48,Bananal,20.000,Brasil (pulau fluvial terbesar di dunia)
48,49,Shikoku,18.780,Jepang
49,50,Halmahera,17.780,Indonesia
50,51,Seram,17.148,Indonesia
51,52,Grande Terre,16.750,Kaledonia Baru (wilayah luar negeri Prancis)
52,53,Bathurst,16.042,Kanada
53,54,Pulau Pangeran Patrick,15.848,Kanada
54,55,Thurston,15.700,Antarktika
55,56,Sumbawa,15.448,Indonesia
56,57,Flores,14.300,Indonesia
57,58,Nordaustlandet,14.210,"Svalbard, jajahan Norwegia"
58,59,Oktyabrskoy Revolyutsii,14.170,Rusia
59,60,Pulau Raja William,13.111,Kanada
60,61,Samar,13.080,Filipina
61,62,Negros,12.705,Filipina
62,63,Tupinambarana,11.850,Brasil
63,64,Palawan,11.785,Filipina
64,65,Pulau Yos Sudarso (Dolak),11.600,Indonesia
65,66,Panay,11.515,Filipina
66,67,Bangka,11.330,Indonesia
67,68,Bolshevik,11.312,Rusia
68,69,Ellef Ringnes,11.295,Kanada
69,70,Sumba,11.153,Indonesia
70,71,Bylot,11.067,Kanada
71,72,Jamaika,10.991,Jamaika
72,73,Hawaii,10.414,Amerika Serikat
73,74,Viti Levu,10.388,Fiji
74,75,Cape Breton,10.311,Kanada
75,76,Bougainville,10.049,Papua Nugini
76,77,Mindoro,9.735,Filipina
77,78,Pulau Pangeran Charles,9.521,Kanada
78,79,Buru,9.505,Indonesia
79,80,Kodiak,9.293,AS
80,81,Siprus,9.251,Republik Siprus dan Republik Turki Siprus Utara
81,82,Pulau Komsomolets,9.006,Rusia
82,83,Puerto Riko,8.897,wilayah insuler AS
83,84,Corsica,8.681,Prancis
84,85,Irlandia Baru,8.661,Papua Nugini
85,86,Qeqertarsuatsiaq (Disko),8.578,"Greenland, divisi otonomi Denmark"
86,87,Carney,8.500,Antarktika
87,88,Chiloe,8.394,Chili
88,89,Crete,8.261,Yunani
89,90,Anticosti,7.941,Kanada
90,91,Wrangel (Vrangelya),7850,Rusia
91,92,Roosevelt,7.500,Antarktika
92,93,Leyte,7.214,Filipina
93,94,Sjaelland,7.031,Denmark
94,95,Cornwallis,6.995,Kanada
95,96,Pangeran Wales,6.675,AS
96,97,Grande Terre de Kerguelen,6.617,wilayah luar negeri Prancis
97,98,Falkland Timur,6.605,"Kepulauan Falkland, wilayah insuler Inggris, diklaim oleh Argentina"
98,99,Siple,6.500,Antarktika
99,100,Pulau Graham,6.361,Kanada
100,101,Novaya Sibir,6.200,Rusia
101,102,Pulau Melville,5.786,Australia
102,103,Pulau Pangeran Edward,5.620,Kanada
103,104,Bali,5.761,Indonesia
104,105,Wellington,5.556,Chili
105,106,Vanua Levu,5.535,Fiji
106,107,Pulau Coats,5.498,Kanada
107,108,Lombok,4.725,Indonesia
108,109,Pulau Chichagof,5.398,AS
109,110,Guadalcanal,5.302,Kepulauan Solomon
110,111,Madura,5.290,Indonesia
111,112,Amund Ringnes,5.255,Kanada
112,113,Pulau St. Lawrence,5.135,AS
113,114,Riesco,5.110,Chili
114,115,Pulau Mackenzie King,5.048,Kanada
115,116,Edgeoya,5.030,"Svalbard, jajahan Norwegia"
116,117,Caviana,5.000,"Brasil|} Pulau yang luas wilayahnya melebihi 1.000 km²[sunting | sunting sumber] Daftar berikut tidak lengkap. Pulau Wilayah(km²) Negara Fyn 2.985 Denmark Choiseul 2.966 Kepulauan Solomon Pulau Revillagigedo 2.965 Amerika Serikat Pulau Guest 2.950 Antarktika Muna 2.911 Indonesia Taliabu 2.900 Indonesia Pulau Kupreanof 2.813 AS Pulau Borden 2.794 Kanada Pulau Andaman Utara 2.781 India Zemlya Georga 2.770 Rusia Pulau Manitoulin 2.766 Kanada (pulau dengan danau air tawar terbesar di dunia) Pulau Unalaska 2.722 AS Saaremaa 2.674 Estonia Pulau Moresby 2.608 Kanada Pulau James Ross 2.600 Antarktika Obi 2.542 Indonesia Reunion 2.512 wilayah luar negeri Prancis Navarino 2.473 Chili Paramushir 2.471 Rusia Pulau Ross 2.460 Antarktika Pulau Ymer 2.437 Greenland Pulau Anvers 2.432 Antarktika Peleng 2.345 Indonesia Groote Eylandt 2.285 Australia Yapen 2.278 Indonesia Morotai 2.266 Indonesia Pulau Cornwall 2.258 Kanada Pulau Putri Royal 2.251 Kanada Juventud 2.237 Kuba Hinnoya 2.198 Norwegia Pulau Nelson 2.183 AS Lewis dan Harris 2.179 Inggris Pulau Richards 2.165 Kanada Pulau Margarita 2.100 Kolombia Tenerife 2.034 Spanyol Pulau Magdalena 2.025 Chili Rene-Levasseur 2.020 Kanada Bioko 2.017 Guinea Ekuatorial Pulau Kuiu 1.962 AS Biak 1.904 Indonesia Maui 1.888 AS Mauritius 1.836 Mauritius Cheju-do 1.825 Korea Selatan Afognak 1.809 AS Umnak 1.793 AS Pulau Angkatan Udara 1.720 Kanada Savaii 1.708 Samoa Pulau Bathurst 1.693 Australia Fuerteventura 1.660 Spanyol Zanzibar 1.658 Tanzania Skye 1.656 Inggris Pulau Fraser 1.653 Australia, pulau pasir yang terbesar di dunia Soisalo 1.635 Finlandia Lesbos 1.630 Yunani Oahu 1.600 AS Dakhin Shahbazpur 1.585 Bangladesh Gran Canaria 1.560 Spanyol Pulau Andaman Tengah 1.536 India Pulau Flaherty 1.525 Kanada Retea 1.480 Romania Kauai 1.446 AS Rhodes 1.398 Yunani Pulau Flinders 1.359 Australia Pulau Ramree 1.350 Myanmar Qeshm 1.336 Iran Morfil 1.250 Senegal Lolland 1.243 Denmark Pulau Tiburon 1.196 Meksiko Njazidja 1.158 Komoro Martinique 1.101 wilayah luar negeri Prancis Pulau Raja 1.091 Australia Pulau Margarita 1.072 Venezuela Pulau Atka 1.061 AS Nikobar Besar 1.045 India Tahiti 1.042 Polinesia Prancis, wilayah luar negeri Prancis Chongming 1.041 Tiongkok Pulau Mornington 1.002 Australia Catatan: Australia, dengan luas wilayah 7.600.000 km², biasanya dianggap sebagai benua daripada pulau. Apabila ia dinyatakan sebagai pulau, maka Australia-lah, bukan Greenland, yang merupakan pulau terbesar di dunia. Lihat pula[sunting | sunting sumber] Daftar pulau di Dunia Fakta geografi dunia Daftar pulau menurut jumlah penduduk Pranala luar[sunting | sunting sumber] (Inggris) Info pulau oleh Joshua Calder Diarsipkan 2005-08-12 di Wayback Machine. (Inggris) Program Lingkungan Hidup PBB daftar pulau-pulau menurut luas wilayah Diarsipkan 2015-12-01 di archive.ph Galat: URL arsip tidak dikenal"
117,Pulau,Wilayah(km²),Negara,
118,Fyn,2.985,Denmark,
119,Choiseul,2.966,Kepulauan Solomon,
120,Pulau Revillagigedo,2.965,Amerika Serikat,
121,Pulau Guest,2.950,Antarktika,
122,Muna,2.911,Indonesia,
123,Taliabu,2.900,Indonesia,
124,Pulau Kupreanof,2.813,AS,
125,Pulau Borden,2.794,Kanada,
126,Pulau Andaman Utara,2.781,India,
127,Zemlya Georga,2.770,Rusia,
128,Pulau Manitoulin,2.766,Kanada (pulau dengan danau air tawar terbesar di dunia),
129,Pulau Unalaska,2.722,AS,
130,Saaremaa,2.674,Estonia,
131,Pulau Moresby,2.608,Kanada,
132,Pulau James Ross,2.600,Antarktika,
133,Obi,2.542,Indonesia,
134,Reunion,2.512,wilayah luar negeri Prancis,
135,Navarino,2.473,Chili,
136,Paramushir,2.471,Rusia,
137,Pulau Ross,2.460,Antarktika,
138,Pulau Ymer,2.437,Greenland,
139,Pulau Anvers,2.432,Antarktika,
140,Peleng,2.345,Indonesia,
141,Groote Eylandt,2.285,Australia,
142,Yapen,2.278,Indonesia,
143,Morotai,2.266,Indonesia,
144,Pulau Cornwall,2.258,Kanada,
145,Pulau Putri Royal,2.251,Kanada,
146,Juventud,2.237,Kuba,
147,Hinnoya,2.198,Norwegia,
148,Pulau Nelson,2.183,AS,
149,Lewis dan Harris,2.179,Inggris,
150,Pulau Richards,2.165,Kanada,
151,Pulau Margarita,2.100,Kolombia,
152,Tenerife,2.034,Spanyol,
153,Pulau Magdalena,2.025,Chili,
154,Rene-Levasseur,2.020,Kanada,
155,Bioko,2.017,Guinea Ekuatorial,
156,Pulau Kuiu,1.962,AS,
157,Biak,1.904,Indonesia,
158,Maui,1.888,AS,
159,Mauritius,1.836,Mauritius,
160,Cheju-do,1.825,Korea Selatan,
161,Afognak,1.809,AS,
162,Umnak,1.793,AS,
163,Pulau Angkatan Udara,1.720,Kanada,
164,Savaii,1.708,Samoa,
165,Pulau Bathurst,1.693,Australia,
166,Fuerteventura,1.660,Spanyol,
167,Zanzibar,1.658,Tanzania,
168,Skye,1.656,Inggris,
169,Pulau Fraser,1.653,"Australia, pulau pasir yang terbesar di dunia",
170,Soisalo,1.635,Finlandia,
171,Lesbos,1.630,Yunani,
172,Oahu,1.600,AS,
173,Dakhin Shahbazpur,1.585,Bangladesh,
174,Gran Canaria,1.560,Spanyol,
175,Pulau Andaman Tengah,1.536,India,
176,Pulau Flaherty,1.525,Kanada,
177,Retea,1.480,Romania,
178,Kauai,1.446,AS,
179,Rhodes,1.398,Yunani,
180,Pulau Flinders,1.359,Australia,
181,Pulau Ramree,1.350,Myanmar,
182,Qeshm,1.336,Iran,
183,Morfil,1.250,Senegal,
184,Lolland,1.243,Denmark,
185,Pulau Tiburon,1.196,Meksiko,
186,Njazidja,1.158,Komoro,
187,Martinique,1.101,wilayah luar negeri Prancis,
188,Pulau Raja,1.091,Australia,
189,Pulau Margarita,1.072,Venezuela,
190,Pulau Atka,1.061,AS,
191,Nikobar Besar,1.045,India,
