,N a m a,G a m b a r,L o k a s i,T a n g g a l   d i t e t a p k a n   s e b a g a i   T a m a n   N a s i o n a l [ 7 ] [ 1 2 ],L u a s   a r e a   ( 2 0 2 1 ) [ 1 3 ],P e n g u n j u n g   R e k r e a s i   ( 2 0 2 1 ) [ 1 4 ],D e s k r i p s i
0,Acadia,,"Maine.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°21′N 68°13′W﻿ / ﻿44.35°N 68.21°W","February 26, 1919","49,07140 ekar (0,2 km2)",4069098,"Meliputi sebagian besar Pulau Gurun Gunung dan pulau-pulau pesisir lainnya, Acadia memiliki gunung tertinggi di pantai Atlantik Amerika Serikat, puncak granit, garis pantai laut, hutan, dan danau. Ada habitat air tawar, muara, hutan, dan intertidal.[15][16]"
1,American Samoa,,American Samoa14°15′S 170°41′W﻿ / ﻿14.25°S 170.68°W,"October 31, 1988","8,25667 ekar (0,0 km2)",8495,"Taman nasional paling selatan berada di tiga pulau Samoa dan melindungi terumbu karang, hutan hujan, pegunungan vulkanik, dan pantai pasir putih. Daerah ini juga merupakan rumah bagi rubah terbang, boobies coklat, penyu, dan 900 spesies ikan.[17]"
2,Arches,,Utah38°41′N 109°34′W﻿ / ﻿38.68°N 109.57°W,"November 12, 1971","76,67898 ekar (0,3 km2)",1806865,"Situs ini memiliki lebih dari 2.000 lengkungan batu pasir alami, dengan beberapa lengkungan paling populer di taman adalah Delicate Arch, Landscape Arch dan Double Arch.[18] Jutaan tahun erosi telah menciptakan struktur ini di iklim gurun di mana tanah gersang memiliki kerak tanah biologis yang menopang kehidupan dan lubang yang berfungsi sebagai cekungan penampung air alami. Formasi geologi lainnya termasuk puncak batu, sirip, dan batu penyeimbang.[19]"
3,Badlands,,South Dakota43°45′N 102°30′W﻿ / ﻿43.75°N 102.50°W,"November 10, 1978","242,75594 ekar (1,0 km2)",1224226,"The Badlands adalah kumpulan buttes, puncak, menara, dan padang rumput campuran. White River Badlands berisi kumpulan terbesar fosil mamalia Eosen Akhir dan Oligosen yang diketahui.[20] Satwa liar termasuk bison, domba bighorn, musang berkaki hitam, dan anjing padang rumput.[21]"
4,Big Bend,,Texas29°15′N 103°15′W﻿ / ﻿29.25°N 103.25°W,"June 12, 1944","801,16321 ekar (3,2 km2)",581220,"Dinamakan karena tikungan yang menonjol di Rio Grande di sepanjang perbatasan AS-Meksiko, taman ini mencakup sebagian besar dan terpencil Gurun Chihuahuan. Daya tarik utamanya adalah rekreasi pedesaan di Pegunungan Chisos yang gersang dan di ngarai di sepanjang sungai. Berbagai macam peninggalan periode Kapur dan fosil tersier serta artefak budaya penduduk asli Amerika juga tersedia di dalamnya.[22] (BR)[23]"
5,Biscayne,,Florida25°39′N 80°05′W﻿ / ﻿25.65°N 80.08°W,"June 28, 1980","172,97111 ekar (0,7 km2)",705655,"Bagian tengah Teluk Biscayne, sebagian besar taman bawah laut di ujung utara Florida Keys ini memiliki empat ekosistem laut yang saling terkait: hutan bakau, Teluk, karang kecil, dan terumbu karang. Hewan yang terancam termasuk manatee India Barat, buaya Amerika, berbagai penyu, dan elang peregrine.[24]"
6,Black Canyon of the Gunnison,,Colorado38°34′N 107°43′W﻿ / ﻿38.57°N 107.72°W,"October 21, 1999","30,77983 ekar (0,1 km2)",308910,"Taman ini melindungi seperempat Sungai Gunnison, yang membelah dinding ngarai terjal dari batu gelap era Prakambrium. Ngarai ini memiliki beberapa tebing paling curam dan batu tertua di Amerika Utara, dan merupakan situs populer untuk arung jeram dan panjat tebing. Ngarai yang dalam dan sempit terdiri dari gneiss dan sekis, yang tampak hitam saat berada dalam bayangan.[25]"
7,Bryce Canyon,,Utah37°34′N 112°11′W﻿ / ﻿37.57°N 112.18°W,"February 25, 1928","35,83508 ekar (0,1 km2)",2104600,Bryce Canyon adalah amfiteater geologis di Dataran Tinggi Paunsaugunt dengan ratusan tudung batu pasir warna-warni yang tinggi yang dibentuk oleh erosi. Wilayah ini awalnya dihuni oleh penduduk asli Amerika dan kemudian oleh perintis Mormon.[26]
8,Canyonlands,,Utah38°12′N 109°56′W﻿ / ﻿38.2°N 109.93°W,"September 12, 1964","337,59783 ekar (1,4 km2)",911594,"Lanskap ini terkikis menjadi labirin ngarai, buttes, dan mesas oleh upaya gabungan dari Sungai Colorado, Green River, dan anak-anak sungainya, yang membagi taman menjadi tiga distrik. Taman ini juga memiliki puncak dan lengkungan batu, serta artefak dari masyarakat Pueblo Kuno.[27]"
9,Capitol Reef,,Utah38°12′N 111°10′W﻿ / ﻿38.20°N 111.17°W,"December 18, 1971","241,90450 ekar (1,0 km2)",1405353,"Waterpocket Fold taman adalah monoklin 100-mil (160 km) yang menunjukkan lapisan geologis bumi yang beragam. Fitur alam lainnya termasuk monolit, tebing, dan kubah batu pasir berbentuk seperti Capitol Amerika Serikat.[28]"
