,K e l u a r g a,N o . [ a ],N a m a   i l m i a h,N a m a   I n d o n e s i a,A p e n d i k s   C I T E S [ b ],K a t e g o r i   I U C N [ c ]
0,Ordo Artiodactyla,Ordo Artiodactyla,Ordo Artiodactyla,Ordo Artiodactyla,Ordo Artiodactyla,Ordo Artiodactyla
1,Bovidae,8,Bos javanicus,banteng,non-apendiks,genting
2,Bovidae,9,Bubalus depressicornis,anoa dataran rendah,apendiks I,genting
3,Bovidae,10,Bubalus quarlesi,anoa gunung,apendiks I,genting
4,Bovidae,11,Capricornis sumatraensis,kambing-hutan sumatra,apendiks I,rentan
5,Cervidae,29,Axis kuhlii,rusa bawean,apendiks I,terancam kritis
6,Cervidae,30,Muntiacus muntjak,kijang muncak,non-apendiks,berisiko rendah
7,Cervidae,31,Muntiacus atherodes,kijang kuning,non-apendiks,hampir terancam
8,Cervidae,32,Rusa timorensis,rusa timor,non-apendiks,rentan
9,Cervidae,33,Rusa unicolor,rusa sambar,non-apendiks,rentan
10,Suidae,115,Babyrousa babyrussa,babirusa tualangio,apendiks I,rentan
11,Tragulidae,127,Tragulus javanicus,pelanduk kancil,non-apendiks,kekurangan data
12,Tragulidae,128,Tragulus kanchil,kancil kecil,non-apendiks,berisiko rendah
13,Tragulidae,129,Tragulus napu,pelanduk napu,non-apendiks,berisiko rendah
14,Ordo Carnivora,Ordo Carnivora,Ordo Carnivora,Ordo Carnivora,Ordo Carnivora,Ordo Carnivora
15,Canidae,12,Cuon alpinus,anjing ajag,apendiks II,genting
16,Felidae,52,Catopuma badia,kucing merah,apendiks II,genting
17,Felidae,53,Catopuma temminckii,kucing emas,apendiks I,hampir terancam
18,Felidae,54,Neofelis diardi,macan dahan,apendiks I,genting dan rentan[d]
19,Felidae,55,Panthera pardus melas,"harimau tutul, macan tutul",apendiks I,terancam kritis
20,Felidae,56,Panthera tigris sumatrae,harimau sumatra,apendiks I,terancam kritis
21,Felidae,57,Pardofelis marmorata,kucing batu,apendiks I,hampir terancam
22,Felidae,58,Prionailurus bengalensis,kucing kuwuk,apendiks II,berisiko rendah
23,Felidae,59,Prionailurus planiceps,kucing tandang,apendiks I,genting
24,Felidae,60,Prionailurus viverrinus,kucing bakau,apendiks II,rentan
25,Mustelidae,85,Arctonyx collaris,sigung sumatra,non-apendiks,rentan
26,Mustelidae,86,Lutra lutra,berang-berang pantai,apendiks I,hampir terancam
27,Mustelidae,87,Lutra sumatrana,berang-berang gunung,apendiks II,genting
28,Mustelidae,88,Lutrogale perspicillata,berang-berang wregul,apendiks II,rentan
29,Ursidae,130,Helarctos malayanus,beruang madu,apendiks I,rentan
30,Viverridae,107,Prionodon linsang,musang lingsang,apendiks II,berisiko rendah
31,Viverridae,131,Arctictis binturong,binturong,apendiks III,rentan
32,Viverridae,132,Cynogale bennettii,musang air,apendiks II,genting
33,Viverridae,133,Macrogalidia musschenbroekii,musang sulawesi,non-apendiks,rentan
34,Ordo Cetacea,Ordo Cetacea,Ordo Cetacea,Ordo Cetacea,Ordo Cetacea,Ordo Cetacea
35,Balaenopteridae,1,Balaenoptera acutorostrata,paus tombak,apendiks I,risiko rendah
36,Balaenopteridae,2,Balaenoptera bonaerensis,paus minke antarktika,apendiks I,hampir terancam
37,Balaenopteridae,3,Balaenoptera borealis,paus sei,apendiks I,genting
38,Balaenopteridae,4,Balaenoptera edeni,paus edeni,apendiks I,risiko rendah
39,Balaenopteridae,5,Balaenoptera musculus,paus biru,apendiks I,genting
40,Balaenopteridae,6,Balaenoptera omurai,paus omura,apendiks I,kekurangan data
41,Balaenopteridae,7,Megaptera novaeangliae,paus bungkuk,apendiks I,risiko rendah
42,Delphinidae,34,Delphinus capensis (en),lumba-lumba moncong panjang,apendiks II,kekurangan data
43,Delphinidae,35,Feresa attenuata (en),paus pemangsa kerdil,apendiks II,berisiko rendah
44,Delphinidae,36,Globicephala macrorhynchus,paus pilot bersirip pendek,apendiks II,berisiko rendah
45,Delphinidae,37,Grampus griseus (en),lumba-lumba risso,apendiks II,berisiko rendah
46,Delphinidae,38,Lagenodelphis hosei (en),lumba-lumba fraser,apendiks II,berisiko rendah
47,Delphinidae,39,Orcaella brevirostris,pesut mahakam,apendiks I,genting
48,Delphinidae,40,Orcinus orca,"paus pembunuh, paus seguni",apendiks II,kekurangan data
49,Delphinidae,41,Peponocephala electra (en),paus kepala melon,apendiks II,berisiko rendah
50,Delphinidae,42,Pseudorca crassidens (en),paus pemangsa palsu,apendiks II,hampir terancam
51,Delphinidae,43,Sousa chinensis (en),lumba-lumba bongkok,apendiks I,rentan
52,Delphinidae,44,Stenella attenuata (en),lumba-lumba totol,apendiks II,berisiko rendah
53,Delphinidae,45,Stenella coeruleoalba (en),lumba-lumba garis,apendiks II,berisiko rendah
54,Delphinidae,46,Stenella longirostris (en),lumba-lumba moncong panjang,apendiks II,berisiko rendah
55,Delphinidae,47,Steno bredanensis (en),lumba-lumba gigi kasar,apendiks II,berisiko rendah
56,Delphinidae,48,Tursiops aduncus (en),lumba-lumba hidung botol indopasifik,apendiks II,hampir terancam
57,Delphinidae,49,Tursiops truncatus,lumba-lumba hidung botol,apendiks II,berisiko rendah
58,Phocoenidae,103,Neophocaena phocaenoides,lumba-lumba hitam tak bersirip,apendiks I,rentan
59,Physeteridae,104,Kogia breviceps,paus lodan kecil jauba,apendiks II,kekurangan data
60,Physeteridae,105,Kogia sima,paus lodan kecil,apendiks II,kekurangan data
61,Physeteridae,106,Physeter macrocephalus,paus sperma,apendiks I,rentan
62,Ziphiidae,134,Indopacetus pacificus,paus hidung botol,apendiks II,kekurangan data
63,Ziphiidae,135,Mesoplodon densirostris,paus paruh blainville,apendiks II,kekurangan data
64,Ziphiidae,136,Mesoplodon ginkgodens,paus paruh bergigi ginkgo,apendiks II,kekurangan data
65,Ziphiidae,137,Ziphius cavirost,paus paruh angsa,apendiks II,berisiko rendah
66,Ordo Chiroptera,Ordo Chiroptera,Ordo Chiroptera,Ordo Chiroptera,Ordo Chiroptera,Ordo Chiroptera
67,Pteropodidae,108,Acerodon humilis,codot talaud,apendiks II,genting
68,Pteropodidae,109,Neopteryx frosti,codot gigi kecil,non-apendiks,genting
69,Pteropodidae,110,Pteropus pumilus,kalong talaud,apendiks II,hampir terancam
70,Ordo Diprotodontia,Ordo Diprotodontia,Ordo Diprotodontia,Ordo Diprotodontia,Ordo Diprotodontia,Ordo Diprotodontia
71,Macropodidae,76,Dendrolagus dorianus (en),kangguru pohon ndomea,non-apendiks,rentan
72,Macropodidae,77,Dendrolagus goodfellowi,kangguru pohon hias,non-apendiks,genting
73,Macropodidae,78,Dendrolagus inustus,kangguru pohon wakera,apendiks II,rentan
74,Macropodidae,79,Dendrolagus mbaiso,kangguru pohon mbaiso,non-apendiks,genting
75,Macropodidae,80,Dendrolagus ursinus,kangguru pohon nemena,apendiks II,rentan
76,Macropodidae,81,Thylogale browni (en),pelandu nugini,non-apendiks,rentan
77,Macropodidae,82,Thylogale brunii (en),pelandu aru,non-apendiks,rentan
78,Macropodidae,83,Thylogale stigmatica (en),pelandu merah,non-apendiks,berisiko rendah
79,Phalangeridae,89,Ailurops melanotis,kuskus talaud,non-apendiks,terancam kritis
80,Phalangeridae,90,Phalanger alexandrae,kuskus gebe,non-apendiks,genting
81,Phalangeridae,91,Phalanger carmelitae,kuskus gunung,non-apendiks,berisiko rendah
82,Phalangeridae,92,Phalanger gymnotis,kuskus guannal,non-apendiks,berisiko rendah
83,Phalangeridae,93,Phalanger intercastellanus,kuskus selatan,apendiks II,berisiko rendah
84,Phalangeridae,94,Phalanger matabiru,kuskus matabiru,non-apendiks,rentan
85,Phalangeridae,95,Phalanger rothschildi,kuskus obi,non-apendiks,berisiko rendah
86,Phalangeridae,96,Phalanger sericeus,kuskus yaben,non-apendiks,berisiko rendah
87,Phalangeridae,97,Phalanger vestitus,kuskus siku putih,non-apendiks,berisiko rendah
88,Phalangeridae,98,Spilocuscus maculatus,kuskus pontai,apendiks II,berisiko rendah
89,Phalangeridae,99,Spilocuscus papuensis,kuskus scham-scha,apendiks II,rentan
90,Phalangeridae,100,Spilocuscus rufoniger,kuskus bohai,non-apendiks,terancam kritis
91,Phalangeridae,101,Strigocuscus celebensis,kuskus tembung,non-apendiks,rentan
92,Phalangeridae,102,Strigocuscus pelengensis,kuskus peleng,non-apendiks,berisiko rendah
93,Ordo Lagomorpha,Ordo Lagomorpha,Ordo Lagomorpha,Ordo Lagomorpha,Ordo Lagomorpha,Ordo Lagomorpha
94,Leporidae,72,Nesolagus netscheri,kelinci sumatra,non-apendiks,kekurangan data
95,Ordo Monotremata,Ordo Monotremata,Ordo Monotremata,Ordo Monotremata,Ordo Monotremata,Ordo Monotremata
96,Tachyglossidae,116,Tachyglossus aculeatus,nokdiak moncong pendek,non-apendiks,berisiko rendah
97,Tachyglossidae,117,Zaglossus bruijni,nokdiak moncong panjang,apendiks II,terancam kritis
98,Ordo Perissodactyla,Ordo Perissodactyla,Ordo Perissodactyla,Ordo Perissodactyla,Ordo Perissodactyla,Ordo Perissodactyla
99,Rhinocerotidae,111,Dicerorhinus sumatrensis,badak sumatra,apendiks I,terancam kritis
100,Rhinocerotidae,112,Rhinoceros sondaicus,badak jawa,apendiks I,terancam kritis
101,Tapiridae,118,Tapirus indicus,tapir tenuk,apendiks I,genting
102,Ordo Pholidota,Ordo Pholidota,Ordo Pholidota,Ordo Pholidota,Ordo Pholidota,Ordo Pholidota
103,Manidae,84,Manis javanica,trenggiling,apendiks I,terancam kritis
104,Ordo Primata,Ordo Primata,Ordo Primata,Ordo Primata,Ordo Primata,Ordo Primata
105,Cercopithecidae,13,Macaca maura,monyet darre,apendiks II,genting
106,Cercopithecidae,14,Macaca nigra,monyet yaki,apendiks II,terancam kritis
107,Cercopithecidae,15,Macaca ochreata (en),monyet digo,apendiks II,rentan
108,Cercopithecidae,16,Macaca pagensis,beruk mentawai,apendiks II,terancam kritis
109,Cercopithecidae,17,Macaca tonkeana (en),monyet boti,apendiks II,rentan
110,Cercopithecidae,18,Nasalis larvatus,bekantan,apendiks I,genting
111,Cercopithecidae,19,Presbytis comata,lutung surili,apendiks II,genting
112,Cercopithecidae,20,Presbytis frontata,lutung jirangan,apendiks II,rentan
113,Cercopithecidae,21,Presbytis melalophos,lutung simpai,apendiks II,genting
114,Cercopithecidae,22,Presbytis natunae,kekah,apendiks II,rentan
115,Cercopithecidae,23,Presbytis potenziani,lutung joja,apendiks I,genting
116,Cercopithecidae,24,Presbytis rubicunda,lutung merah,apendiks II,berisiko rendah
117,Cercopithecidae,25,Presbytis thomasi,lutung kedih,apendiks II,rentan
118,Cercopithecidae,26,Simias concolor,lutung simakobu,apendiks I,terancam kritis
119,Cercopithecidae,27,Trachypithecus auratus,lutung budeng,apendiks II,rentan
120,Cercopithecidae,28,Trachypithecus cristatus,lutung kelabu,apendiks II,hampir terancam
121,Hominidae,61,Pongo abelii,"mawas sumatra, orang utan sumatra",apendiks I,terancam kritis
122,Hominidae,62,Pongo pygmaeus,"mawas kalimantan, orang utan kalimantan",apendiks I,terancam kritis
123,Hominidae,63,Pongo tapanuliensis,"mawas tapanuli, orang utan tapanuli",apendiks II,terancam kritis
124,Hylobatidae,64,Hylobates agilis,owa ungko,apendiks I,genting
125,Hylobatidae,65,Hylobates albibarbis,"owa jenggot putih, owa kalimantan",apendiks I,genting
126,Hylobatidae,66,Hylobates klossii,owa bilau,apendiks I,genting
127,Hylobatidae,67,Hylobates lar,owa serudung,apendiks I,genting
128,Hylobatidae,68,Hylobates moloch,owa jawa,apendiks I,genting
129,Hylobatidae,69,Hylobates muelleri,owa kalawat,apendiks I,genting
130,Hylobatidae,70,Symphalangus syndactylus,owa siamang,apendiks I,genting
131,Lorisidae,73,Nycticebus coucang,kukang,apendiks I,rentan
132,Lorisidae,74,Nycticebus javanicus,kukang jawa,apendiks I,terancam kritis
133,Lorisidae,75,Nycticebus menagensis,kukang kalimantan,apendiks I,rentan
134,Tarsiidae,119,Tarsius bancanus,krabuku ingkat,apendiks II,rentan
135,Tarsiidae,120,Tarsius dentatus,krabuku diana,apendiks II,rentan
136,Tarsiidae,121,Tarsius lariang,tarsius lariang,apendiks II,kekurangan data
137,Tarsiidae,122,Tarsius pelengensis,krabuku peleng,apendiks II,genting
138,Tarsiidae,123,Tarsius pumilus,krabuku kecil,apendiks II,kekurangan data
139,Tarsiidae,124,Tarsius sangirensis,krabuku sangihe,apendiks II,genting
140,Tarsiidae,125,Tarsius tarsier,krabuku tangkasi,apendiks II,rentan
141,Tarsiidae,126,Tarsius tumpara,tarsius siau,apendiks II,terancam kritis
142,Ordo Proboscidea,Ordo Proboscidea,Ordo Proboscidea,Ordo Proboscidea,Ordo Proboscidea,Ordo Proboscidea
143,Elephantidae,51,Elephas maximus,gajah asia,apendiks I,genting
144,Ordo Rodentia,Ordo Rodentia,Ordo Rodentia,Ordo Rodentia,Ordo Rodentia,Ordo Rodentia
145,Hystricidae,71,Hystrix javanica,landak jawa,non-apendiks,berisiko rendah
