,P e r i n g k a t,N a m a   w i l a y a h   m e t r o p o l i t a n,N e g a r a,P o p u l a s i   w i l a y a h   m e t r o p o l i t a n,P o p u l a s i   k o t a m a d y a
0,1,Moskwa,Rusia,14744150,"10,425,075 (2006)"
1,2,Istanbul,Turki,13179865,"11,372,613 (2007)"
2,3,London,Britania Raya,13063441,"7,517,700 (2005)"
3,4,Paris,Prancis,11818503,"2,153,600 (2005)"
4,5,Rhine-Ruhr,Jerman,11817132,"(983,347); (585,430); (574,514)"
5,6,Randstad,Belanda,6579720,"(743,070); (588,697); (475,627); (306,731)"
6,7,Madrid,Spanyol,6270551,"3,128,600 (2006)"
7,8,Manchester Raya/Liverpool,Britania Raya,"5,019,446[1]","(460,500); (442,800); (281,600); (217,393); (216,103); Rochdale (206,400); Trafford (213,200)"
8,9,Barcelona,Spanyol,4959864,"1,605,602 (2006)"
9,10,Saint-Peterburg,Rusia,4820815,"4,580,620 (2006)"
10,11,Milan,Italia,4308403,"1,308,735 (2006)"
11,12,Berlin,Jerman,4040690,"3,395,189 (2005)"
12,13,Rome,Italia,3858111,"2,547,677 (2006)"
13,14,Athena,Yunani,3829018,"745,514 (2001)"
14,15,Napoli,Italia,3817076,"984,242 (2006)"
15,16,West Midlands,Britania Raya,3704574,"(994,900); (306,900); (251,462)"
16,17,Region Metropolitan Hamburg,Jerman,3266896,"1,743,627 (2006)"
17,18,Wilayah Rhine Main Frankfurt,Jerman,3133739,"667,468 (2007)"
18,19,Kiev,Ukraina,2989638,"2,660,401 (2005)"
19,20,Lisbon,Portugal,2634878,"564,657 (2001)"
20,21,Budapest,Hongaria,2578731,"1,697,343 (2005)"
21,22,Wilayah Metropolitan Silesian Hulu,Polandia,2552515,"(313,461); (223,284); (197,874); (189,656); (185,793); (June 2007)"
22,23,Kopenhagen-Malmö,Denmark/ Swedia,2387192,"503,699 (2007); 279,915 (2007)"
23,24,Region Stuttgart,Jerman,2334683,"592,569 (2005)"
24,25,München,Jerman,2312477,"1,259,677 (2005)"
25,26,Warsawa,Polandia,2251474,"1,704,717 (June 2007)"
26,27,"Alma (Aachen, Liège, Maastricht)",Belanda  Belgia  Jerman,2215374,"Aachen (258,208); Liege (187,086); Maastricht (120,175)"
27,28,Bukares,Rumania,2192372,"1,921,751 (2002)"
28,29,Brussel,Belgia,2175008,"144,784 (2006)"
29,30,Wina,Austria,2113619,"1,651,365 (2006)"
30,31,West Yorkshire,Britania Raya,1966583,"(448,000); (477,770); (320,600)"
31,32,Lille-Kortrijk,Prancis/ Belgia,1902966,"(225,100)"
32,33,Lyon,Prancis,1798395,"466,400 (2005)"
33,34,Nizhny Novgorod,Rusia,1794960,"1,283,553 (2006)"
34,35,Beograd,Serbia,1766534,"1,120,092 (2002)"
35,36,Minsk,Belarus,1753547,"1,765,800 (2005)"
36,37,Stockholm,Swedia,1737995,"792,593 (2007)"
37,38,Turin,Italia,1690119,"900,608 (2006)"
38,39,Greater Glasgow,Britania Raya,1633187,"632,000 (August 2007)"
39,40,Donetsk,Ukraina,1631210,"999,975 (2005)"
40,41,Marseille,Prancis,1623720,"820,900 (2005)"
41,42,Kharkiv,Ukraina,1597408,"1,464,740 (2005)"
42,43,Rhine Neckar Area,Jerman,1519893,"(307,900); (163,560); (142,993)"
43,44,Douai-Lens-Bethune-Valenciennes,Prancis,1513023,"(43,200)"
44,45,Tyne and Wear,Britania Raya,1467758,"(280,807); (276,400)"
45,46,Volgograd,Rusia,1449400,"991,643 (2006)"
46,47,Bielefeld,Jerman,1443109,"326,925 (2005)"
47,48,Samara,Rusia,1427391,"1,143,346 (2006)"
48,49,Dnipropetrovsk,Ukraina,1406784,"1,056,497 (2005)"
49,50,Praha,Ceko,1406142,"1,181,610 (2006)"
50,51,Halle-Leipzig,Jerman,"1,388,578[1]","Halle (237,198); Leipzig (502,651)"
51,52,Valencia,Spanyol,1374294,"805,304 (2006)"
