,N e g a r a,K a w a s a n,A n g g o t a   y a n g   d i w a k i l i,D i r e k t u r,P e m e g a n g   h a k   s u a r a   t e r b a n y a k
0,Zimbabwe,Zimbabwe,1,Sunil Sabharwal,Zimbabwe
1,Jepang,Jepang,1,Masaaki Kaizuka,Jepang
2,Senegal,Afrika 2,23,Daouda Sembene,Republik Demokratik Kongo
3,Belgia,Beneluks dan Eropa Timur,15,Anthony De Lannoy,Belanda
4,Jerman,Jerman,1,Steffen Meyer,Jerman
5,Meksiko,Spanyol & Amerika Tengah,8,Carlos Hurtado,Spanyol
6,Malaysia,Asia Tenggara,13,Marzunisham Omar,Indonesia
7,Italia,Eropa Mediterania,6,Carlo Cottarelli,Italia
8,Prancis,Prancis,1,Herve de Villeroche,Prancis
9,Britania Raya,Britania Raya,1,Stephen Field,Britania Raya
10,Korea,Timur Jauh,16,Heenam Choi,Korea
11,Kanada,Atlantik Utara & Karibia,12,Nancy Gail Horsman,Kanada
12,Swedia,Eropa Utara,8,Thomas Ostros,Swedia
13,Republik Ceko,Eropa Tengah,8,Ibrahim Canakci,Turki
14,Brasil,Amerika Selatan Utara,11,Alexandre Tombini,Brasil
15,India,Anak Benua India,4,Subir Gokarn,India
16,Malawi,Afrika 1,23,Maxwell M. Mkwezalamba,Afrika Selatan
17,Mesir,Afrika Utara & Timur Tengah,13,Hazem Beblawi Elbeblawi,Uni Emirat Arab
18,Polandia,"Swiss, Polandia & Timur Dekat",8,Miroslaw Jan Panek,Swiss
19,Rusia,Rusia,1,Aleksei V. Mozhin,Rusia
20,Iran,Iran & Timur Tengah,7,Jafar Mojarrad,Iran
21,Arab Saudi,Arab Saudi,1,Hesham Fahad Alogeel,Arab Saudi
22,Argentina,Amerika Selatan Selatan,6,Jorge Angel Estrella,Argentina
