,P e s a w a t,B e r o p e r a s i,P e s a n a n,P e n u m p a n g,P e n u m p a n g,P e n u m p a n g,P e n u m p a n g,P e n u m p a n g,P e n u m p a n g,R e f,C a t a t a n
0,Airbus A220-100,42,3[39],—,12,—,15,82,109.0,[40],
1,Airbus A220-300,10,40,—,12,—,30,88,130.0,[41],
2,Airbus A319-100,57,—,—,12,—,18,102,132.0,[42],
3,Airbus A320-200,56,—,—,16,—,18,123,157.0,[43],
4,Airbus A321-200,127,—,—,20,—,29,142,191.0,[44],
5,Airbus A321neo,—,155[45],—,20,—,42,132,194.0,[46],
6,Airbus A330-200,11,—,34,—,—,32,168,234.0,[47],Akan dipasang kembali dengan kursi Premium Select.[48]
7,Airbus A330-200,11,—,34,—,21,24,144,223.0,[49],
8,Airbus A330-300,31,—,34,—,—,40,219,293.0,[50][51],Akan dipasang kembali dengan kursi Premium Select.[48]
9,Airbus A330-300,31,—,34,—,21,24,203,282.0,[50][51],
10,Airbus A330-900,11,26[52],29,—,28,56,168,281.0,[53],
11,Airbus A350-900,24,20[54],32,—,48,36,190,306.0,[55],
12,Boeing 717-200,56,—,—,12,—,20,78,110.0,[56],Akan dipensiunkan pada 2025.[57]
13,Boeing 737-800,77,—,—,16,—,36,108,160.0,[58],
14,Boeing 737-900ER,159,—,—,20,—,21,139,180.0,[59],
15,Boeing 757-200,100,—,—,20,—,41,132,193.0,[60],
16,Boeing 757-200,100,—,—,20,—,29,150,199.0,[60],
17,Boeing 757-200,100,—,16,—,—,44,108,168.0,[60],
18,Boeing 757-200,11,—,—,72,—,—,—,72.0,[60],
19,Boeing 757-300,16,—,—,24,—,32,178,234.0,[61],
20,Boeing 767-300ER,41,—,26,—,18,21,151,216.0,[62],Pesawat lama akan dipensiunkan pada 2025. Sisa pesawat akan dipasang kembali dengan kursi Premium Select.[48][63]
21,Boeing 767-300ER,41,—,26,—,—,35,165,226.0,[62],Pesawat lama akan dipensiunkan pada 2025. Sisa pesawat akan dipasang kembali dengan kursi Premium Select.[48][63]
22,Boeing 767-300ER,41,—,36,—,—,32,143,211.0,[62],Pesawat lama akan dipensiunkan pada 2025. Sisa pesawat akan dipasang kembali dengan kursi Premium Select.[48][63]
23,Boeing 767-400ER,21,—,34,—,20,28,156,238.0,[64],
24,Boeing 767-400ER,21,—,40,—,—,28,178,246.0,[64],Akan dipasang kembali dengan kursi Delta One dan Premium Select baru.[48][65]
25,Total,850,244,,,,,,,,
