,0,1,2,3,4
0,Negara Bagian,Ibu kota,Area (km²),Populasi[2] (31 Des 2015),Kepadatan Penduduk
1,Berlin,Berlin,892,3670622,4100
2,Hamburg,Hamburg,755,1787408,2366
3,Bremen,Bremen,419,671489,1599
4,North Rhine-Westphalia,Düsseldorf,34.110,17865516,524
5,Saarland,Saarbrücken,2.569,995597,388
6,Baden-Württemberg,Stuttgart,35.751,10879618,304
7,Hesse,Wiesbaden,21.115,6176172,293
8,Saxony,Dresden,18.420,4084851,221
9,Rhineland-Palatinate,Mainz,19.854,4052803,204
10,Bavaria,Munich,70.550,12843514,182
11,Schleswig-Holstein,Kiel,15.800,2858714,181
12,Lower Saxony,Hanover,47.614,7926599,167
13,Thuringia,Erfurt,16.173,2170714,134
14,Saxony-Anhalt,Magdeburg,20.452,2245470,110
15,Brandenburg,Potsdam,29.654,2484826,83
16,Mecklenburg-Vorpommern,Schwerin,23.212,1612362,69
17,Jerman,Berlin,357.340,82175684,230
