,N a m a,T a n g g a l   s e b a g a i   K e t u a
0,Ito Hirobumi,30 April 1888 – 30 Oktober 1889
1,Oki Takato,24 Desember 1889 – 1 Juni 1891
2,Ito Hirobumi,1 Juni 1891 – 8 Agustus 1892
3,Oki Takato,8 Agustus 1892 – 11 Maret 1893
4,Yamagata Aritomo,11 Maret 1893 – 12 Desember 1893
5,Kuroda Kiyotaka,17 Maret 1894 – 25 Agustus 1900
6,Saionji Kinmochi,27 Agustus 1900 – 13 Juli 1903
7,Ito Hirobumi,13 Juli 1903 – 21 Desember 1905
8,Yamagata Aritomo,21 Desember 1905 – 14 Juni 1909
9,Ito Hirobumi,14 Juni 1909 – 26 Oktober 1909
10,Yamagata Aritomo,26 Oktober 1909 – 1 Februari 1922
11,Kiyoura Keigo,8 Februari 1922 – 7 Januari 1924
12,Hamao Arata,13 Januari 1924 – 25 September 1925
13,Hozumi Nobushige,1 Oktober 1925 – 8 April 1926
14,Kuratomi Yuzaburo,12 April 1926 – 3 Mei 1934
15,Ichiki Kitokuro,3 Mei 1934 – 13 Maret 1936
16,Hiranuma Kiichiro,13 Maret 1936 – 5 Januari 1939
17,Konoe Fumimaro,5 Januari 1939 – 24 Juni 1940
18,Hara Yoshimichi,24 Juni 1940 – 7 Agustus 1944
19,Suzuki Kantaro,7 Agustus 1944 – 7 Juni 1945
20,Hiranuma Kiichiro,9 April 1945 – 3 Desember 1945
21,Suzuki Kantaro,15 Desember 1945 – 13 Juni 1946
22,Shimizu Toru,13 Juni 1946 – 26 September 1946
