,N a m a,N a m a   t a h t a,T a h u n   p e m e r i n t a h a n   ( S M ),P e n g u b u r a n,P a s a n g a n   h i d u p,K e t e r a n g a n
0,Pra-dinasti ke-26 menurut sejarawan modern,Pra-dinasti ke-26 menurut sejarawan modern,Pra-dinasti ke-26 menurut sejarawan modern,Pra-dinasti ke-26 menurut sejarawan modern,Pra-dinasti ke-26 menurut sejarawan modern,Pra-dinasti ke-26 menurut sejarawan modern
1,Tefnakht II,,,,,
2,Nekauba,,678 - 672 SM,,,
3,Nekho I (Necho I),,672 - 664 SM,,Takhuit,
4,Penguasa dinasti ke-26 menurut sejarawan modern,Penguasa dinasti ke-26 menurut sejarawan modern,Penguasa dinasti ke-26 menurut sejarawan modern,Penguasa dinasti ke-26 menurut sejarawan modern,Penguasa dinasti ke-26 menurut sejarawan modern,Penguasa dinasti ke-26 menurut sejarawan modern
5,Psamtik I (Psammetichus I),Wahibre,664 - 610 SM,Sais,Mehytenweskhet,Manetho mencatat lama pemerintahannya 54 tahun
6,Nekho II,Wehemibre,610 - 595 SM,,Khedebneithirbinet I,"Mengalahkan dan membunuh Yosia, raja Yehuda dalam perang di Megido (609 SM)."
7,Psamtik II,Neferibre,595 - 589 SM,,,
8,Hofra (Apries),Haaibre,589 - 570 SM,567 SM di Sais,,"Manetho mencatat lama pemerintahannya 19 tahun. Hidup sezaman dengan Zedekia, raja Yehuda"
9,Amasis II,Khnemibre,570 - 526 SM,Sais,Tentkheta Nakhtubasterau,"Herodotus menulis bahwa ketika Cambyses II menyerang Mesir dan menyadari tidak bisa menghukum Amasis hidup-hidup, maka ia menyuruh membongkar kubur Amasis, menajiskan mayatnya dan membakarnya habis."
10,Psamtik III,Ankhkaenre,526 - 525 SM,,,
