,N a m a,K o m e n t a r
0,Netjerkare Siptah,Terkadang digolongkan sebagai raja terakhir dinasti ke-6. Identik dengan Nitokris.
1,Menkare,Mungkin dibuktikan dengan relief dari makam Ratu Neit.
2,Neferkare II,-
3,Neferkare Neby,"Direncanakan atau memulai piramida ""Neferkare Neby adalah Kehidupan Abadi"", mungkin di Saqqara."
4,Djedkare Shemai,-
5,Neferkare Khendu,-
6,Merenhor,-
7,Neferkamin,-
8,Nikare,Mungkin dibuktikan dengan segel silinder.[9]
9,Neferkare Tereru,-
10,Neferkahor,Disaksikan oleh segel silinder.
11,Neferkare Pepiseneb,Kanon Turin Canon memberikan setidaknya satu tahun.[10]
12,Neferkamin Anu,
13,Qakare Ibi,"Kanon Turin memberikan dua tahun, satu bulan, satu hari.[11] Dibuktikan oleh piramidanya di Saqqara."
14,Neferkaure,"Kanon Turin memberikan pemerintahan 4 tahun dan 2 bulan,[11] dibuktikan oleh sebuah dekrit mengenai kuil Min.[12]"
15,Khwiwihepu Neferkauhor,"Kanon Turin memberikan pemerintahan 2 tahun, 1 bulan dan 1 hari,[11] dibuktikan oleh delapan dekrit mengenai kuil Min,[13][14][15] and an inscription in the tomb of vizier Shemai.[16]"
16,Neferirkare,"Kanon Turin memberikan pemerintahan 1 setengah tahun.[11] Mungkin identik dengan salah satu atau baik Horus Demedjibtawy dan Wadjkare. Jika demikian, ia dibuktikan dengan sebuah dekrit mengenai kuil Min."
