,N a m a   R a j a,N a m a   H o r u s,d a t e,P e m a k a m a n,R a t u
0,Setnakhte,Userkhaure,1187 - 1185 SM,KV14,Tiy-merenese
1,Ramses III,Usermaatre-Meryamun,1185 - 1153 SM,KV11,Iset Ta-Hemdjert Tiye
2,Ramses IV,User/Heqamaatre Setepenamun,1153 - 1146 SM,KV2,Duatentopet
3,Ramses V Amenhirkhepeshef I,Usermaatre Sekheperenre,1146 - 1141 SM,KV9,Henutwati Tawerettenru
4,Ramses VI Amenhirkhepeshef II,Nebmaatre Meryamun,1141 - 1133 SM,KV9,Nubkhesbed
5,Ramses VII Itamun,Usermaatre Setepenre Meryamun,1133 - 1125 SM,KV1,
6,Ramses VIII Sethhirkhepeshef,Usermaatre Akhenamun,1125 - 1123 SM,,
7,Ramses IX Khaemwaset I,Neferkare Setepenre,1123 - 1104 SM,KV6,Baketwernel
8,Ramses X Amenhirkhepeshef III,Khepermaatre Setepenre,1104 - 1094 SM,KV18,Tyti
9,Ramses XI Khaemwaset II,Menmaatre Setpenptah,1094 - 1064 SM,KV4,Tentamun
