,N a m a,N a m a   H o r u s,C a t a t a n,P a s a n g a n
0,Nama hilang,,,
1,Djehuti,Sekhemre-sementawi,~ 1649 SM,Ratu Mentuhotep
2,Sobekhotep VIII,Sekhemre-seusertawi,~ 1645 SM,
3,Neferhotep III,Sekhemre-seankhtawi,~ 1629 SM,
4,Mentuhotep VI,Seankhenre,~ 1628 SM,
5,Nebiriau (Nebiryraw) I,Sewadjenre,~ 1627 SM,
6,Nebiriau II,Neferkare ?,~ 1601 SM,
7,,Semenre,~ 1601 SM,
8,Seuserenre Bebiankh (Bebi-Ankh),Seuserenre,~ 1600 SM,
9,Sekhemre Shedwast,Sekhemre,~ 1588 SM,
10,Dedumose I,Djedhetepre,,
11,Dedumose II,Djedneferre,,
12,Djedankhre Montemsaf,Djedankhre,,
13,Merankhre Mentuhotep VI,Merankhre,,Ratu Sitmut
