,N a m a,T e m p a t   p e m a k a m a n
0,Wegaf Khutawyre,Tidak diketahui
1,Ameny Intef IV (Amenemhet VI) Sankhibre,Tidak diketahui
2,Hor Auibre,Dahshur dekat piramida Amenemhet III
3,Sobekhotep II (Amenmehet VII) Sekhemre Khutawy,kemungkinan Dahshur
4,Khendjer Userkare,Sebelah selatan Saqqara
5,Sobekhotep III Sekhemre Sewadjtawy,Tidak diketahui
6,Neferhotep I Khasekhemre,Tidak diketahui
7,Sobekhotep IV Khaneferre,Tidak diketahui
8,Merneferre Ay,Tidak diketahui
9,Merhotepre Ini,
10,Sankhenre Sewadjtu,
