,H e w a n   p e l i h a r a a n,A w a l   p r o s e s,M o y a n g   l i a r,T e m p a t   a w a l
0,Anjing(Canis lupus familiaris),sebelum 10.000 SM,Serigala (Canis lupus lupus),Asia Timur
1,Domba/biri-biri(Ovis orientalis aries),7.000 SM[4][5],Domba padang,"Irak, Iran, pantai Levantia, Asia Barat Daya"
2,Kambing(Capra aegagrus hircus),7.000 SM[6],Kambing gunung,"Pegunungan Zagros, Irak, Iran"
3,Babi(Sus scrofa domestica),7.000 SM[7],Babi hutan,"Anatolia, Asia Barat Daya"
4,Sapi(Bos primigenius taurus),6.500 SM[8][9],Sapi liar(Bos primigenius),"Asia Barat Daya dan Eropa, India, Timur Tengah, and Sub-Sahara"
5,Kucing(Felis silvestris catus),6.000 SM[10][11][12],Kucing liar (Felis silvestris),"Mesir, Asia Barat Daya, Siprus"
6,Ayam(Gallus gallus domesticus),6.000 SM[13],Ayam hutan (Gallus gallus dan G. varius),"Lembah Sungai Indus, Asia Tenggara"
7,"Tikus belanda (""marmut"") (Cavia porcellus)",5.000 SM[14],-,Peru
8,Keledai(Equus africanus asinus),5.000 SM[15][16],Keledai liar,"Afrika Timur Laut, Mesir"
9,Kuda(Equus ferus caballus),4.000 SM[17],Kuda liar,Ukraina dan daerah Laut Hitam dan padang Eurasia
10,Llama(Lama glama),4.000 SM,Guanako,"Pegunungan Andes, Peru"
11,Kerbau(Bubalus bubalis),4.000 SM,Kerbau liar,Lembah Sungai Indus
12,Unta,3.000 SM,Unta liar,Jazirah Arab (punuk tunggal) dan Asia Tengah (punuk ganda)
13,Angsa,3.000 SM,Angsa liar,Laut Tengah timur
14,Yak(Bos grunniens),2.500 SM,Yak liar,Tibet
15,Sapi Bali(Bos javanicus),?2.500 SM,Banteng,Jawa
16,Ikan mas hias(Carassius auratus auratus),Sekitar abad ke-9.[18],Karper prusia (Carassius auratus gibelio),Cina
