,T a h u n,A l b u m,J e n i s,P e r i n g k a t   t a n g g a   l a g u,P e r i n g k a t   t a n g g a   l a g u,P e r i n g k a t   t a n g g a   l a g u
0,1956,Elvis Presley,studio/komp.,1,n.a.,1
1,1956,Elvis,studio,1,n.a.,3
2,1957,Loving You,sound./studio,1,n.a.,1
3,1957,Elvis' Christmas Album,studio,1,n.a.,2
4,1960,Elvis Is Back!,studio,2,n.a.,1
5,1960,G.I. Blues,soundtrack,1,n.a.,1
6,1961,Something for Everybody,studio,1,n.a.,2
7,1961,Blue Hawaii,soundtrack,1,n.a.,1
8,1962,Pot Luck,studio,4,n.a.,1
9,1964,Roustabout,soundtrack,1,—,12
10,1969,From Elvis in Memphis,studio,13,2,1
11,1973,Aloha from Hawaii Via Satellite,langsung,1,1,11
12,1974,Elvis: A Legendary Performer Volume 1,kompilasi,43,1,20
13,1975,Promised Land,studio,47,1,21
14,1976,"From Elvis Presley Boulevard, Memphis, Tennessee",studio,41,1,29
15,1977,Elvis' 40 Greatest,kompilasi,—,—,1
16,1977,Moody Blue,studio/langsung,3,1,3
17,1977,Elvis in Concert,langsung,5,1,13
18,2002,ELV1S: 30 No. 1 Hits,kompilasi,1,1,1
19,2007,Elvis the King,kompilasi,—,—,1
20,2015,If I Can Dream,kompilasi,21,—,1
21,2016,The Wonder of You,kompilasi,47,—,1
