,K a p a s i t a s   t e n a g a   a n g i n   y a n g   t e r p a s a n g   ( a k h i r   t a h u n ) [ 3 ],K a p a s i t a s   t e n a g a   a n g i n   y a n g   t e r p a s a n g   ( a k h i r   t a h u n ) [ 3 ] . 1,K a p a s i t a s   t e n a g a   a n g i n   y a n g   t e r p a s a n g   ( a k h i r   t a h u n ) [ 3 ] . 2,K a p a s i t a s   t e n a g a   a n g i n   y a n g   t e r p a s a n g   ( a k h i r   t a h u n ) [ 3 ] . 3
0,,,Kapasitas (MW),Kapasitas (MW)
1,Urutan,Negara,2005,2004
2,01,Jerman,18.428,16.629
3,02,Spanyol,10.027,8.263
4,03,AS,9.149,6.725
5,04,India,4.430,3.000
6,05,Denmark,3.128,3.124
7,06,Italia,1.717,1.265
8,07,Britania Raya,1.353,888
9,08,China,1.260,764
10,09,Belanda,1.219,1078
11,10,Jepang,1.040,896
12,11,Portugal,1.022,522
13,12,Austria,819,606
14,13,Prancis,757,386
15,14,Kanada,683,444
16,15,Yunani,573,473
17,16,Australia,572,379
18,17,Swedia,510,452
19,18,Irlandia,496,339
20,19,Norwegia,270,270
21,20,Selandia Baru,168,168
22,21,Belgia,167,95
23,22,Mesir,145,145
24,23,Korea Selatan,119,23
25,24,Taiwan,103,13
26,25,Finlandia,82,82
27,26,Polandia,73,63
28,27,Ukraina,73,69
29,28,Kosta Rika,70,70
30,29,Maroko,64,54
31,30,Luxemburg,35,35
32,31,Iran,32,25
33,32,Estonia,30,3
34,33,Filipina,29,29
35,34,Brasil,29,24
36,35,Republik Ceko,28,17
37,,Total dunia,58.982,47.671
