,F a m i l y,C o n t i n e n t,C o u n t
0,Afroasiatik,Africa/Asia,374
1,Alacalufan,Amerika Selatan,2
2,Algic,North America,44
3,Altaik,Europe/Asia,66
4,Amto-Musan,Australasia,2
5,Andaman,Asia,13
6,Arafundi,Australasia,3
7,Arai-Kwomtari,Australasia,10
8,Arauan,South America,5
9,Araucanian,South America,2
10,Arawakan,South America,59
11,Arutani-Sape,South America,2
12,Australian,Australasia,264
13,Austro-Asiatik,Asia,169
14,Austronesia,Asia/Australasia,1257
15,Aymaran,Amerika Selatan,3
16,Barbacoan,Amerika Selatan,7
17,Basque,Eropa,1
18,Bayono-Awbono,Australasia,2
19,Border,Australasia,15
20,Caddoan,North America,5
21,Cahuapanan,South America,2
22,Carib,South America,31
23,Central Solomons,Australasia,4
24,Chapacura-Wanham,South America,5
25,Chibchan,South America,21
26,Chimakuan,North America,1
27,Choco,South America,12
28,Chon,South America,2
29,Chukotko-Kamchatkan,Asia,5
30,Chumash,North America,7
31,Coahuiltecan,North America,1
32,Dravidian,Asia,85
33,East Bird's Head-Sentani,Australasia,8
34,East Geelvink Bay,Australasia,11
35,East New Britain,Australasia,7
36,Eastern Trans-Fly,Australasia,4
37,Eskimo-Aleut,North America/Asia,11
38,Guahiban,South America,5
39,Gulf,North America,4
40,Harakmbet,South America,2
41,Hibito-Cholon,South America,2
42,Hmong-Mien,Asia,38
43,Hokan,North America,23
44,Huavean,North America,4
45,Indo-Eropa,Europe/Asia,439
46,Iroquoian,North America,9
47,Japonic,Asia,12
48,Jivaroan,South America,4
49,Kartvelian,Asia,5
50,Katukinan,South America,3
51,Kaure,Australasia,4
52,Keres,North America,2
53,Khoisan,Africa,27
54,Kiowa Tanoan,North America,6
55,Lakes Plain,Australasia,20
56,Left May,Australasia,2
57,Lower Mamberamo,Australasia,2
58,Lule-Vilela,South America,1
59,Macro-Ge,South America,32
60,Mairasi,Australasia,3
61,Maku (Nadahup),South America,6
62,Mascoian,South America,5
63,Mataco-Guaicuru,South America,12
64,Mayan,North America,69
65,Maybrat,Australasia,2
66,Misumalpan,North America,4
67,Mixe-Zoque,North America,17
68,Mura,South America,1
69,Muskogean,North America,6
70,Na-Dené,North America,46
71,Nambiquaran,South America,7
72,Niger-Congo,Africa,1532
73,Nilo-Saharan,Africa,205
74,Nimboran,Australasia,5
75,North Bougainville,Australasia,4
76,North Brazil,South America,1
77,North Caucasian,Europe/Asia,34
78,Oto-Manguean,North America,177
79,Panoan,South America,28
80,Pauwasi,Australasia,5
81,Peba-Yaguan,South America,2
82,Penutian,North America,33
83,Piawi,Australasia,2
84,Quechuan,South America,46
85,Ramu-Lower Sepik,Australasia,32
86,Salishan,North America,26
87,Salivan,South America,3
88,Sepik,Australasia,56
89,Sino-Tibet,Asia,449
90,Siouan,North America,17
91,Sko,Australasia,7
92,Somahai,Australasia,2
93,South Bougainville,Australasia,9
94,South-Central Papuan,Australasia,22
95,Tacanan,South America,6
96,Tai-Kadai,Asia,92
97,Tarascan,North America,2
98,Tequistlatecan,North America,2
99,Tor-Kwerba,Australasia,24
100,Torricelli,Australasia,56
101,Totonacan,North America,12
102,Trans–New Guinea,Australasia,477
103,Tucanoan,South America,25
104,Tupi,South America,76
105,Uralic,Europe/Asia,37
106,Uru-Chipaya,South America,2
107,Uto-Aztecan,North America,61
108,Wakashan,North America,5
109,West Papuan,Australasia,23
110,Witotoan,South America,6
111,Yanomam,South America,4
112,Yele-West New Britain,Australasia,3
113,Yeniseian,Asia,2
114,Yuat,Australasia,6
115,Yukaghir,Asia,2
116,Yuki,North America,2
117,Zamucoan,South America,2
118,Zaparoan,South America,7
