,K l u b,J u a r a,F i n a l   p e r t a m a   m e n a n g,F i n a l   t e r a k h i r   m e n a n g,J u a r a   k e d u a,F i n a l   t e r a k h i r   k a l a h,T o t a l f i n a l
0,Arsenal,14,1930.0,2020.0,7,2001,21
1,Manchester United,12,1909.0,2016.0,8,2018,20
2,Chelsea,8,1970.0,2018.0,8,2022,16
3,Liverpool,8,1965.0,2022.0,7,2012,15
4,Tottenham Hotspur,8,1901.0,1991.0,1,1987,9
5,Aston Villa,7,1887.0,1957.0,4,2015,11
6,Newcastle United,6,1910.0,1955.0,7,1999,13
7,Blackburn Rovers,6,1884.0,1928.0,2,1960,8
8,Everton,5,1906.0,1995.0,8,2009,13
9,Manchester City,6,1904.0,2019.0,5,2013,11
10,West Bromwich Albion,5,1888.0,1968.0,5,1935,10
11,Wanderers,5,1872.0,1878.0,0,–,5
12,Wolverhampton Wanderers,4,1893.0,1960.0,4,1939,8
13,Bolton Wanderers,4,1923.0,1958.0,3,1953,7
14,Sheffield United,4,1899.0,1925.0,2,1936,6
15,Sheffield Wednesday[A],3,1896.0,1935.0,3,1993,6
16,West Ham United,3,1964.0,1980.0,2,2006,5
17,Preston North End,2,1889.0,1938.0,5,1964,7
18,Old Etonians,2,1879.0,1882.0,4,1883,6
19,Portsmouth,2,1939.0,2008.0,3,2010,5
20,Sunderland,2,1937.0,1973.0,2,1992,4
21,Nottingham Forest,2,1898.0,1959.0,1,1991,3
22,Bury,2,1900.0,1903.0,0,–,2
23,Huddersfield Town,1,1922.0,1922.0,4,1938,5
24,Derby County,1,1946.0,1946.0,3,1903,4
25,Leeds United,1,1972.0,1972.0,3,1973,4
26,Oxford University,1,1874.0,1874.0,3,1880,4
27,Royal Engineers,1,1875.0,1875.0,3,1878,4
28,Southampton,1,1976.0,1976.0,3,2003,4
29,Blackpool,1,1953.0,1953.0,2,1951,3
30,Burnley,1,1914.0,1914.0,2,1962,3
31,Cardiff City,1,1927.0,1927.0,2,2008,3
32,Charlton Athletic,1,1947.0,1947.0,1,1946,2
33,Barnsley,1,1912.0,1912.0,1,1910,2
34,Clapham Rovers,1,1880.0,1880.0,1,1879,2
35,Notts County,1,1894.0,1894.0,1,1891,2
36,Blackburn Olympic,1,1883.0,1883.0,0,–,1
37,Bradford City,1,1911.0,1911.0,0,–,1
38,Coventry City,1,1987.0,1987.0,0,–,1
39,Ipswich Town,1,1978.0,1978.0,0,–,1
40,Old Carthusians,1,1881.0,1881.0,0,–,1
41,Wigan Athletic,1,2013.0,2013.0,0,–,1
42,Wimbledon[B],1,1988.0,1988.0,0,–,1
43,Leicester City,0,,,4,1969,4
44,Birmingham City,0,,,2,1956,2
45,Crystal Palace,0,,,2,2016,2
46,Watford,0,,,2,2019,2
47,Queen's Park,0,,,2,1885,2
48,Brighton & Hove Albion,0,,,1,1983,1
49,Bristol City,0,,,1,1909,1
50,Fulham,0,,,1,1975,1
51,Hull City,0,,,1,2014,1
52,Luton Town,0,,,1,1959,1
53,Middlesbrough,0,,,1,1997,1
54,Millwall,0,,,1,2004,1
55,Queens Park Rangers,0,,,1,1982,1
56,Stoke City,0,,,1,2011,1
57,Watford,0,,,1,1984,1
