,T a h u n,P r e s i d e n
0,1900–1903,Franz John
1,1903–1906,Willem Hesselink
2,1906–1907,Kurt Müller
3,1907–1913,Angelo Knorr
4,1913–1914,Kurt Landauer
5,1914–1915,Fred Dunn
6,1915,Hans Tusch
7,1915,Fritz Meier
8,1916,Hans Bermühler
9,1916–1919,Fritz Meier
10,1919–1921,Kurt Landauer
11,1921–1922,Fred Dunn
12,1922–1933,Kurt Landauer
13,1933–1934,Siegfried Hermann
14,1934–1935,Karl-Heinz Oettinger
15,1935–1937,Richard Amesmeier
16,1937–1938,Franz Nußhardt
17,1938–1943,Franz Kellner
18,1943–1945,Josef Sauter
19,1945,Franz Xaver Heilmannseder
20,1945,Josef Bayer
21,1945–1947,Siegfried Hermann
22,1947–1951,Kurt Landauer
23,1951–1953,Julius Scheuring
24,1953–1955,Adolf FischerKarli WildHugo Theisinger
25,1955–1958,Alfred Reitlinger
26,1958–1962,Roland Endler
27,1962–1979,Wilhelm Neudecker
28,1979–1985,Willi O. Hoffmann
29,1985–1994,Fritz Scherer
30,1994–2009,Franz Beckenbauer
31,2009–2014,Uli Hoeneß
32,2014,Herbert Hainer
33,2014–2016,Karl Kopfner
34,2017–,Uli Hoeneß
