,N e g a r a,N a m a   a n g g o t a
0,Afrika Selatan,Kennel Union of Southern Africa
1,Argentina,Federación Cinológica Argentina
2,Armenia,Armenian Dog-Lovers' Association[3]
3,Australia,Australian National Kennel Council[4]
4,Austria,Österreichische Kynologenverband
5,Azerbaijan,Kennel Union of the Republic of Azerbaijan[3]
6,Bahrain,Kennel Club of Bahrain
7,Belanda,Raad van Beheer op Kynologisch Gebied in Nederland
8,Belarus,Belorussian Cynological Union
9,Belgia,Société Royale Saint-Hubert
10,Bolivia,Kennel Club Boliviano
11,Bosnia dan Herzegovina,Unija Kinoloskih Saveza Bosne i Hercegovine
12,Brasil,Confederaçao Brasileira de Cinofilia
13,Bulgaria,Bulgarian Republican Federation of Cynology
14,Chili,Kennel Club de Chile
15,China,China Kennel Union[4]
16,Denmark,Dansk Kennel Club
17,Ekuador,Asociación Ecuatoriana de Registros Caninos
18,El Salvador,Asociación Canófila Salvadoreña
19,Estonia,Eesti Kennelliit
20,Filipina,Philippine Canine Club
21,Finlandia,Suomen Kennelliitto
22,Georgia,Fédération Cynologique de Géorgie
23,Gibraltar,Gibraltar Kennel Club
24,Guatemala,Asociación Guatemalteca de Criadores de Perros
25,Honduras,Asociación Canófila de Honduras
26,Hong Kong,Hong Kong Kennel Club
27,Hongaria,Magyar Ebtenyésztők Országos Egyesülete
28,Islandia,Hundaræktarfélags Íslands
29,India,Kennel Club of India
30,Indonesia,PERKIN Perkumpulan Kinologi Indonesia
31,Irlandia,Irish Kennel Club
32,Israel,Israel Kennel Club
33,Italy,Ente Nazionale della Cinofilia Italiana
34,Jepang,Japan Kennel Club
35,Jerman,Verband für das Deutsche Hundewesen
36,Kazakstan,Union of Cynologists of Kazakstan
37,Korea Selatan,Korean Canine Club
38,Kolombia,Asociación Club Canino Colombiano
39,Kosta Rika,Asociación Canófila Costarricense
40,Kroasia,Hrvatski Kinoloski Savez
41,Kuba,Federación Cinólogica de Cuba
42,Kyrgyzstan,Union of Cynologists of Kyrgyz Republic[3]
43,Latvia,Latvian Cynological Federation
44,Lituania,Lietuvos Kinologu Draugija
45,Luksemburg,Union Cynologique Saint Hubert Luxembourg
46,Makedonia,Kennel Association of the Republic of Macedonia
47,Malaysia,Malaysian Kennel Association
48,Malta,Malta Kennel Club
49,Maroko,Société Centrale Canine Marocaine
50,Meksiko,Federacíon Canófila Mexicana
51,Moldavia,Moldavian Kennel Union
52,Monako,Société Canine de Monaco
53,Montenegro,Kinološki Savez Crne Gore
54,Nikaragua,Asociación Canina Nicaragüense
55,Norwegia,Norsk Kennel Klub
56,Pakistan,Kennel Club of Pakistan[4]
57,Panama,Club Canino de Panama
58,Paraguay,Paraguay Kennel Club
59,Peru,Kennel Club Peruano
60,Polandia,Związek Kynologiczny w Polsce
61,Portugal,Clube Português de Canicultura
62,Prancis,Société Centrale Canine
63,Puerto Riko,Federación Canófila de Puerto Rico
64,Republik Ceko,Českomoravská Kynologická Unie
65,Republik Dominika,Federación Canina Dominicana
66,Rumania,Asociaţia Chinologică Română
67,Rusia,Russian Kynological Federation
68,San Marino,Kennel Club San Marino
69,Selandia Baru,New Zealand Kennel Club
70,Serbia,Kinoloski Savez Srbije
71,Singapura,Singapore Kennel Club
72,Siprus,Cyprus Kennel Club
73,Slowakia,Slovenska Kynologicka Jednota
74,Slovenia,Slovenian Kennel Club
75,Spanyol,Real Sociedad Canina en España
76,Sri Lanka,Kennel Association of Sri Lanka
77,Swedia,Svenska Kennelklubben
78,Swiss,Société Cynologique Suisse
79,Taiwan,Kennel Club of Taiwan
80,Thailand,Kennel Club of Thailand
81,Turki,Köpek Irklari ve Kinoloji Federasyonu[3]
82,Ukrania,Ukrainian Kennel Union
83,Uruguay,Kennel Club Uruguayo
84,Uzbekistan,Cynological Federation of Uzbekistan
85,Venezuela,Federación Canina de Venezuela
86,Vietnam,Vietnam Kennel Association[4]
87,Yunani,Kennel Club of Greece
