,G e n u s,S p e s i e s,G a m b a r   s p e s i e s   t i p e,P e n y e b a r a n
0,"Acinonyx Brookes, 1828[11]","Citah (A. jubatus) Schreber, 1777[12]",,Afrika dan Asia Barat Daya
1,"Caracal Gray, 1843[13]","Karakal (C. caracal) (Schreber, 1776)[14] Kucing emas (C. aurata) (Temminck, 1827)[15]",,Afrika dan Asia Barat Daya
2,"Catopuma Severtzov, 1858[16]","Kucing emas Asia (C. temminckii) (Vigors & Horsfield, 1827)[17] Kucing merah (C. badia) (Gray, 1874)[18]",,Asia Tenggara
3,"Felis Linnaeus, 1758[19]","Kucing domestik (F. catus) Linnaeus, 1758[19] Kucing liar Eropa (F. silvestris) Schreber, 1777[20] Kucing hutan (F. chaus) Schreber, 1777[21] Kucing gurun (F. lybica) Forster, 1780[22] Kucing berkaki hitam (F. nigripes) Burchell, 1824[23] Kucing pasir (F. margarita) Loche, 1858[24] Kucing gunung Tiongkok (F. bieti) Milne-Edwards, 1892[25]",,Afro-Eurasia Seluruh dunia (Kucing Domestik)
4,"Herpailurus Severtzov, 1858[16]","Jaguarundi (H. yagouaroundi) (Geoffroy Saint-Hilaire, 1803)[26]",,Amerika Tengah dan Selatan
5,"Leopardus Gray, 1842[27]","Ocelot (L. pardalis) (Linnaeus, 1758)[28] Oncilla (L. tigrinus) (Schreber, 1775)[29] Kucing pampa (L. colocolo) (Molina, 1782)[30] Kodkod (L. guigna) (Molina, 1782)[30] Margay (L. wiedii) (Schinz, 1821)[31] Kucing Geoffroy (L. geoffroyi) (d'Orbigny & Gervais, 1844)[32] Kucing andes (L. jacobitus) (Cornalia, 1865)[33] Kucing macan selatan (L. guttulus) (Hensel, 1872)[34]",,Amerika Tengah dan Selatan
6,"Leptailurus Severtzov, 1858[16]","Serval (L. serval) (Schreber, 1775)[35]",,Afrika
7,"Lynx Kerr, 1792[36]","Lynx eurasia (L. lynx) (Linnaeus, 1758)[37] Bobcat (L. rufus) (Schreber, 1777)[38] Lynx kanada (L. canadensis) Kerr, 1792[36] Lynx iberia (L. pardinus) (Temminck, 1827)[39]",,Belahan Bumi Utara
8,"Otocolobus Brandt, 1842[40]","Kucing Pallas (O. manul) (Pallas, 1776)[41]",,Asia Tengah
9,"Pardofelis Severtzov, 1858[16]","Kucing batu (P. marmorata) (Martin, 1836)[42]",,Asia Tenggara
10,"Prionailurus Severtzov, 1858[16]","Kucing kuwuk (P. bengalensis) (Kerr, 1792)[43] Kucing kuwuk Sunda (P. javanensis) (Desmarest, 1816)[44] Kucing tandang (P. planiceps) (Vigors & Horsfield, 1827)[17] Kucing bakau (P. viverrinus) (Bennett, 1833)[45] Kucing totol (P. rubiginosus) (Geoffroy Saint-Hilaire, 1834)[46]",,Asia Tenggara dan Asia Timur
11,Puma Jardine 1834[47],"Puma (P. concolor) Linnaeus, 1771[48]",,Benua Amerika
