,0,1,2,3,4
0,,,,,
1,Negara anggota[8],Negara anggota[8],Negara anggota[8],Negara anggota[8],
2,Australia (AU),Kepulauan Cook (CK),Fiji (FJ),Polinesia Prancis (PF)[7],
3,Kiribati (KI),Kepulauan Marshall (MH),Micronesia (FM),Nauru (NR),
4,Kaledonia Baru (NC)[7],Selandia Baru (NZ),Niue (NU),Palau (PW),
5,Papua Nugini (PG),Samoa (WS),Kepulauan Solomon (SB),Tonga (TO),
6,Tuvalu (TV),Vanuatu (VU),,,
7,Anggota peserta,Pengamat,Pengamat,Pengamat,
8,Tokelau (TK)[7][9],Samoa Amerika (AS),Guam (GU),Kepulauan Mariana Utara (MP),
9,,Timor Leste (TL),Wallis dan Futuna (WF)[10],Perserikatan Bangsa-Bangsa,
10,,Asian Development Bank,Commonwealth of Nations,WCPFC,
11,,World Bank,,,
12,"Untuk singkatan, lihat ISO 3166-1.","Untuk singkatan, lihat ISO 3166-1.","Untuk singkatan, lihat ISO 3166-1.","Untuk singkatan, lihat ISO 3166-1.","Untuk singkatan, lihat ISO 3166-1."
