,P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 ),P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 ),P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 ),P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 ),P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 ),P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 ),P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 ),P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 ),P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 ),P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 ),P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 ),P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 ),P e n c a m p u r a n   e t a n o l   d e n g a n   k a n d u n g a n   r e n d a h   d i   s e l u r u h   d u n i a   ( E 5   s a m p a i   E 2 5 )
0,Negara dengan pencampuran wajib atau hanya sebagai pilihan (opsional),Negara dengan pencampuran wajib atau hanya sebagai pilihan (opsional),Negara dengan pencampuran wajib atau hanya sebagai pilihan (opsional),Negara dengan pencampuran wajib atau hanya sebagai pilihan (opsional),Negara dengan pencampuran wajib atau hanya sebagai pilihan (opsional),Negara dengan pencampuran wajib atau hanya sebagai pilihan (opsional),Uni Eropa,Uni Eropa,Uni Eropa,Amerika Serikat(negara bagian yang mewajibkan saja)[n 1],Amerika Serikat(negara bagian yang mewajibkan saja)[n 1],Amerika Serikat(negara bagian yang mewajibkan saja)[n 1],Amerika Serikat(negara bagian yang mewajibkan saja)[n 1]
1,Argentina[18],E5,Diwajibkan[n 2],Malawi[12],E10,Diwajibkan[n 3],Austria[19],E10,Opsional,Florida,E10,Minnesota,E10
2,Australia[20],E10,Opsional,Mexico[15],E6,Diwajibkan[n 4],Denmark[19],E5,Opsional,Hawaii,E10,Missouri,E10
3,Brasil[22],E20-E25,Diwajibkan,Selandia Baru[23],E10,Opsional,Finlandia[24],E5/E10,Diwajibkan,Iowa,E10,Montana,E10
4,Kanada[25],E5,Diwajibkan[n 5],Pakistan[26],E10,Optional,Prancis[27][28],E5/E10,,Kansas,E10,Oregon,E10[n 6]
5,Tiongkok[30],E10,9 provinsi,Paraguay[31],E18/24,Diwajibkan,Jerman[32],E5/E10,Opsional[n 7],Louisiana,E10,Washington,E10
6,Kolombia[33],E10,Diwajibkan[n 8],Peru[35],E8,Diwajibkan[n 9],Irlandia[37],E4,Diwajibkan,,,,
7,Kosta Rika[38][39],E7,Diwajibkan[n 10],Filipina[41],E10,Diwajibkan,Belanda[19],E5/E10/hE15,Opsional,,,,
8,India[42],E5,Diwajibkan,Thailand[43],E10/E20,Diwajibkan,Rumania[44],E4,Diwajibkan,,,,
9,Jamaika[45],E10,Diwajibkan[n 11],,,,Swedia[19],E5,Diwajibkan,,,,
10,Lihat catatan-catatan per negara di akhir artikel ini,Lihat catatan-catatan per negara di akhir artikel ini,Lihat catatan-catatan per negara di akhir artikel ini,Lihat catatan-catatan per negara di akhir artikel ini,Lihat catatan-catatan per negara di akhir artikel ini,Lihat catatan-catatan per negara di akhir artikel ini,Lihat catatan-catatan per negara di akhir artikel ini,Lihat catatan-catatan per negara di akhir artikel ini,Lihat catatan-catatan per negara di akhir artikel ini,Lihat catatan-catatan per negara di akhir artikel ini,Lihat catatan-catatan per negara di akhir artikel ini,Lihat catatan-catatan per negara di akhir artikel ini,Lihat catatan-catatan per negara di akhir artikel ini
