,R a n k,T a n g g a l,L o k a s i,A r t i k e l,M a g n i t u d o
0,1,22 Mei 1960,"Chile, Valdivia",Gempa bumi Valdivia 1960,9.5
1,2,27 Maret 1964,"Amerika Serikat, Prince William Sound, Alaska",Gempa bumi Alaska 1964,9.2
2,3,26 Desember 2004,"Indonesia, Samudra Hindia, Sumatra",Gempa bumi Samudra Hindia 2004,9.1–9.3
3,4,4 November 1952,"Uni Soviet, Kamchatka",Gempa bumi Kamchatka 1952,9.0[11]
4,4,11 Maret 2011,"Jepang, Samudra Pasifik, Tōhoku",Gempa bumi Tōhoku 2011,9.0[12][13][14]
5,5,25 November 1833,"Indonesia, Sumatra",Gempa bumi Sumatra 1833,8.8–9.2 (perkiraan)
6,6,31 Januari 1906,Ekuador Kolombia,Gempa bumi Ekuador-Kolombia 1906,8.8
7,6,27 Februari 2010,"Chile, Pesisir Maule",Gempa bumi Chile 2010,8.8
8,8,26 Januari 1700,"Amerika Serikat Kanada, Samudra Pasifik",Gempa bumi Cascadia 1700,8.7–9.2 (perkiraan)[15]
9,9,8 Juli 1730,"Chile, Valparaiso",Gempa bumi Valparaiso 1730,8.7–9.0 (perkiraan)[16]
10,10,1 November 1755,"Portugal, Lautan Atlantik, Lisbon",Gempa bumi Lisboa 1755,8.7 (perkiraan)[17]
