,J e n i s   o r g a n i s m e,O r g a n i s m e,U k u r a n   g e n o m ( p a s a n g a n   b a s a ) i i i,U k u r a n   g e n o m ( p a s a n g a n   b a s a ) i i i . 1,J u m l a h   g e n,D e n s i t a s   g e n   ( g e n / M b ),J u m l a h   k r o m o s o m   h a p l o i d,K e t e r a n g a n
0,Virus,Bakteriofag MS2,3.569,"3,6 kb",4.0,1.121,1,"Genom (ssRNA) yang pertama disekuensing, 1976.[12]"
1,Virus,Bakteriofag Φ-X174,5.386,"5,4 kb",11.0,2.042,1,"Genom ssDNA yang pertama disekuensing, 1977.[13]"
2,Virus,Megavirus,1.259.197,"1,3 Mb",1.12,890.0,1,Genom virus terbesar yang diketahui saat ini.[14]
3,Bakteria,Mycoplasma genitalium,580.070,580 kb,470.0,810.0,1,Genom bakteri nonsimbiotik yang terkecil.[15]
4,Bakteria,Haemophilus influenzae Rd,1.830.137,"1,8 Mb",1.703,930.0,1,"Genom organisme seluler yang pertama disekuensing, 1995.[16]"
5,Bakteria,Escherichia coli K-12,4.639.221,"4,6 Mb",4.288,924.0,1,[17]
6,Bakteria,Sorangium cellulosum,13.033.779,13 Mb,9.367,721.0,1,Genom bakteria terbesar yang diketahui saat ini.[18]
7,Arkea,Nanoarchaeum equitans,490.885,490 kb,552.0,1.125,1,Genom seluler nonsimbiotik yang terkecil.[19]
8,Arkea,Methanocaldococcus jannaschii (sebelumnya Methanococcus jannaschii),1.664.976,"1,7 Mb",1.738,1.044,1,"Genom arkea yang pertama disekuensing, 1996.[20]"
9,Eukariota,Encephalitozoon cuniculi (fungi),2.900.000,"2,9 Mb",1.997,689.0,11,Genom eukariota terkecil yang diketahui saat ini.[21]
10,Eukariota,Saccharomyces cerevisiae (fungi),12.068.000,12 Mb,5.885,486.0,16,"Genom eukariota yang pertama disekuensing, 1996.[22]"
11,Eukariota,Caenorhabditis elegans (nematoda),97.000.000,97 Mb,19.099,197.0,6,"Genom hewan multiselular yang pertama disekuensing, 1998[23]"
12,Eukariota,Arabidopsis thaliana (tumbuhan berbunga),125.000.000,125 Mb,25.498,204.0,5,"Genom tumbuhan yang pertama disekuensing, 2000.[24]"
13,Eukariota,Drosophila melanogaster (lalat buah),180.000.000,180 Mb,13.6,76.0,4,[25]
14,Eukariota,Populus trichocarpa,410.000.000,410 Mb,45.555,111.0,19,Genom tumbuhan berkayu yang pertama disekuensing.[26]
15,Eukariota,Oryza sativa (padi),430.000.000,430 Mb,45.0,105.0,12,[27][28]
16,Eukariota,Mus musculus (mencit),2.493.000.000,"2,5 Gb",22.011,88.0,23,[29]
17,Eukariota,Homo sapiens (manusia),3.200.000.000,"3,2 Gb",20.5,64.0,23,Hasil Proyek Genom Manusia.[30][31]
