,N o,T a n g g a l,N e g a r a   t u a n   r u m a h,K o t a   p e n y e l e n g g a r a a n
0,1,1–6 September 1961,Yugoslavia,Beograd
1,2,5–10 Oktober 1964,Republik Arab Bersatu,Kairo
2,3,8–10 September 1970,Zambia,Lusaka
3,4,5–9 September 1973,Aljazair,Algiers
4,5,16–19 Agustus 1976,Sri Lanka,Kolombo
5,6,3–9 September 1979,Kuba,Havana
6,7,7–12 Maret 1983,India,New Delhi
7,8,1–6 September 1986,Zimbabwe,Harare
8,9,4–7 September 1989,Yugoslavia,Beograd
9,10,1–6 September 1992,Indonesia,Jakarta
10,11,18–20 Oktober 1995,Kolombia,Cartagena de Indias
11,12,2–3 September 1998,Afrika Selatan,Durban
12,13,20–25 Februari 2003,Malaysia,Kuala Lumpur
13,14,15–16 September 2006,Kuba,Havana
14,15,11–16 Juli 2009,Mesir,Sharm el-Sheikh
15,16,26–31 Agustus 2012,Iran,Teheran
16,17,17–18 September 2016,Venezuela,Karakas
