,R u m p u n   b a h a s a,W i l a y a h [ 3 ],J u m l a h   b a h a s a
0,Atlantik-Kongo,"Afrika, Amerika Utara",1432
1,Austronesia,"Afrika, Eurasia, Papunesia, Amerika Selatan",1276
2,Indo-Europa,"Afrika, Australia, Eurasia, Amerika Utara, Papunesia, Amerika Selatan",585
3,Sino-Tibet,Eurasia,472
4,Afro-Asiatik,"Afrika, Eurasia",372
5,Nuclear Trans New Guinea,Papunesia,315
6,Pama-Nyungan,"Australia, Papunesia",240
7,Otomanguean,Amerika Utara,178
8,Austroasiatik,Eurasia,164
9,Tai-Kadai,Eurasia,96
10,Dravidian,Eurasia,81
11,Arawakan,"Amerika Utara, Amerika Selatan",76
12,Mande,Afrika,74
13,Tupian,Amerika Selatan,71
14,Uto-Aztek,Amerika Utara,68
15,Central Sudanic,Afrika,62
16,Nuclear Torricelli,Papunesia,55
17,Nilotik,Afrika,51
18,Algik,Amerika Utara,45
19,Athapaskan-Eyak-Tlingit,Amerika Utara,45
20,Quechuan,Amerika Selatan,45
21,Cariban,Amerika Selatan,44
22,Turki,Eurasia,44
23,Ural,Eurasia,44
24,Hmong-Mien,Eurasia,39
25,Panoan,Amerika Selatan,38
26,Sepik,Papunesia,36
27,Maya,Amerika Utara,33
28,Nuclear-Macro-Je,Amerika Selatan,31
29,Lower Sepik-Ramu,Papunesia,30
30,Nakh-Daghestanian,Eurasia,30
31,Chibchan,"Amerika Utara, Amerika Selatan",27
32,Tucanoan,Amerika Selatan,26
33,Salishan,Amerika Utara,25
34,Timor-Alor-Pantar,Papunesia,22
35,Lakes Plain,Papunesia,20
36,Dogon,Afrika,19
37,Mixe-Zoque,Amerika Utara,19
38,Ta-Ne-Omotic,Afrika,19
39,Siouan,Amerika Utara,18
40,Morehead-Wasur,Papunesia,17
41,Mongolic,Eurasia,16
42,Border,Papunesia,15
43,Halmahera Utara,Papunesia,15
44,Japonik,"Eurasia, Papunesia",14
45,Khoe-Kwadi,Afrika,14
46,Angan,Papunesia,13
47,Ndu,Papunesia,13
48,Nubian,Afrika,13
49,Tor-Orya,Papunesia,13
50,Chapacuran,Amerika Selatan,12
51,Eskimo-Aleut,"Eurasia, Amerika Utara",12
52,Gunwinyguan,Australia,12
53,Totonacan,Amerika Utara,12
54,Tungusic,Eurasia,12
55,Iroquoian,Amerika Utara,11
56,Miwok-Costanoan,Amerika Utara,11
57,Western Daly,Australia,11
58,Worrorran,Australia,11
59,Geelvink Bay,Papunesia,10
60,Andaman,"Eurasia, Papunesia",10
61,Heiban,Afrika,10
62,Ijoid,Afrika,10
63,Maban,Afrika,10
64,Nyulnyulan,Australia,10
65,Sahara,Afrika,10
66,Songhay,Afrika,10
67,Surmik,Afrika,10
