,"D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   A n t o n i o   B .   W o n   P a t   ( n o r m a l   1 9 9 1 – 2 0 2 0 ,   e k s t r e m   1 9 4 5 – s e k a r a n g )"
0,Rekor tertinggi °F (°C),94 (34),93 (34),93 (34),96 (36),94 (34),95 (35),95 (35),94 (34),94 (34),93 (34),92 (33),91 (33),96 (36)
1,Rata-rata tertinggi °F (°C),85.7 (29.8),85.7 (29.8),86.7 (30.4),87.9 (31.1),88.5 (31.4),88.5 (31.4),87.7 (30.9),87.0 (30.6),87.0 (30.6),87.2 (30.7),87.4 (30.8),86.6 (30.3),87.2 (30.7)
2,Rata-rata harian °F (°C),80.3 (26.8),80.1 (26.7),81.0 (27.2),82.3 (27.9),83.0 (28.3),83.1 (28.4),82.2 (27.9),81.5 (27.5),81.5 (27.5),81.7 (27.6),82.2 (27.9),81.6 (27.6),81.7 (27.6)
3,Rata-rata terendah °F (°C),75.0 (23.9),74.6 (23.7),75.4 (24.1),76.7 (24.8),77.5 (25.3),77.7 (25.4),76.8 (24.9),76.1 (24.5),76.0 (24.4),76.3 (24.6),77.0 (25),76.5 (24.7),76.3 (24.6)
4,Rekor terendah °F (°C),66 (19),65 (18),66 (19),68 (20),70 (21),70 (21),70 (21),70 (21),70 (21),67 (19),68 (20),68 (20),65 (18)
5,Presipitasi inci (mm),5.34 (135.6),4.15 (105.4),2.77 (70.4),3.50 (88.9),4.45 (113),6.51 (165.4),12.25 (311.2),17.66 (448.6),15.17 (385.3),12.73 (323.3),8.29 (210.6),5.30 (134.6),"98,12 (2.492,2)"
6,Rata-rata hari hujan atau bersalju (≥ 0.01 in),20.1,18.0,18.3,18.9,19.7,23.2,26.0,25.9,25.1,25.4,23.9,22.7,267.2
7,% kelembapan,83.7,81.9,83.1,82.0,82.7,82.7,87.3,88.7,88.8,88.3,86.6,83.0,84.9
8,Rata-rata sinar matahari bulanan,176.0,173.7,216.4,214.0,219.9,193.8,156.1,142.2,132.7,132.6,135.0,143.4,"2.035,8"
9,Kemungkinan sinar matahari (persen),50,53,58,57,56,50,39,37,36,36,39,41,46
10,Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17],Sumber: NOAA (relative humidity and sun 1961–1990)[15][16][17]
