,N e g a r a   B a g i a n,G a m b a r,G u b e r n u r   P e t a h a n a,P a r t a i,M u l a i   j a b a t a n,A k h i r   j a b a t a n,K e t .
0,Alabama,,Kay Ivey,Republik,10 April 2017,2019,Daftar
1,Alaska,,Bill Walker,Independen,1 Desember 2014,2018,Daftar
2,Arizona,,Doug Ducey,Republik,5 Januari 2015,2019,Daftar
3,Arkansas,,Asa Hutchinson,Republik,13 Januari 2015,2019,Daftar
4,California,,Jerry Brown,Demokrat,3 Januari 2011,2019 (maksimal),Daftar
5,Carolina Selatan,Berkas:South Carolina Governor Henry McMaster (cropped).jpg,Henry McMaster,Republik,24 Januari 2017,2019,Daftar
6,Carolina Utara,Berkas:Gov. Roy Cooper.jpg,Roy Cooper,Demokrat,1 Januari 2017,2021,Daftar
7,Colorado,,John Hickenlooper,Demokrat,11 Januari 2011,2019 (maksimal),Daftar
8,Connecticut,,Ned Lamont,Demokrat,9 Januari 2019,2023,Daftar
9,Dakota Selatan,,Dennis Daugaard,Republik,8 Januari 2011,2019 (maksimal),Daftar
10,Dakota Utara,,Doug Burgum,Republik,15 Desember 2016,2020,Daftar
11,Delaware,,John Carney,Demokrat,17 Januari 2017,2021,Daftar
12,Florida,,Rick Scott,Republik,4 Januari 2011,2019 (maksimal),Daftar
13,Georgia,,Nathan Deal,Republik,10 Januari 2011,2019 (maksimal),Daftar
14,Hawaii,,David Ige,Demokrat,1 Desember 2014,2018,Daftar
15,Idaho,,Butch Otter,Republik,1 Januari 2007,2019 (pensiun),Daftar
16,Illinois,,Bruce Rauner,Republik,12 Januari 2015,2019,Daftar
17,Indiana,,Eric Holcomb,Republik,9 Januari 2017,2021,Daftar
18,Iowa,,Kim Reynolds,Republik,24 Mei 2017,2019,Daftar
19,Kansas,,Sam Brownback,Republik,10 Januari 2011,2019 (maksimal),Daftar
20,Kentucky,,Matt Bevin,Republik,8 Desember 2015,2019,Daftar
21,Louisiana,,John Bel Edwards,Demokrat,11 Januari 2016,2020,Daftar
22,Maine,,Paul LePage,Republik,5 Januari 2011,2019 (maksimal),Daftar
23,Maryland,,Larry Hogan,Republik,21 Januari 2015,2019,Daftar
24,Massachusetts,,Charlie Baker,Republik,8 Januari 2015,2019,Daftar
25,Michigan,,Rick Snyder,Republik,1 Januari 2011,2019 (maksimal),Daftar
26,Minnesota,,Mark Dayton,Demokrat,3 Januari 2011,2019 (pensiun),Daftar
27,Mississippi,,Phil Bryant,Republik,10 Januari 2012,2020 (maksimal),Daftar
28,Missouri,,Eric Greitens,Republik,9 Januari 2017,2021,Daftar
29,Montana,,Steve Bullock,Demokrat,7 Januari 2013,2017,Daftar
30,Nebraska,,Pete Ricketts,Republik,8 Januari 2015,2019,Daftar
31,Nevada,,Brian Sandoval,Republik,3 Januari 2011,2019 (maksimal),Daftar
32,New Hampshire,Berkas:Christopher T Sununu.jpg,Chris Sununu,Republik,5 Januari 2017,2019,Daftar
33,New Jersey,,Chris Christie,Republik,19 Januari 2010,2018 (maksimal),Daftar
34,New Mexico,,Susana Martinez,Republik,1 Januari 2011,2019 (maksimal),Daftar
35,New York,,Andrew Cuomo,Demokrat,1 Januari 2011,2019,Daftar
36,Ohio,,John Kasich,Republik,10 Januari 2011,2019 (maksimal),Daftar
37,Oklahoma,,Mary Fallin,Republik,10 Januari 2011,2019 (maksimal),Daftar
38,Oregon,,Kate Brown,Demokrat,18 Februari 2015,2017,Daftar
39,Pennsylvania,,Tom Wolf,Demokrat,20 Januari 2015,2019,Daftar
40,Rhode Island,,Gina Raimondo,Demokrat,6 Januari 2015,2019,Daftar
41,Tennessee,,Bill Haslam,Republik,15 Januari 2011,2019 (maksimal),Daftar
42,Texas,,Greg Abbott,Republik,20 Januari 2015,2019,Daftar
43,Utah,,Gary Herbert,Republik,11 Agustus 2009,2017,Daftar
44,Vermont,,Phillip Scott,Republik,5 Januari 2017,2019,Daftar
45,Virginia,,Terry McAuliffe,Demokrat,11 Januari 2014,2018 (maksimal),Daftar
46,Virginia Barat,,Jim Justice,Republik,16 Januari 2017,2021,Daftar
47,Washington,,Jay Inslee,Demokrat,16 Januari 2013,2017,Daftar
48,Wisconsin,,Scott Walker,Republik,3 Januari 2011,2019,Daftar
49,Wyoming,,Matt Mead,Republik,3 Januari 2011,2019 (maksimal),Daftar
