,G u r u n,N e g a r a / W i l a y a h,L u a s   ( k m 2 ),L u a s   ( m i l e s 2 ),P e r i n g k a t   b e r d a s a r k a n   l u a s,%   d a r i   l u a s   A u s t r a l i a
0,Gurun Great Victoria,"Australia Barat, Australia Selatan","348,750 km2","134,650 sq mi",1,4.5%
1,Gurun Great Sandy,Australia Barat,"267,250 km2","103,190 sq mi",2,3.5%
2,Gurun Tanami,"Australia Barat, Northern Territory","184,500 km2","71,200 sq mi",3,2.4%
3,Gurun Simpson,"Northern Territory, Queensland, Australia Selatan","176,500 km2","68,100 sq mi",4,2.3%
4,Gurun Gibson,Australia Barat,"156,000 km2","60,000 sq mi",5,2.0%
5,Gurun Little Sandy,Australia Barat,"111,500 km2","43,100 sq mi",6,1.5%
6,Gurun Strzelecki,"Australia Selatan, Queensland, New South Wales","80,250 km2","30,980 sq mi",7,1.0%
7,Gurun Sturt Stony,"Australia Selatan, Queensland, New South Wales","29,750 km2","11,490 sq mi",8,0.3%
8,Gurun Tirari,Australia Selatan,"15,250 km2","5,890 sq mi",9,0.2%
9,Gurun Pedirka,Australia Selatan,"1,250 km2",480 sq mi,10,0.016%
