,0,1,2,3,4,5,6
0,A,,风〔風〕,,卢〔盧〕,,属〔屬〕
1,爱〔愛〕,,G,,虏〔虜〕,,双〔雙〕
2,B,,冈〔岡〕,,卤〔鹵、滷〕,,肃〔肅〕
3,罢〔罷〕,,广〔廣〕,,录〔録〕,,岁〔歲〕
4,备〔備〕,,归〔歸〕,,虑〔慮〕,,孙〔孫〕
5,贝〔貝〕,,龟〔龜〕,,仑〔侖〕,,T
6,笔〔筆〕,,国〔國〕,,罗〔羅〕,,条〔條〕
7,毕〔畢〕,,过〔過〕,,M,,W
8,边〔邊〕,,H,,马〔馬〕,,万〔萬〕
9,宾〔賓〕,,华〔華〕,,买〔買〕,,为〔為〕
10,C,,画〔畫〕,,卖〔賣〕,,韦〔韋〕
11,参〔參〕,,汇〔匯、彙〕,,麦〔麥〕,,乌〔烏〕
12,仓〔倉〕,,会〔會〕,,门〔門〕,,无〔無〕
13,产〔產〕,,J,,黾〔黽〕,,X
14,长〔長〕,,几〔幾〕,,N,,献〔獻〕
15,尝〔嘗〕,,夹〔夾〕,,难〔難〕,,乡〔鄉〕
16,车〔車〕,,戋〔戔〕,,鸟〔鳥〕,,写〔寫〕
17,齿〔齒〕,,监〔監〕,,聂〔聶〕,,寻〔尋〕
18,虫〔蟲〕,,见〔見〕,,宁〔寧〕,,Y
19,刍〔芻〕,,荐〔薦〕,,农〔農〕,,亚〔亞〕
20,从〔從〕,,将〔將〕,,Q,,严〔嚴〕
21,窜〔竄〕,,节〔節〕,,齐〔齊〕,,厌〔厭〕
22,D,,尽〔盡、儘〕,,岂〔豈〕,,尧〔堯〕
23,达〔達〕,,进〔進〕,,气〔氣〕,,业〔業〕
24,带〔帶〕,,举〔擧〕,,迁〔遷〕,,页〔頁〕
25,单〔單〕,,K,,佥〔僉〕,,义〔義〕
26,当〔當、噹〕,,壳〔殻〕,,乔〔喬〕,,艺〔藝〕
27,党〔黨〕,,L,,亲〔親〕,,阴〔陰〕
28,东〔東〕,,来〔來〕,,穷〔窮〕,,隐〔隱〕
29,动〔動〕,,乐〔樂〕,,区〔區〕,,犹〔猶〕
30,断〔斷〕,,离〔離〕,,S,,鱼〔魚〕
31,对〔對〕,,历〔歷、曆〕,,啬〔嗇〕,,与〔與〕
32,队〔隊〕,,丽〔麗〕,,杀〔殺〕,,云〔雲〕
33,E,,两〔兩〕,,审〔審〕,,Z
34,尔〔爾〕,,灵〔靈〕,,圣〔聖〕,,郑〔鄭〕
35,F,,刘〔劉〕,,师〔師〕,,执〔執〕
36,发〔發、髮〕,,龙〔龍〕,,时〔時〕,,质〔質〕
37,丰〔豐〕,,娄〔婁〕,,寿〔壽〕,,专〔專〕
