,0,1,2,3,4,5,6
0,Kelipatan kebawah,Kelipatan kebawah,Kelipatan kebawah,,Kelipatan keatas,Kelipatan keatas,Kelipatan keatas
1,Harga,Simbol,Nama,,Harga,Simbol,Nama
2,10−1 Hz,dHz,decihertz,,101 Hz,daHz,decahertz
3,10−2 Hz,cHz,centihertz,,102 Hz,hHz,hectohertz
4,10−3 Hz,mHz,millihertz,,103 Hz,kHz,kilohertz
5,10−6 Hz,µHz,microhertz,,106 Hz,MHz,megahertz
6,10−9 Hz,nHz,nanohertz,,109 Hz,GHz,gigahertz
7,10−12 Hz,pHz,picohertz,,1012 Hz,THz,terahertz
8,10−15 Hz,fHz,femtohertz,,1015 Hz,PHz,petahertz
9,10−18 Hz,aHz,attohertz,,1018 Hz,EHz,exahertz
10,10−21 Hz,zHz,zeptohertz,,1021 Hz,ZHz,zettahertz
11,10−24 Hz,yHz,yoctohertz,,1024 Hz,YHz,yottahertz
12,Singkatan yang sering dipergunakan dicetak dalam huruf tebal.,Singkatan yang sering dipergunakan dicetak dalam huruf tebal.,Singkatan yang sering dipergunakan dicetak dalam huruf tebal.,Singkatan yang sering dipergunakan dicetak dalam huruf tebal.,Singkatan yang sering dipergunakan dicetak dalam huruf tebal.,Singkatan yang sering dipergunakan dicetak dalam huruf tebal.,Singkatan yang sering dipergunakan dicetak dalam huruf tebal.
