,F i l u m,C o n t o h,J u m l a h S p e s i e s,D a r a t,L a u t,A i r t a w a r,H i d u p b e b a s,P a r a s i t
0,Annelida,,17.000[59],Ya (tanah)[61],Ya[61],1.750[60],Ya,400[62]
1,Artropoda,,1.257.000[59],1.000.000(serangga)[67],>40.000(Malac-ostraca)[68],94.000[60],Ya[61],>45.000[b][62]
2,Bryozoa,,6.000[59],,Ya[61],60-80[60],Ya,
3,Chordata,,65.000[59]45.000[69],23.000[69],13.000[69],18.000[60]9.000[69],Ya,40(catfish)[62][70]
4,Cnidaria,,"16,000[59]",,Ya[61],Ya (sedikit)[61],Ya[61],>1.350(Myxozoa)[62]
5,Echinodermata,,7.500[59],,7.500[59],,Ya[61],
6,Moluska,,85.000[59]107.000[71],35.000[71],60.000[71],5.000[60]12.000[71],Ya[61],>5.600[62]
7,Nematoda,,25.000[59],Ya (tanah)[61],4.000[63],2.000[60],11.000[63],14.000[63]
8,Platyhelminthes,,29.500[59],Ya[72],Ya[61],1.300[60],Ya[61],>40.000[62]
9,Rotifera,,2.000[59],,>400[73],2.000[60],Ya,
10,Porifera,,10.800[59],,Ya[61],200-300[60],Ya,Ya[74]
11,Jumlah total spesies yang sudah dideskripsikan pada 2013: 1.525.728[59],Jumlah total spesies yang sudah dideskripsikan pada 2013: 1.525.728[59],Jumlah total spesies yang sudah dideskripsikan pada 2013: 1.525.728[59],Jumlah total spesies yang sudah dideskripsikan pada 2013: 1.525.728[59],Jumlah total spesies yang sudah dideskripsikan pada 2013: 1.525.728[59],Jumlah total spesies yang sudah dideskripsikan pada 2013: 1.525.728[59],Jumlah total spesies yang sudah dideskripsikan pada 2013: 1.525.728[59],Jumlah total spesies yang sudah dideskripsikan pada 2013: 1.525.728[59]
