,J u m l a h   a t o m k a r b o n,A l k a n a   ( 1   i k a t a n ),A l k e n a   ( 2   i k a t a n ),A l k u n a   ( 3   i k a t a n ),S i k l o a l k a n a,A l k a d i e n a
0,1,Metana,-,-,–,–
1,2,Etana,Etena (etilena),Etuna (asetilena),–,–
2,3,Propana,Propena (propilena),Propuna (metilasetilena),Siklopropana,Propadiena (alena)
3,4,Butana,Butena (butilena),Butuna,Siklobutana,Butadiena
4,5,Pentana,Pentena,Pentuna,Siklopentana,Pentadiena (piperylene)
5,6,Heksana,Heksena,Heksuna,Sikloheksana,Heksadiena
6,7,Heptana,Heptena,Heptuna,Sikloheptana,Heptadiena
7,8,Oktana,Oktena,Oktuna,Siklooktana,Oktadiena
8,9,Nonana,Nonena,Nonuna,Siklononana,Nonadiena
9,10,Dekana,Dekena,Dekuna,Siklodekana,Dekadiena
