,S p e s i e s,H i d u p   s a a t   ( j u t a   T a h u n ),H i d u p   d i,T i n g g i   d e w a s a,B e r a t   d e w a s a,K a p a s i t a s   k r a n i u m   ( c m ³ ),C a t a t a n   f o s i l,T a h u n   d i t e m u k a n / n a m a   d i p u b l i k a s i k a n
0,Denisova hominin,004,Rusia,,,,1 situs,2010
1,H. antecessor,"1,2 - 0,8",Spanyol,175 m (574 ft),90 kg (200 pon),1.000,2 situs,1997
2,H. cepranensis,"0,5 - 0,35",Itali,,,1.000,1 songkok,1994/2003
3,H. erectus,"1,8 - 0,2","Afrika, Eurasia (Jawa, Tiongkok, India, Caucasus)",18 m (59 ft),60 kg (130 pon),850 (awal) – 1.100 (akhir),Banyak,1891/1892
4,H. ergaster,"1,9 - 1,4",Afrika Timur and Afrika Selatan,19 m (62 ft),,700 - 850,Banyak,1975
5,H. floresiensis,"0,10 - 0,012",Indonesia,10 m (33 ft),25 kg (55 pon),400,7 individu,2003/2004
6,H. gautengensis,"> 2 - 0,6",Afrika Selatan,10 m (33 ft),,,1 individu,2010/2010
7,H. habilis,"2,3 - 1,4",Afrika,10–15 m (33–49 ft),33–55 kg (73–121 pon),510 - 660,Banyak,1960/1964
8,H. heidelbergensis,"0,6 - 0,35","Eropa, Afrika, Tiongkok",18 m (59 ft),90 kg (200 pon),1.100 - 1.400,Banyak,1908
9,H. neanderthalensis,"0,35 - 0,03","Eropa, Asia Barat",16 m (52 ft),55–70 kg (121–154 pon) (heavily built),1.200 - 1.900,Banyak,(1829)/1864
10,H. rhodesiensis,"0,3 - 0,12",Zambia,,,1.300,Sangat sedikit,1921
11,H. rudolfensis,19,Kenya,,,700,2 tengkorak,1972/1986
12,Orang Gua Red Deer,"0,0145–0,0115",Tiongkok,,,,Sangat sedikit,2012
13,H. sapiens idaltu,"0,16 - 0,15",Ethiopia,,,1.450,3 tempurung kepala,1997/2003
14,H. sapiens(manusia modern),"0,2 - sekarang",Sedunia,14–19 m (46–62 ft),50–100 kg (110–220 pon),1.000 - 1.980,Masih hidup,-/1758
