,N e g a r a   y a n g   d i s u r v e i,P o s i t i f,N e g a t i f,N e t r a l,P o s   −   N e g
0,Tiongkok,22%,75%,3,-53
1,Spanyol,39%,36%,25,3
2,Turki,50%,32%,18,18
3,Pakistan,38%,20%,42,18
4,India,45%,17%,38,28
5,Rusia,45%,16%,39,29
6,Peru,56%,25%,19,31
7,Nigeria,57%,24%,19,33
8,Britania Raya,65%,30%,5,35
9,Meksiko,59%,23%,18,36
10,Kenya,58%,22%,20,36
11,Jerman,50%,13%,37,37
12,Indonesia,57%,17%,26,40
13,Amerika Serikat,65%,23%,12,42
14,Prancis,74%,21%,5,53
15,Brasil,70%,15%,15,55
16,Australia,78%,17%,5,61
17,Kanada,77%,12%,11,65
