,N a m a   i b u   k o t a,L o k a s i   s e k a r a n g,P e r i o d e,"I b u   k o t a   k e d u a ,   k e d u d u k a n   l a i n   i s t a n a   k a i s a r"
0,Asukanomiya,"Desa Asuka, Prefektur Nara",592-645,"Toyuranomiya, Oharidanomiya, Okamotonomiya, Itabukinomiya"
1,Naniwanomiya,Osaka,645-655,Naniwanagara no Toyosaki no miya
2,Asukanomiya,"Desa Asuka, Prefektur Nara",655-667,"Kawaranomiya, Go-Okamotonomiya"
3,Ōtsu-kyō,"Otsu, Prefektur Shiga",667-672,Ōminomiya
4,Asukanomiya,"Desa Asuka, Prefektur Nara",672-694,Asuka Kiyomiharanomiya
5,Fujiwara-kyō,Kashihara,694-710,
6,Heijō-kyō,"Nara, Prefektur Nara",710-740,
7,Kuni-kyō,"Kizugawa, Prefektur Kyoto",740-744,
8,Naniwa-kyō,Osaka,744-744,
9,Shigarakinomiya,"Shigaraki, Kōka, Prefektur Shiga",745 (bulan 1-bulan 5),
10,Heijō-kyō,"Nara, Prefektur Nara",745-784,
11,Nagaoka-kyō,"Mukō, Kyoto, Nagaoka-kyō,",784-794,
12,Heian-kyō,Kyoto,794-1180,
13,Fukuhara-kyō,Kobe,1180 (bulan 6-bulan 11),
14,Heian-kyō,Kyoto,1180-1868,
15,Istana Selatan: Yoshino,"Distrik Yoshino, Prefektur Nara","1336-1348, 1373","istana sementara Anō (Gojō, Prefektur Nara)istana sementara Amano (Kongō-ji, Kawachinagano, Prefektur Osaka)istana sementara Sumiyoshi (distrik Sumiyoshi, Osaka)"
16,Tokyo,Tokyo,Mei 1868 - sekarang,
