,P e n e l i t i a n,D a m p a k
0,Listrik statis dan magnetisme (1600)Arus listrik (abad 18),"Semua peralatan listrik, dinamo, stasiun pembangkit listrik, elektronik modern, termasuk penerangan listrik, televisi, pemanasan listrik, pita perekam suara, pengeras suara, ditambah kompas dan penangkal petir."
1,Difraksi (1665),"Optik, lalu kabel fiber optik (1840s), komunikasi antar benua modern, TV kabel dan internet"
2,Teori kuman penyakit (1700),"Higienis, mendorong pengurangan penyebaran penyakit indeksi; Antibodi, penemuan teknik untuk diagnosis penyakit dan terapi target antikanker."
3,Vaksinasi (1798),Mendorong ke penghilangan berbagai penyakit infeksi dari negara-negara maju dan pemberantasan cacar di seluruh dunia.
4,Efek fotovoltaik (1839),"Sel surya (1883), lalu tenaga surya, kalkulator dan peralatan lainnya."
5,Orbit aneh dari planet merkurius (1859) dan penelitian lainnyamendorong penemuan relativitas khusus (1905) dan relativitas umum (1916),"Teknologi berbasis satelit seperti GPS (1973), satnav dan satelit komunikasi[10]"
6,Gelombang radio (1887),"Radio kemudian digunakan dalam berbagai macam kegunaan seperti telefoni, penyiaran televisi (1927) dan hiburan radio (1906). Penggunaan lainnya termasuk – pelayanan gawat darurat, radar (navigasi dan prediksi cuaca), kedokteran, astronomi, komunikasi nirkabel, dan jaringan nirkabel. Frekuensi gelombang radio juga digunakan untuk gelombang mikro."
7,Radioaktivitas (1896) dan antimateri (1932),"Pengobatan kanker (1896), Pengukuran radiometrik (1905), Reaktor nuklir (1942) dan senjata nuklir (1945), Pemindai PET (1961), dan penelitian medis (via isotopic labeling)"
8,Sinar-X (1896),"Pencitraan medis, termasuk tomografi komputasi"
9,Kristalografi dan mekanika kuantum (1900),"alat semikonduktor (1906), kemudian komputasi dan telekomunikasi modern termasuk integrasi dengan peralatan nirkabel: telepon seluler[nb 1]"
10,Plastik (1907),"Dimulai dengan bakelit, banyak tipe polimer buatan untuk berbagai aplikasi industri dan kehidupan sehari-hari"
11,"Antibiotik (1880-an, 1928)","Salvarsan, Penisilin, doksisiklin dll."
12,Resonansi magnetik nuklir (1930-an),"Spektroskopi resonansi magnetik nuklir (1946), Pencitraan resonansi magnetik (1971), Pencitraan resonansi magnetik fungsional (1990-an)."
