,N o,T e r i t o r i / W i l a y a h,P e r i o d e
0,1,Brasil Belanda,1630–1654
1,2,Sailan Belanda,1640–1796
2,3,Pantai Emas Belanda,1598–1872
3,4,Loango-Angola Belanda,1641–1648
4,5,Hindia Belanda,1800–1949
5,6,Nugini Belanda,1949–1962
6,7,Benggala Belanda,1627–1825
7,8,Malabar Belanda,1661–1795
8,9,Koromandel Belanda,1608–1825
9,10,Melaka Belanda,1641–1824
10,11,Formosa Belanda,1624–1662
11,12,Nieuw Nederland,1614–1667
12,13,Surinam,1667–1954
13,14,Koloni Tanjung Belanda,1652–1806
14,15,Mauritius Belanda,1910–1961
